Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GILT,2002-02-19,N,88.4,78.0,90.0,71.0,-19.68,78.4,-11.31,24,90.0,71.0,-19.68,75.59,-14.47
GILT,2002-09-18,N,13.8,13.0,13.2,11.0,-20.28,12.6,-8.69,2,13.2,9.6,-30.43,10.8,-21.73
GILT,2003-01-06,Y,6.8,8.0,8.4,7.6,23.52,8.0,17.64,11,9.4,7.6,38.23,8.6,26.47
GILT,2003-05-22,Y,4.05,4.11,4.12,4.0,1.47,4.05,0.24,29,5.46,3.6,34.48,5.19,27.83
GILT,2003-08-14,Y,4.36,4.87,4.87,4.26,11.69,4.41,1.14,1,4.87,4.26,11.69,4.41,1.14
GILT,2003-11-13,Y,5.26,5.2,5.4,5.16,2.66,5.16,-1.9,8,5.4,4.44,-15.58,4.53,-13.87
GILT,2004-02-17,Y,7.65,7.5,7.65,7.06,-7.71,7.54,-1.43,3,8.09,7.06,-7.71,7.22,-5.62
GILT,2004-05-13,Y,5.97,5.9,6.02,5.76,-3.51,5.8,-2.84,8,6.02,4.93,-17.42,5.21,-12.73
GILT,2004-08-05,Y,4.34,4.36,4.36,4.15,-4.59,4.24,-2.52,15,4.38,3.95,-9.19,4.01,-7.81
GILT,2004-11-03,Y,6.07,6.0,6.0,5.87,-3.29,5.87,-3.29,16,6.72,5.48,10.7,6.16,1.48
GILT,2005-02-02,Y,6.99,7.0,7.14,6.86,2.14,7.09,1.43,16,7.2,6.67,-4.57,7.03,0.57
GILT,2005-05-03,Y,5.61,5.69,5.89,5.69,4.99,5.86,4.45,17,5.95,5.6,6.06,5.84,4.09
GILT,2005-08-03,Y,6.28,6.23,6.44,6.23,2.54,6.32,0.63,16,6.44,5.87,-6.52,6.22,-0.95
GILT,2005-11-14,Y,5.98,5.79,5.79,5.55,-7.19,5.58,-6.68,4,5.79,5.05,-15.55,5.3,-11.37
GILT,2006-02-13,N,5.9,6.09,6.26,6.03,6.1,6.17,4.57,4,6.55,6.03,11.01,6.44,9.15
GILT,2006-05-10,N,8.0,8.19,8.19,7.3,-8.75,7.8,-2.5,9,8.19,7.3,-8.75,8.09,1.12
GILT,2006-08-14,Y,8.1,8.22,8.22,8.05,1.48,8.19,1.11,4,8.22,7.84,-3.2,8.17,0.86
GILT,2006-11-06,N,8.82,9.35,9.36,9.07,6.12,9.07,2.83,11,9.36,8.22,-6.8,8.61,-2.38
GILT,2007-02-13,N,9.74,9.77,9.9,9.19,-5.64,9.3,-4.51,3,9.9,8.9,-8.62,8.99,-7.7
GILT,2007-05-14,N,9.36,9.75,9.8,9.43,4.58,9.69,3.41,4,9.8,9.26,4.58,9.47,1.06
GILT,2007-08-09,Y,8.4,8.36,8.81,8.36,4.88,8.72,3.8,8,10.25,8.36,22.02,9.55,13.69
GILT,2007-11-13,Y,10.86,10.95,11.11,10.74,2.3,11.09,2.11,3,11.25,10.74,3.59,11.01,1.38
