Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GLPG,2015-11-02,Y,48.32,48.1,48.77,47.81,-1.05,48.32,,18,54.26,47.81,12.29,49.0,1.4
GLPG,2016-03-04,Y,44.56,43.91,44.91,43.84,-1.61,44.73,0.38,14,45.06,41.06,-7.85,41.94,-5.87
GLPG,2016-04-28,Y,44.73,45.46,45.64,44.81,2.03,45.31,1.29,22,54.42,44.81,21.66,54.03,20.79
GLPG,2016-07-28,Y,55.29,54.48,55.34,54.33,-1.73,55.17,-0.21,22,55.47,51.91,-6.11,53.53,-3.18
GLPG,2017-02-23,Y,69.95,67.36,69.38,67.3,-3.8,69.36,-0.85,22,82.14,67.3,17.4,81.86,17.0
GLPG,2017-04-27,Y,85.99,87.15,87.9,86.54,2.22,86.86,1.01,22,90.93,83.26,5.74,85.38,-0.7
GLPG,2018-02-22,Y,115.02,112.1,112.68,110.4,-4.01,111.41,-3.13,22,113.52,99.5,-13.49,103.38,-10.11
GLPG,2018-04-25,Y,91.73,91.48,91.71,90.26,-1.6,90.92,-0.88,23,97.63,87.36,6.43,97.59,6.38
GLPG,2018-08-02,Y,108.25,102.71,105.5,102.04,-5.73,104.2,-3.74,15,113.75,100.69,-6.98,101.34,-6.38
GLPG,2018-10-24,Y,100.36,97.8,98.96,96.02,-4.32,97.04,-3.3,23,109.24,95.67,8.84,104.64,4.26
GLPG,2019-02-21,Y,97.85,99.55,99.57,96.21,1.75,98.18,0.33,22,103.9,96.21,6.18,98.78,0.95
GLPG,2019-04-25,Y,112.86,111.37,112.69,110.96,-1.68,112.09,-0.68,22,117.31,110.92,3.94,112.85,-0.0
GLPG,2019-07-25,Y,179.03,179.74,180.34,177.22,-1.01,180.25,0.68,22,180.34,168.54,-5.85,172.18,-3.82
GLPG,2019-10-24,Y,164.27,159.98,167.62,159.98,-2.61,166.49,1.35,22,192.89,159.98,17.42,183.75,11.85
GLPG,2020-02-20,Y,260.04,267.95,274.03,266.55,5.37,274.03,5.37,1,274.03,266.55,5.37,274.03,5.37
GLPG,2020-05-07,Y,226.27,220.64,221.47,215.45,-4.78,217.12,-4.04,8,233.14,208.66,-7.78,220.31,-2.63
GLPG,2020-08-06,Y,187.62,184.7,191.8,184.4,2.22,190.75,1.66,15,195.74,136.35,-27.32,137.16,-26.89
GLPG,2020-11-05,Y,126.41,122.06,122.27,118.84,-5.98,119.31,-5.61,15,127.28,118.84,-5.98,124.67,-1.37
GLPG,2021-02-18,Y,83.8,83.08,86.51,83.02,3.23,86.28,2.95,1,86.51,83.02,3.23,86.28,2.95
GLPG,2021-05-06,Y,76.16,77.26,78.08,73.81,-3.08,75.04,-1.47,15,78.08,70.77,-7.07,73.21,-3.87
GLPG,2021-08-05,Y,60.06,60.44,61.0,60.0,1.56,60.14,0.13,15,61.0,54.55,-9.17,55.43,-7.7
GLPG,2021-11-04,Y,55.64,54.05,55.36,53.48,-3.88,54.28,-2.44,15,57.63,49.44,-11.14,51.46,-7.51
GLPG,2022-02-24,Y,65.56,65.09,67.28,64.82,2.62,65.74,0.27,22,68.64,57.81,-11.82,63.15,-3.67
GLPG,2022-05-05,Y,59.73,60.6,60.83,59.25,1.84,59.66,-0.11,15,60.83,55.37,-7.29,56.34,-5.67
GLPG,2022-08-04,Y,52.9,55.36,56.22,53.65,6.27,54.7,3.4,15,56.22,52.08,6.27,52.14,-1.43
