Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GMET,2006-08-10,Y,11.04,10.75,11.04,10.75,-2.62,11.04,,8,11.17,10.41,-5.7,10.7,-3.07
GMET,2006-11-09,Y,10.77,10.99,11.33,10.65,5.19,10.81,0.37,8,11.4,10.6,5.84,10.75,-0.18
GMET,2007-03-19,N,7.74,7.69,8.1,7.73,4.65,7.8,0.77,32,9.27,7.71,19.76,9.27,19.89
GMET,2007-05-11,N,9.15,9.21,9.59,9.02,4.8,9.4,2.73,7,9.6,8.83,4.91,9.06,-0.98
GMET,2007-08-13,N,7.55,7.75,7.75,6.66,-11.78,6.78,-10.19,4,7.75,6.32,-16.29,6.9,-8.6
GMET,2007-11-09,Y,5.04,5.01,5.2,4.98,3.17,5.0,-0.79,7,5.36,4.98,6.34,5.22,3.57
GMET,2008-03-17,N,6.41,6.2,6.2,5.31,-17.16,5.92,-7.64,4,6.52,5.31,-17.16,6.14,-4.21
GMET,2008-05-09,Y,6.8,6.87,7.01,6.51,-4.26,6.69,-1.61,7,7.5,6.51,10.29,7.23,6.32
GMET,2008-08-11,N,7.35,7.19,7.27,6.65,-9.52,7.05,-4.08,4,7.5,6.59,-10.34,6.73,-8.43
GMET,2008-11-10,N,2.38,3.48,3.48,2.54,46.21,2.54,7.14,11,3.48,1.73,46.21,1.99,-16.38
GMET,2009-03-13,N,0.68,0.69,0.78,0.69,14.7,0.7,2.94,7,0.78,0.61,14.7,0.7,2.94
GMET,2009-05-08,Y,1.62,1.56,1.56,1.43,-11.72,1.49,-8.02,7,1.56,1.05,-35.18,1.11,-31.48
GMET,2009-08-10,N,1.23,1.1,1.39,1.09,13.0,1.26,2.43,11,1.39,1.02,-17.07,1.31,6.5
GMET,2009-11-13,N,1.98,1.95,1.96,1.42,-28.28,1.56,-21.21,7,1.96,1.18,-40.4,1.2,-39.39
GMET,2010-04-01,N,0.89,0.91,1.18,0.9,32.58,1.17,31.46,15,1.56,0.9,75.28,1.29,44.94
GMET,2010-04-29,N,1.29,1.4,1.53,1.35,18.6,1.38,6.97,22,1.53,1.05,18.6,1.09,-15.5
GMET,2010-07-28,N,1.02,1.02,1.02,0.98,-3.92,0.98,-3.92,23,1.06,0.88,-13.72,0.89,-12.74
GMET,2010-11-10,Y,0.67,0.72,0.94,0.71,40.29,0.94,40.29,9,1.06,0.71,58.2,0.88,31.34
GMET,2011-03-30,Y,1.78,1.69,1.69,1.56,-12.35,1.64,-7.86,16,1.69,1.35,-24.15,1.46,-17.97
GMET,2011-05-09,N,1.46,1.45,1.56,1.43,6.84,1.55,6.16,11,1.6,1.2,-17.8,1.34,-8.21
GMET,2011-08-10,Y,0.95,0.98,1.0,0.98,5.26,0.99,4.21,9,1.04,0.91,9.47,0.94,-1.05
GMET,2011-11-09,N,1.14,1.1,1.13,1.1,-4.34,1.12,-2.6,9,1.13,0.95,-17.39,0.97,-15.65
GMET,2012-03-30,N,0.64,0.67,0.67,0.65,4.68,0.67,4.68,21,0.68,0.4,-37.5,0.45,-29.68
GMET,2012-05-16,N,0.43,0.4,0.45,0.25,-41.86,0.28,-34.88,2,0.45,0.24,-44.18,0.25,-41.86
GMET,2012-08-06,Y,0.21,0.23,0.28,0.23,33.33,0.27,28.57,11,0.28,0.12,-42.85,0.12,-42.85
GMET,2013-04-01,Y,0.15,0.14,0.16,0.14,6.66,0.14,-6.66,18,0.16,0.13,-13.33,0.14,-6.66
GMET,2013-08-21,N,0.14,0.13,0.14,0.12,-14.28,0.13,-7.14,30,0.15,0.12,-14.28,0.12,-14.28
GMET,2013-11-18,N,0.1,0.09,0.09,0.08,-20.0,0.08,-20.0,32,0.14,0.04,-60.0,0.11,9.99
GMET,2014-03-31,N,0.01,0.01,0.01,0.01,,0.01,,18,0.02,0.01,100.0,0.02,100.0
