Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GNPX,2020-03-30,Y,2.37,2.51,2.53,2.35,6.75,2.42,2.1,18,2.59,1.96,-17.29,2.09,-11.81
GNPX,2020-05-14,Y,3.2,3.2,3.4,3.12,6.24,3.25,1.56,1,3.4,3.12,6.24,3.25,1.56
GNPX,2020-08-13,Y,3.59,3.64,4.46,3.52,24.23,4.29,19.49,8,4.46,3.52,24.23,3.8,5.84
GNPX,2020-11-12,Y,3.16,3.18,3.18,3.11,-1.58,3.16,0.0,8,3.29,2.95,-6.64,3.14,-0.63
GNPX,2021-03-30,Y,4.07,4.07,4.33,4.05,6.38,4.31,5.89,17,4.95,3.88,21.62,3.96,-2.7
GNPX,2021-05-17,Y,3.43,3.48,3.66,3.46,6.7,3.54,3.2,4,3.85,3.43,12.24,3.74,9.03
GNPX,2021-08-16,N,2.76,2.75,2.75,2.24,-18.84,2.63,-4.71,7,2.83,2.24,-18.84,2.59,-6.15
GNPX,2021-11-11,Y,2.12,2.1,2.19,2.06,3.3,2.07,-2.35,8,2.19,1.6,-24.52,1.74,-17.92
GNPX,2022-03-31,Y,2.26,2.32,2.32,2.17,-3.98,2.23,-1.32,14,2.32,1.95,-13.71,1.99,-11.94
GNPX,2022-05-16,Y,1.51,1.48,1.59,1.48,5.29,1.56,3.31,4,1.6,1.45,5.96,1.51,0.0
GNPX,2022-08-15,Y,2.09,2.41,2.67,2.08,27.75,2.23,6.69,4,2.67,1.9,27.75,2.0,-4.3
GNPX,2022-11-14,N,1.39,1.44,1.47,1.38,5.75,1.42,2.15,7,1.47,1.28,-7.91,1.28,-7.91
