Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GO,2019-08-13,Y,37.6,41.1,42.31,38.52,12.52,39.5,5.05,3,47.3,38.52,25.79,46.64,24.04
GO,2020-03-24,Y,33.2,32.25,34.81,32.0,4.84,33.45,0.75,24,38.5,31.83,15.96,35.61,7.25
GO,2020-05-11,Y,36.67,38.0,39.7,37.15,8.26,37.49,2.23,4,39.7,36.12,8.26,37.53,2.34
GO,2020-08-10,Y,44.33,43.95,44.6,42.08,-5.07,42.66,-3.76,11,44.6,41.07,-7.35,41.51,-6.36
GO,2020-11-10,Y,42.44,38.91,41.18,37.4,-11.87,40.24,-5.18,10,41.18,36.34,-14.37,38.48,-9.33
GO,2021-03-02,Y,36.14,34.94,35.87,32.92,-8.9,35.27,-2.4,17,37.55,32.92,-8.9,36.26,0.33
GO,2021-05-11,Y,40.54,35.25,35.98,32.71,-19.31,33.03,-18.52,10,35.98,32.63,-19.51,33.79,-16.65
GO,2021-08-10,Y,30.93,29.25,29.35,26.89,-13.06,27.67,-10.53,10,29.35,25.12,-18.78,25.84,-16.45
GO,2021-11-09,Y,23.16,24.35,26.59,24.35,14.81,26.0,12.26,10,28.54,24.35,23.22,27.82,20.12
GO,2022-03-01,Y,28.17,27.51,27.81,26.52,-5.85,27.23,-3.33,17,32.03,26.52,13.7,31.74,12.67
GO,2022-05-10,Y,31.07,35.27,37.36,33.92,20.24,35.65,14.74,10,37.82,33.92,21.72,35.91,15.57
GO,2022-08-09,Y,44.92,45.0,45.08,41.18,-8.32,42.06,-6.36,10,45.08,40.12,-10.68,42.08,-6.32
GO,2022-11-08,Y,34.26,31.93,32.67,29.66,-13.42,31.0,-9.51,10,32.67,28.95,-15.49,30.32,-11.5
GO,2023-02-28,Y,27.05,26.08,26.8,25.71,-4.95,26.44,-2.25,17,27.73,25.71,-4.95,26.91,-0.51
