Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GOOS,2017-06-02,N,18.71,20.82,21.78,20.1,16.4,21.64,15.66,15,24.32,20.1,29.98,20.55,9.83
GOOS,2017-08-10,N,18.95,20.3,20.34,18.11,7.33,18.32,-3.32,9,20.34,17.75,7.33,17.91,-5.48
GOOS,2017-11-09,N,21.73,23.7,25.3,23.32,16.42,24.79,14.08,9,26.4,23.32,21.49,26.38,21.39
GOOS,2018-02-08,N,38.12,34.05,34.7,31.05,-18.54,31.79,-16.6,9,35.23,28.41,-25.47,34.0,-10.8
GOOS,2018-06-15,N,45.85,59.02,61.69,53.18,34.54,61.02,33.08,1,61.69,53.18,34.54,61.02,33.08
GOOS,2018-08-09,N,55.91,59.17,59.48,54.0,6.38,54.0,-3.41,9,59.48,49.68,-11.14,50.85,-9.05
GOOS,2018-11-14,N,58.58,67.15,72.27,61.76,23.36,64.45,10.02,3,72.27,61.76,23.36,70.05,19.58
GOOS,2019-02-14,N,59.19,59.76,59.94,51.17,-13.54,51.53,-12.94,2,59.94,49.85,-15.77,50.11,-15.34
GOOS,2019-05-29,N,49.02,41.41,42.06,33.58,-31.49,33.89,-30.86,24,42.06,31.67,-35.39,37.06,-24.39
GOOS,2019-08-14,N,43.21,40.79,44.39,38.62,-10.62,39.97,-7.49,3,44.39,37.59,-13.0,37.71,-12.72
GOOS,2020-02-07,N,33.3,30.89,32.46,30.57,-8.19,31.84,-4.38,15,33.07,30.24,-9.18,30.39,-8.73
GOOS,2020-06-03,N,21.59,23.0,25.65,22.9,18.8,25.42,17.73,17,27.56,22.0,27.65,23.86,10.51
GOOS,2020-08-11,N,24.81,22.6,24.45,22.59,-8.94,23.51,-5.23,11,24.47,22.14,-10.76,22.81,-8.06
GOOS,2020-11-05,N,32.91,33.2,34.68,31.75,5.37,33.03,0.36,16,36.89,31.75,12.09,34.77,5.65
GOOS,2021-02-04,N,35.17,40.6,45.6,40.13,29.65,42.9,21.97,16,45.96,39.93,30.67,45.1,28.23
GOOS,2021-05-13,N,41.49,42.35,42.58,37.6,-9.37,37.8,-8.89,9,42.58,37.35,-9.97,38.68,-6.77
GOOS,2021-08-11,N,44.44,40.85,40.88,37.81,-14.91,38.71,-12.89,10,40.88,34.58,-22.18,36.26,-18.4
GOOS,2021-11-05,N,40.43,45.39,49.36,44.92,22.08,48.26,19.36,15,53.64,44.92,32.67,51.2,26.63
GOOS,2022-02-10,N,34.31,28.2,29.6,27.02,-21.24,28.73,-16.26,9,30.74,26.52,-22.7,28.34,-17.4
GOOS,2022-05-19,N,19.01,20.54,21.34,19.21,12.25,20.89,9.88,2,21.72,19.21,14.25,20.31,6.83
GOOS,2022-08-11,N,21.68,23.97,24.34,21.64,12.26,22.07,1.79,9,24.34,19.73,12.26,19.77,-8.8
GOOS,2022-11-02,N,16.4,15.39,16.35,14.75,-10.06,14.86,-9.39,17,19.48,14.51,18.78,18.11,10.42
GOOS,2023-02-02,N,24.65,23.1,23.44,18.65,-24.34,18.81,-23.69,16,23.44,18.41,-25.31,20.11,-18.41
