Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GPOR,2006-03-31,Y,15.12,15.12,15.5,15.0,2.51,15.2,0.52,21,15.89,13.62,-9.92,15.66,3.57
GPOR,2006-05-15,Y,13.56,13.25,13.48,13.05,-3.76,13.27,-2.13,4,13.81,13.02,-3.98,13.4,-1.17
GPOR,2006-08-04,N,12.79,12.95,12.95,10.72,-16.18,11.01,-13.91,14,12.95,10.72,-16.18,12.12,-5.23
GPOR,2006-11-09,Y,12.1,12.02,12.64,11.85,4.46,12.17,0.57,8,13.0,11.37,7.43,12.68,4.79
GPOR,2007-03-28,N,13.31,13.15,13.25,12.25,-7.96,12.82,-3.68,23,15.57,12.25,16.97,13.85,4.05
GPOR,2007-05-14,N,14.5,15.32,16.02,15.3,10.48,15.78,8.82,4,18.19,15.29,25.44,17.53,20.89
GPOR,2007-08-14,N,18.36,17.12,18.39,17.0,-7.4,18.07,-1.52,3,18.47,15.36,-16.33,17.27,-5.93
GPOR,2007-11-08,N,21.1,22.15,22.35,20.97,5.92,21.46,1.7,8,22.35,20.05,5.92,21.0,-0.47
GPOR,2008-03-12,N,14.14,13.57,13.95,10.51,-25.67,12.2,-13.71,9,13.95,10.4,-26.44,10.56,-25.31
GPOR,2008-05-07,N,11.25,13.2,13.62,11.91,21.06,13.0,15.55,9,15.2,11.91,35.11,14.07,25.06
GPOR,2008-08-07,N,13.32,14.54,14.95,14.01,12.23,14.03,5.33,8,14.95,12.37,12.23,12.99,-2.47
GPOR,2008-11-06,N,6.81,6.3,6.4,5.81,-14.68,6.01,-11.74,15,6.68,2.87,-57.85,3.46,-49.19
GPOR,2009-03-10,Y,2.04,2.04,2.19,2.0,6.82,2.1,2.43,10,2.96,2.0,44.39,2.84,38.53
GPOR,2009-05-07,Y,3.44,3.57,4.09,3.53,18.89,4.0,16.27,8,4.26,3.37,23.83,3.64,5.81
GPOR,2009-08-06,N,7.28,7.28,7.34,6.8,-6.59,7.07,-2.88,15,8.44,6.8,15.93,7.94,9.06
GPOR,2009-11-05,Y,8.17,8.0,8.16,7.87,-3.67,8.0,-2.08,15,9.5,7.87,16.27,9.42,15.29
GPOR,2010-03-09,N,9.93,9.75,10.67,9.51,7.45,10.5,5.74,10,12.35,9.51,24.37,11.47,15.5
GPOR,2010-05-06,Y,11.48,11.48,12.08,11.0,5.22,11.73,2.17,15,14.5,11.0,26.3,12.81,11.58
GPOR,2010-08-05,N,14.48,14.29,14.29,13.8,-4.69,13.9,-4.0,15,14.29,11.21,-22.58,11.49,-20.64
GPOR,2010-11-04,N,17.39,17.25,17.85,17.25,2.58,17.73,1.95,15,19.44,16.52,11.72,18.96,8.96
GPOR,2011-03-14,N,25.37,26.34,30.2,26.3,19.03,28.84,13.67,4,32.47,26.3,27.98,31.36,23.61
GPOR,2011-05-05,N,28.75,26.5,27.79,26.03,-9.46,26.64,-7.33,15,29.84,25.04,-12.9,28.45,-1.04
GPOR,2011-08-04,N,34.11,32.61,33.2,28.7,-15.88,29.25,-14.27,15,33.2,22.0,-35.52,25.12,-26.37
GPOR,2011-11-02,N,30.48,32.95,33.64,31.6,10.36,33.49,9.87,16,37.79,31.6,23.98,34.15,12.07
GPOR,2012-02-23,N,36.14,36.14,36.7,34.79,-3.73,36.65,1.43,22,37.35,30.73,-14.96,33.01,-8.66
GPOR,2012-05-08,Y,23.13,20.0,22.07,19.77,-14.52,21.44,-7.3,10,22.28,19.72,-14.74,19.87,-14.09
GPOR,2012-08-07,Y,22.46,24.54,27.4,24.46,21.99,26.32,17.18,10,28.19,24.46,25.51,25.81,14.91
GPOR,2012-11-06,Y,32.97,33.17,34.83,31.64,5.6,33.93,2.88,10,34.83,30.35,-7.97,32.04,-2.81
GPOR,2013-02-26,Y,35.96,36.26,39.84,35.96,10.78,39.33,9.37,17,43.83,35.96,21.88,43.3,20.41
GPOR,2013-05-07,Y,53.54,50.11,52.99,50.1,-6.42,52.17,-2.55,10,53.28,47.85,-10.62,48.5,-9.41
GPOR,2013-08-06,Y,55.64,52.75,53.92,50.33,-9.54,51.8,-6.9,10,53.98,50.33,-9.54,53.42,-3.98
GPOR,2013-11-05,Y,60.53,62.4,62.49,57.18,-5.53,57.7,-4.67,10,62.49,55.0,-9.13,58.51,-3.33
GPOR,2014-02-26,Y,59.93,60.13,65.01,60.13,8.47,62.13,3.67,24,68.37,60.13,14.08,67.67,12.91
GPOR,2014-05-07,Y,73.04,60.75,61.5,58.99,-19.23,59.38,-18.7,10,64.78,58.9,-19.35,61.94,-15.19
GPOR,2014-08-06,Y,52.33,54.0,59.83,53.71,14.33,54.78,4.68,10,59.83,53.71,14.33,56.45,7.87
GPOR,2014-11-05,Y,48.54,48.95,52.06,48.55,7.25,51.95,7.02,17,56.72,48.55,16.85,54.52,12.31
GPOR,2015-02-25,Y,44.09,47.75,48.0,43.19,8.86,45.66,3.56,23,48.6,42.02,10.22,46.11,4.58
GPOR,2015-05-05,Y,47.06,47.72,47.89,45.17,-4.01,45.42,-3.48,10,48.18,43.93,-6.65,47.11,0.1
GPOR,2015-08-05,Y,32.17,32.98,34.55,31.99,7.39,34.05,5.84,16,36.66,31.99,13.95,33.82,5.12
GPOR,2015-11-04,Y,31.38,29.84,32.11,28.58,-8.92,30.49,-2.83,16,32.18,25.78,-17.84,25.84,-17.65
GPOR,2016-02-17,Y,28.68,28.66,28.67,26.1,-8.99,27.56,-3.9,2,28.67,26.1,-8.99,27.16,-5.29
GPOR,2016-05-04,Y,27.52,27.28,28.63,26.98,4.03,27.92,1.45,16,31.2,26.98,13.37,29.28,6.39
GPOR,2016-08-03,Y,28.67,27.63,28.72,26.18,-8.68,26.81,-6.48,16,28.72,25.34,-11.61,26.74,-6.73
GPOR,2016-11-02,Y,23.55,23.94,23.97,22.78,-3.26,23.2,-1.48,16,25.8,22.59,9.55,24.93,5.85
GPOR,2017-02-13,Y,20.68,20.68,20.85,19.56,-5.41,20.77,0.43,4,21.36,19.44,-5.99,19.48,-5.8
GPOR,2017-05-08,Y,15.79,16.94,16.94,15.81,7.28,16.12,2.08,11,17.16,15.75,8.67,16.11,2.02
GPOR,2017-08-09,N,11.0,11.5,11.82,11.4,7.45,11.59,5.36,10,12.38,11.4,12.54,12.17,10.63
GPOR,2017-11-01,Y,13.92,13.22,13.68,12.98,-6.75,13.12,-5.74,16,14.42,12.17,-12.57,13.29,-4.52
GPOR,2018-02-21,Y,8.41,9.18,9.92,8.81,17.95,9.6,14.14,23,10.94,8.81,30.08,10.25,21.87
GPOR,2018-05-08,Y,9.05,9.6,10.83,9.55,19.66,10.5,16.02,10,11.14,9.55,23.09,10.65,17.67
GPOR,2018-08-01,Y,11.36,11.61,11.61,10.74,-5.45,11.19,-1.49,16,11.95,10.74,-5.45,11.14,-1.93
GPOR,2018-11-01,Y,9.38,9.55,9.62,8.92,-4.9,9.1,-2.98,15,10.24,8.56,9.16,8.72,-7.03
