Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GPRK,2014-03-31,Y,7.07,7.15,7.15,6.97,-1.41,6.98,-1.27,21,8.49,6.76,20.08,8.38,18.52
GPRK,2014-05-22,N,9.63,9.64,9.65,9.05,-6.02,9.07,-5.81,29,9.65,8.97,-6.85,9.55,-0.83
GPRK,2014-08-26,N,10.8,10.78,10.98,10.5,-2.77,10.65,-1.38,24,11.0,10.05,-6.94,10.44,-3.33
GPRK,2014-11-19,N,7.85,7.85,8.0,7.83,1.91,7.9,0.63,3,8.33,7.83,6.11,8.18,4.2
GPRK,2015-03-23,N,4.0,4.0,4.13,4.0,3.24,4.07,1.75,25,4.88,3.71,21.99,4.75,18.75
GPRK,2015-05-19,Y,5.56,5.5,5.58,5.38,-3.23,5.53,-0.53,31,5.6,4.8,-13.66,5.17,-7.01
GPRK,2015-08-11,Y,3.49,3.35,3.54,3.3,-5.44,3.35,-4.01,10,4.2,3.3,20.34,3.5,0.28
GPRK,2015-11-10,Y,3.5,3.2,3.45,3.1,-11.42,3.27,-6.57,10,3.45,3.1,-11.42,3.39,-3.14
GPRK,2016-03-10,Y,2.68,2.7,2.7,2.63,-1.86,2.7,0.74,8,3.0,2.63,11.94,2.7,0.74
GPRK,2016-05-09,Y,2.67,2.65,2.67,2.65,-0.74,2.65,-0.74,11,3.09,1.9,-28.83,2.62,-1.87
GPRK,2016-08-11,Y,3.26,3.25,3.4,3.25,4.29,3.38,3.68,8,3.6,3.25,10.42,3.48,6.74
GPRK,2016-11-14,Y,4.43,4.46,4.59,4.3,3.61,4.45,0.45,4,4.59,4.28,3.61,4.53,2.25
GPRK,2017-03-07,Y,6.19,6.59,7.24,6.07,16.96,6.18,-0.16,10,8.0,5.92,29.24,6.84,10.5
GPRK,2017-05-10,Y,7.34,7.32,7.73,7.25,5.31,7.31,-0.4,9,8.62,7.12,17.43,8.51,15.94
GPRK,2017-08-16,Y,8.61,8.58,9.0,8.33,4.52,8.5,-1.27,2,9.0,8.25,4.52,8.37,-2.78
GPRK,2017-11-15,Y,9.83,8.57,9.33,8.5,6.38,9.26,-5.58,217,20.4,8.4,107.52,19.29,96.23
GPRK,2018-08-08,Y,19.28,19.48,19.48,17.05,-11.56,18.01,-6.58,9,19.48,15.67,-18.72,15.76,-18.25
GPRK,2018-11-06,Y,17.67,17.89,18.6,17.77,5.26,18.2,2.99,10,18.6,15.74,-10.92,18.1,2.43
GPRK,2019-03-06,Y,18.72,18.8,18.96,18.05,-3.57,18.82,0.53,9,19.47,17.35,-7.31,18.69,-0.16
GPRK,2019-05-08,Y,15.33,14.5,15.5,14.01,-8.61,15.47,0.91,9,15.97,14.01,-8.61,15.38,0.32
GPRK,2019-08-07,Y,16.81,16.95,17.27,16.11,-4.16,17.1,1.72,9,17.5,16.03,-4.64,16.57,-1.42
GPRK,2020-03-04,Y,17.88,16.97,17.83,16.57,-7.32,17.02,-4.8,16,17.83,5.44,-69.57,5.84,-67.33
GPRK,2020-05-13,Y,7.02,6.82,7.0,6.32,-9.97,6.74,-3.98,2,8.18,6.32,16.52,7.99,13.81
GPRK,2020-08-05,Y,9.77,9.8,10.0,9.77,2.35,9.96,1.94,16,10.73,9.16,9.82,9.36,-4.19
GPRK,2020-11-04,Y,6.63,6.72,7.38,6.72,11.31,6.79,2.41,16,9.99,6.63,50.67,9.55,44.04
GPRK,2021-03-10,Y,17.56,17.56,18.5,17.41,5.35,17.66,0.56,9,18.5,15.37,-12.47,15.88,-9.56
GPRK,2021-08-04,Y,11.42,11.67,12.46,11.31,9.1,11.5,0.7,16,12.46,9.5,-16.81,10.41,-8.84
GPRK,2021-11-10,Y,13.92,14.34,14.37,13.5,3.23,13.62,-2.15,9,14.37,11.96,-14.08,12.25,-11.99
GPRK,2022-03-09,Y,15.05,15.25,16.02,14.92,6.44,15.08,0.19,9,16.02,12.6,-16.27,14.06,-6.57
GPRK,2022-05-11,Y,14.54,14.0,14.32,12.29,-15.47,14.32,-1.51,9,16.21,12.29,-15.47,15.32,5.36
GPRK,2022-08-10,Y,12.0,12.0,12.55,11.89,4.58,12.55,4.58,9,13.55,11.89,12.91,13.14,9.5
