Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
GSAT,2006-11-21,Y,14.15,14.25,14.41,13.75,-2.82,13.93,-1.55,24,14.42,12.45,-12.01,14.1,-0.35
GSAT,2007-03-27,Y,11.03,11.0,11.29,11.0,2.35,11.15,1.08,24,11.29,8.72,-20.94,10.15,-7.97
GSAT,2007-05-14,Y,9.84,9.6,9.6,9.07,-7.82,9.34,-5.08,4,10.3,8.75,-11.07,10.23,3.96
GSAT,2007-08-14,Y,9.38,9.22,9.59,8.52,-9.16,8.69,-7.35,3,10.97,8.05,16.95,10.01,6.71
GSAT,2007-11-14,Y,8.69,8.8,9.15,8.69,5.17,8.77,0.91,2,9.15,8.69,5.17,9.0,3.44
GSAT,2008-03-12,Y,6.95,6.58,6.9,6.55,-5.75,6.82,-1.87,9,7.53,6.36,-8.48,7.04,1.29
GSAT,2008-05-07,Y,3.19,3.24,3.3,3.2,3.44,3.3,3.44,9,3.31,2.77,-13.16,2.92,-8.46
GSAT,2008-08-11,Y,2.92,2.84,3.0,2.84,2.73,2.92,,4,3.07,2.79,5.13,2.79,-4.45
GSAT,2008-11-10,Y,0.43,0.42,0.44,0.24,-44.18,0.28,-32.55,11,0.44,0.2,-53.48,0.25,-41.86
GSAT,2009-03-31,Y,0.35,0.4,0.4,0.36,14.28,0.4,14.28,17,0.76,0.36,117.14,0.7,100.0
GSAT,2009-05-11,Y,0.75,0.78,0.8,0.75,6.66,0.75,,4,0.85,0.7,13.33,0.78,4.0
GSAT,2009-08-11,N,0.95,0.87,0.95,0.87,-8.42,0.95,,10,1.03,0.87,8.42,0.91,-4.21
GSAT,2009-11-05,Y,0.72,0.71,0.75,0.71,4.16,0.72,,15,0.87,0.67,20.83,0.87,20.83
GSAT,2010-03-11,Y,1.41,1.3,1.39,1.3,-7.8,1.39,-1.41,8,1.4,1.27,-9.92,1.29,-8.51
GSAT,2010-05-06,Y,1.6,1.79,1.79,1.54,11.87,1.54,-3.75,15,1.85,1.54,15.62,1.56,-1.87
GSAT,2010-08-05,Y,1.75,1.73,1.8,1.73,2.85,1.77,1.14,15,1.9,1.6,8.57,1.73,-1.14
GSAT,2010-11-08,Y,1.66,1.7,1.7,1.58,-4.81,1.58,-4.81,11,1.7,1.49,-10.24,1.58,-4.81
GSAT,2011-03-31,Y,1.27,1.27,1.39,1.22,9.44,1.32,3.93,15,1.46,1.09,14.96,1.19,-6.29
GSAT,2011-05-05,Y,1.14,1.28,1.28,1.13,11.3,1.14,,15,1.28,1.1,11.3,1.17,1.73
GSAT,2011-08-04,Y,0.86,0.8,0.9,0.5,-41.86,0.59,-31.39,15,0.9,0.5,-41.86,0.61,-29.06
GSAT,2011-11-08,Y,0.61,0.53,0.53,0.48,-21.31,0.49,-19.67,10,0.53,0.39,-36.06,0.39,-36.06
GSAT,2012-03-12,N,0.82,0.85,0.85,0.8,3.65,0.8,-2.43,4,0.85,0.74,-9.75,0.77,-6.09
GSAT,2012-05-10,Y,0.45,0.52,0.52,0.45,15.55,0.5,11.11,8,0.52,0.23,-48.88,0.26,-42.22
GSAT,2012-08-09,N,0.33,0.36,0.36,0.32,9.09,0.35,6.06,8,0.36,0.31,9.09,0.31,-6.06
GSAT,2012-11-14,Y,0.35,0.35,0.35,0.28,-19.99,0.28,-17.14,2,0.35,0.28,-19.99,0.28,-17.14
GSAT,2013-05-09,Y,0.34,0.34,0.36,0.34,5.88,0.35,2.94,8,0.44,0.34,29.41,0.4,17.64
GSAT,2013-08-13,Y,0.64,0.64,0.65,0.61,-4.68,0.63,-1.56,3,0.65,0.61,-4.68,0.61,-4.68
GSAT,2013-11-13,Y,1.7,1.75,1.8,1.71,5.88,1.75,2.94,2,1.8,1.67,5.88,1.72,1.17
GSAT,2014-03-10,Y,2.56,2.56,2.61,2.5,-2.34,2.53,-1.17,11,2.73,2.46,6.64,2.69,5.07
GSAT,2014-05-07,Y,2.93,2.85,3.12,2.85,6.48,3.04,3.75,9,3.24,2.85,10.58,3.16,7.84
GSAT,2014-08-11,Y,3.86,3.9,3.93,3.57,-7.51,3.7,-4.14,4,4.09,3.57,-7.51,3.99,3.36
GSAT,2014-11-06,Y,2.48,2.53,2.72,2.45,9.67,2.62,5.64,16,2.99,2.39,20.56,2.78,12.09
GSAT,2015-03-02,Y,2.53,2.53,2.67,2.52,5.53,2.6,2.76,18,3.56,2.52,40.71,3.55,40.31
GSAT,2015-05-07,Y,2.31,2.42,2.43,2.29,5.19,2.35,1.73,8,2.65,2.29,14.71,2.56,10.82
GSAT,2015-08-10,Y,1.99,1.93,2.02,1.92,-3.51,1.94,-2.51,11,2.02,1.56,-21.6,1.84,-7.53
GSAT,2015-11-05,Y,1.98,1.9,2.11,1.9,6.56,2.1,6.06,15,2.17,1.86,9.59,2.0,1.01
