Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HAE,2002-01-24,N,13.94,14.25,14.28,13.88,2.43,13.92,-0.14,22,14.93,13.27,7.1,14.78,6.02
HAE,2002-05-02,N,17.18,17.18,17.18,16.46,-4.19,16.46,-4.19,15,17.18,14.48,-15.71,14.82,-13.73
HAE,2002-07-25,N,12.72,12.62,13.15,12.08,-5.03,12.52,-1.57,22,14.2,11.8,11.63,13.98,9.9
HAE,2002-10-24,N,10.72,10.82,10.9,10.28,-4.1,10.45,-2.51,22,11.4,10.19,6.34,11.35,5.87
HAE,2003-01-23,N,10.86,10.92,11.19,10.89,3.03,11.15,2.67,29,11.19,10.08,-7.18,10.92,0.55
HAE,2003-04-23,Y,11.49,10.62,10.62,9.19,-20.01,9.44,-17.75,23,10.62,8.69,-24.36,9.48,-17.49
HAE,2003-07-24,N,9.22,9.22,10.18,9.19,10.41,10.09,9.43,22,11.1,9.19,20.39,10.51,13.99
HAE,2003-10-23,N,11.09,11.08,11.22,10.86,-2.07,11.0,-0.81,29,12.0,10.86,8.2,11.12,0.27
HAE,2004-01-22,N,13.1,13.42,13.42,13.42,2.44,13.42,2.44,29,14.65,13.35,11.83,13.96,6.56
HAE,2004-05-03,Y,14.2,14.05,14.06,13.02,-8.3,13.24,-6.76,18,14.06,12.48,-12.11,13.25,-6.69
HAE,2004-07-29,N,13.58,14.25,15.0,14.0,10.45,15.0,10.45,22,15.56,13.94,14.58,15.4,13.4
HAE,2004-11-01,Y,16.0,16.0,16.39,15.92,2.43,16.03,0.18,18,17.62,15.92,10.12,16.98,6.18
HAE,2005-01-31,N,18.23,18.89,19.48,18.78,6.85,19.44,6.63,18,20.74,18.78,13.76,19.5,6.96
HAE,2005-05-05,N,21.39,21.39,21.39,18.07,-15.52,18.28,-14.53,15,21.39,18.07,-15.52,20.52,-4.06
HAE,2005-07-28,N,20.42,21.25,21.7,20.85,6.26,21.32,4.4,22,22.12,20.68,8.32,20.96,2.64
HAE,2005-10-27,N,23.54,23.5,23.99,23.0,-2.29,23.88,1.44,22,25.19,23.0,7.0,25.1,6.62
HAE,2006-01-31,N,22.18,23.7,26.24,23.67,18.3,26.0,17.22,17,26.45,23.67,19.25,25.98,17.13
HAE,2006-05-04,N,27.1,26.6,26.6,25.45,-6.08,25.78,-4.87,15,26.94,24.6,-9.22,25.5,-5.9
HAE,2006-07-27,N,23.28,23.25,23.26,20.32,-12.71,20.54,-11.76,22,24.1,20.32,-12.71,23.78,2.14
HAE,2006-10-31,N,23.74,23.8,23.86,22.38,-5.72,22.8,-3.95,17,23.86,21.74,-8.42,22.68,-4.46
HAE,2007-01-31,N,25.09,24.17,25.0,23.1,-7.93,24.12,-3.86,16,25.0,23.04,-8.17,23.44,-6.57
HAE,2007-05-02,N,24.05,24.05,26.98,24.05,12.18,26.3,9.35,16,26.98,24.05,12.18,24.5,1.87
HAE,2007-08-02,N,25.16,25.04,25.26,24.21,-3.77,25.17,0.03,15,27.3,23.62,8.5,26.02,3.41
HAE,2007-11-01,N,25.7,24.9,27.19,24.16,-5.99,26.09,1.51,15,29.11,24.16,13.26,28.3,10.11
HAE,2008-01-31,N,27.62,27.62,30.04,27.62,8.76,29.92,8.32,15,30.12,27.62,9.05,28.18,2.02
HAE,2008-05-01,N,28.62,28.72,28.72,25.86,-9.64,26.73,-6.6,15,28.72,25.86,-9.64,27.53,-3.8
HAE,2008-08-01,N,29.03,29.64,31.18,29.48,7.4,30.56,5.27,14,32.25,29.48,11.09,30.75,5.92
HAE,2008-10-27,N,24.8,25.64,28.12,24.82,13.38,26.19,5.6,25,30.52,24.4,23.06,26.76,7.9
HAE,2009-02-02,N,29.58,30.22,32.67,29.4,10.44,32.32,9.26,18,32.67,28.48,10.44,28.8,-2.63
HAE,2009-05-04,N,26.02,26.64,26.94,23.39,-10.1,24.68,-5.14,11,27.62,23.39,-10.1,26.58,2.15
HAE,2009-08-03,N,29.5,30.1,30.27,27.28,-7.52,28.0,-5.08,18,30.27,26.34,-10.71,27.2,-7.79
HAE,2009-11-02,N,25.75,25.94,27.33,25.92,6.13,26.88,4.38,18,28.09,25.92,9.08,26.77,3.96
HAE,2010-02-01,N,28.3,28.0,28.04,26.2,-7.42,26.6,-6.0,18,28.04,26.2,-7.42,26.94,-4.8
HAE,2010-05-04,N,28.68,28.5,28.5,27.56,-3.9,28.14,-1.88,17,29.1,26.8,-6.55,27.14,-5.36
HAE,2010-08-02,N,27.62,27.9,28.31,26.82,-2.89,26.91,-2.57,18,28.31,25.95,-6.04,26.24,-4.99
HAE,2010-11-01,N,27.32,27.08,27.73,26.55,-2.81,27.53,0.76,18,29.7,26.55,8.71,29.34,7.39
HAE,2011-01-31,N,29.42,29.38,30.2,29.32,2.65,29.67,0.84,18,31.04,29.32,5.5,30.93,5.13
HAE,2011-05-02,N,35.1,33.95,34.57,33.29,-5.15,34.43,-1.9,18,34.57,33.01,-5.95,33.24,-5.29
HAE,2011-08-01,N,32.75,31.6,32.0,28.52,-12.91,29.18,-10.9,18,32.0,27.63,-15.63,28.88,-11.81
HAE,2011-10-31,N,31.92,29.26,31.0,28.98,-9.21,30.48,-4.51,18,31.0,28.0,-12.28,29.16,-8.64
HAE,2012-01-30,N,33.13,33.65,34.0,32.4,2.62,32.52,-1.84,18,34.47,32.4,4.04,33.61,1.47
HAE,2012-04-30,N,34.36,34.51,36.0,34.51,4.77,35.78,4.13,18,36.74,34.51,6.92,34.86,1.45
HAE,2012-08-02,N,35.18,34.64,35.33,33.51,-4.74,34.32,-2.44,15,36.14,33.51,-4.74,36.11,2.67
HAE,2012-10-29,N,39.18,38.44,41.0,38.11,4.64,40.85,4.26,18,41.5,38.11,5.92,40.22,2.65
HAE,2013-01-30,N,44.44,42.0,42.38,40.36,-9.18,41.88,-5.76,16,42.38,40.36,-9.18,41.27,-7.13
HAE,2013-05-01,N,38.5,40.0,40.21,37.71,4.44,37.75,-1.94,16,41.14,37.71,6.85,41.14,6.85
HAE,2013-07-29,N,45.43,42.08,43.98,41.05,-9.64,41.92,-7.72,18,43.98,40.25,-11.4,40.47,-10.91
HAE,2013-10-28,N,40.74,39.4,41.26,38.57,-5.32,40.88,0.34,18,41.84,38.26,-6.08,39.54,-2.92
HAE,2014-01-27,N,40.04,38.75,39.31,37.64,-5.99,38.59,-3.62,29,39.31,37.26,-6.94,38.09,-4.87
HAE,2014-04-28,N,33.25,30.71,31.35,30.0,-9.77,31.19,-6.19,22,33.48,29.86,-10.19,33.45,0.6
HAE,2014-07-30,N,36.06,36.5,36.88,35.73,2.27,35.94,-0.33,18,36.88,34.64,-3.93,36.22,0.44
HAE,2014-11-03,N,37.72,38.0,38.0,34.56,-8.37,34.74,-7.9,22,38.0,34.5,-8.53,37.06,-1.74
HAE,2015-01-29,N,37.0,37.19,39.89,36.77,7.81,39.52,6.81,23,43.82,36.77,18.43,43.63,17.91
HAE,2015-04-27,N,43.35,42.5,43.12,41.1,-5.19,41.68,-3.85,21,43.12,39.69,-8.44,41.55,-4.15
HAE,2015-07-27,N,38.51,39.61,40.4,37.97,4.9,38.1,-1.06,28,40.69,36.85,5.66,37.42,-2.83
HAE,2015-11-04,N,34.06,34.23,34.23,32.16,-5.57,32.67,-4.08,17,34.23,32.07,-5.84,33.33,-2.14
HAE,2016-02-01,N,31.64,31.84,35.07,30.77,10.84,34.49,9.0,21,35.07,30.77,10.84,32.0,1.13
HAE,2016-05-02,N,32.43,30.0,31.4,27.52,-15.14,27.65,-14.73,21,31.4,25.98,-19.88,27.63,-14.8
HAE,2016-08-01,N,30.32,30.5,33.74,30.29,11.27,33.52,10.55,21,36.4,30.29,20.05,36.09,19.03
HAE,2016-11-07,N,34.25,35.49,37.83,35.41,10.45,36.84,7.56,14,39.8,35.41,16.2,38.95,13.72
HAE,2017-02-06,N,41.34,41.18,41.49,37.9,-8.32,38.0,-8.07,14,41.49,36.44,-11.85,37.75,-8.68
HAE,2017-05-08,N,43.2,42.17,43.58,40.36,-6.57,42.94,-0.6,14,43.62,40.0,-7.4,40.03,-7.33
HAE,2017-08-07,N,41.19,40.81,43.02,39.92,4.44,42.39,2.91,14,43.74,39.92,6.19,41.58,0.94
HAE,2017-11-07,N,46.83,49.18,52.82,48.21,12.79,51.51,9.99,11,58.02,48.21,23.89,57.99,23.83
HAE,2018-02-06,N,60.72,65.1,67.39,64.11,10.98,66.4,9.35,11,72.33,64.11,19.12,69.56,14.55
HAE,2018-05-08,N,78.03,77.92,82.7,76.13,5.98,82.55,5.79,11,90.22,76.13,15.62,88.91,13.94
HAE,2018-08-07,N,97.11,103.0,108.37,101.0,11.59,105.51,8.64,11,108.37,98.89,11.59,103.51,6.59
HAE,2018-11-06,N,105.45,106.75,109.96,105.24,4.27,108.81,3.18,11,116.69,104.14,10.65,110.8,5.07
HAE,2019-02-05,N,97.17,90.51,90.51,83.05,-14.53,84.61,-12.92,11,90.51,82.28,-15.32,88.0,-9.43
HAE,2019-05-07,N,93.86,93.16,98.2,93.16,4.62,97.99,4.4,11,102.39,93.16,9.08,100.07,6.61
HAE,2019-08-06,N,117.16,121.72,132.72,121.72,13.28,131.24,12.01,11,138.95,121.72,18.59,138.52,18.23
HAE,2019-11-01,N,120.73,125.56,130.75,123.09,8.29,129.46,7.23,15,130.75,117.62,8.29,120.47,-0.21
HAE,2020-02-04,N,111.39,118.5,123.28,116.91,10.67,121.82,9.36,18,126.74,116.91,13.78,118.29,6.19
HAE,2020-05-05,N,110.06,110.4,110.95,104.98,-4.61,106.38,-3.34,11,110.95,95.64,-13.1,100.37,-8.8
HAE,2020-08-04,N,87.2,84.95,86.37,76.06,-12.77,76.38,-12.4,18,87.98,74.48,-14.58,86.69,-0.58
HAE,2020-11-04,N,102.2,104.25,104.25,94.45,-7.58,95.3,-6.75,17,116.13,94.45,13.63,115.76,13.26
HAE,2021-02-02,N,115.0,128.0,139.69,128.0,21.46,129.93,12.98,18,142.11,127.83,23.57,132.57,15.27
HAE,2021-05-13,N,59.83,53.45,53.68,49.26,-17.66,51.81,-13.4,9,57.9,49.26,-17.66,56.16,-6.13
HAE,2021-08-11,N,57.76,58.53,62.33,58.53,7.91,61.97,7.28,10,64.03,57.3,10.85,59.62,3.22
HAE,2021-11-09,N,71.13,63.5,63.5,57.32,-19.41,60.2,-15.36,11,63.5,55.14,-22.47,56.17,-21.03
HAE,2022-02-08,N,46.97,48.97,55.9,48.97,19.01,54.56,16.15,11,59.66,48.97,27.01,55.52,18.2
HAE,2022-05-10,N,49.27,53.0,58.39,51.17,18.51,54.38,10.37,11,61.0,50.48,23.8,59.32,20.39
HAE,2022-08-10,N,67.59,72.0,77.08,71.02,14.04,73.6,8.89,10,77.46,71.02,14.6,76.44,13.09
HAE,2022-11-07,N,80.66,84.52,85.61,81.8,6.13,83.57,3.6,14,86.48,75.09,7.21,79.93,-0.9
HAE,2023-02-07,N,87.76,85.72,88.0,80.45,-8.32,82.57,-5.91,11,88.0,79.39,-9.53,81.28,-7.38
