Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HAS,2002-02-07,N,15.39,13.55,14.45,13.2,-14.23,14.35,-6.75,8,14.45,12.84,-16.56,13.2,-14.23
HAS,2002-04-22,N,16.64,16.75,16.98,16.41,1.98,16.45,-1.2,25,16.98,14.9,-10.51,15.05,-9.6
HAS,2002-07-22,N,11.69,11.65,12.28,11.44,5.04,11.73,0.34,25,12.83,10.75,9.75,12.6,7.78
HAS,2002-10-21,N,10.85,10.5,11.06,10.16,-6.35,11.0,1.38,25,11.97,9.86,10.32,11.68,7.64
HAS,2003-02-13,N,11.29,11.6,11.9,11.6,5.4,11.8,4.51,8,12.3,11.6,8.94,12.14,7.52
HAS,2003-04-21,N,14.2,15.46,16.07,14.95,13.16,16.0,12.67,25,16.61,14.95,16.97,16.14,13.73
HAS,2003-07-21,N,17.94,18.0,18.05,17.62,-1.78,17.79,-0.83,25,19.27,17.62,7.41,18.7,4.23
HAS,2003-10-20,N,20.64,21.1,21.74,20.59,5.32,21.7,5.13,32,22.63,20.59,9.64,21.79,5.57
HAS,2004-02-09,N,20.69,21.0,21.04,20.21,-2.31,20.76,0.33,11,22.61,20.21,9.27,21.69,4.83
HAS,2004-04-19,N,21.87,21.85,21.85,20.58,-5.89,21.0,-3.97,32,21.85,17.14,-21.62,19.04,-12.94
HAS,2004-07-16,N,18.0,17.75,18.1,17.39,-3.38,17.96,-0.22,0,18.1,17.39,-3.38,17.96,-0.22
HAS,2004-10-18,N,18.46,18.0,18.01,17.1,-7.36,17.26,-6.5,32,19.25,16.89,-8.5,18.86,2.16
HAS,2005-02-07,N,20.39,19.89,20.25,19.8,-2.94,20.0,-1.96,11,20.95,19.8,-2.94,20.29,-0.53
HAS,2005-04-18,N,19.29,18.64,19.46,18.39,-4.66,19.3,0.1,32,20.99,18.39,8.81,20.79,7.77
HAS,2005-07-18,N,21.48,22.0,22.35,21.34,4.05,21.56,0.37,32,22.35,20.26,-5.67,20.43,-4.88
HAS,2005-10-17,N,18.72,17.8,18.88,17.75,-5.18,18.79,0.37,4,19.54,17.75,-5.18,19.1,2.02
HAS,2006-02-06,N,20.75,21.5,21.9,20.0,5.54,20.62,-0.62,11,21.9,20.0,5.54,20.26,-2.36
HAS,2006-04-24,N,20.93,20.73,21.08,20.35,-2.77,20.82,-0.52,25,21.08,19.16,-8.45,19.32,-7.64
HAS,2006-07-24,N,17.48,17.0,19.18,17.0,9.66,19.14,9.49,25,19.89,17.0,13.72,19.82,13.37
HAS,2006-10-23,N,23.3,24.15,25.95,23.8,11.37,25.33,8.71,25,27.5,23.8,18.02,26.83,15.15
HAS,2007-02-09,Y,28.38,28.64,28.98,28.07,2.11,28.71,1.16,7,29.63,28.07,4.4,29.6,4.29
HAS,2007-04-23,Y,32.54,31.55,32.17,30.95,-4.88,31.16,-4.24,25,33.25,30.85,-5.19,31.87,-2.05
HAS,2007-07-23,N,32.56,33.31,33.49,29.5,-9.39,30.8,-5.4,25,33.49,25.25,-22.45,27.51,-15.5
HAS,2007-10-22,N,28.41,29.73,29.73,28.0,4.64,28.4,-0.03,25,30.17,25.31,-10.91,27.45,-3.37
HAS,2008-02-11,N,25.87,26.99,26.99,26.08,4.32,26.41,2.08,4,27.43,26.08,6.03,26.77,3.47
HAS,2008-04-21,N,31.55,32.79,35.07,32.51,11.15,34.65,9.82,25,37.35,32.51,18.38,36.26,14.92
HAS,2008-07-21,N,37.99,38.68,38.68,35.86,-5.6,37.35,-1.68,25,41.68,35.86,9.71,39.69,4.47
HAS,2008-10-20,N,30.12,31.0,31.0,27.37,-9.13,28.87,-4.15,32,31.0,21.94,-27.15,24.44,-18.85
HAS,2009-02-09,N,23.54,23.57,25.49,23.57,8.28,25.07,6.49,11,25.49,21.68,8.28,23.2,-1.44
HAS,2009-04-20,N,27.91,27.49,29.23,26.81,4.72,27.16,-2.68,25,29.23,22.46,-19.52,22.93,-17.84
HAS,2009-07-20,Y,26.45,26.45,26.77,25.93,-1.96,26.38,-0.26,32,27.13,25.66,-2.98,27.01,2.11
HAS,2009-10-19,N,29.52,29.7,29.8,28.03,-5.04,28.42,-3.72,32,30.32,26.82,-9.14,29.1,-1.42
HAS,2010-02-08,N,30.8,33.65,35.19,33.53,14.25,34.71,12.69,11,36.19,33.53,17.49,35.79,16.23
HAS,2010-04-19,N,39.85,40.36,41.0,39.92,2.88,40.9,2.65,32,42.59,36.0,-9.66,39.53,-0.8
HAS,2010-07-19,N,39.5,37.94,40.0,37.65,-4.68,39.35,-0.37,32,44.59,37.65,12.88,42.47,7.51
HAS,2010-10-18,Y,46.81,46.31,46.6,45.52,-2.75,46.21,-1.28,32,47.79,45.26,-3.31,47.79,2.09
HAS,2011-02-07,N,44.82,43.45,45.82,43.45,-3.05,45.63,1.8,11,46.16,43.45,-3.05,45.74,2.05
HAS,2011-04-14,Y,44.4,44.72,45.57,44.28,2.63,44.8,0.9,1,45.57,44.28,2.63,44.8,0.9
HAS,2011-07-18,N,41.37,41.09,41.3,39.29,-5.02,39.4,-4.76,32,41.3,33.82,-18.24,36.43,-11.94
HAS,2011-10-17,N,34.75,33.54,35.26,32.84,-5.49,34.99,0.69,4,35.47,32.84,-5.49,35.08,0.94
HAS,2012-02-06,N,35.86,35.19,36.9,34.54,-3.68,36.65,2.23,11,37.63,34.54,4.93,36.18,0.89
HAS,2012-04-23,N,35.92,35.49,35.5,33.81,-5.87,34.04,-5.23,25,37.24,33.81,-5.87,34.24,-4.67
HAS,2012-07-23,N,33.84,35.0,36.46,34.72,7.74,35.19,3.98,25,38.6,34.56,14.06,38.24,13.0
HAS,2012-10-22,N,39.04,39.32,39.96,37.76,-3.3,38.39,-1.69,25,39.96,35.47,-9.16,36.45,-6.65
HAS,2013-01-25,N,38.45,37.42,37.65,36.6,-4.81,37.31,-2.96,21,41.0,36.6,6.63,40.53,5.4
HAS,2013-02-07,Y,38.72,38.86,39.84,38.76,2.89,39.84,2.89,8,41.0,38.76,5.88,40.53,4.67
HAS,2013-04-22,N,45.02,46.38,48.46,45.86,7.64,46.55,3.39,25,48.46,45.86,7.64,47.91,6.41
HAS,2013-07-22,N,45.38,45.12,47.97,44.9,5.7,46.87,3.28,25,48.35,44.76,6.54,44.9,-1.05
HAS,2013-10-21,N,47.24,48.93,51.68,48.71,9.39,49.72,5.24,25,53.68,48.71,13.63,52.73,11.62
HAS,2014-02-10,N,50.09,50.94,53.68,50.09,7.16,52.36,4.53,15,54.63,50.09,9.06,54.3,8.4
HAS,2014-04-21,N,54.61,56.07,56.91,54.27,4.21,55.66,1.92,30,56.91,53.58,4.21,54.19,-0.76
HAS,2014-07-21,N,53.21,52.26,52.49,51.3,-3.58,51.78,-2.68,29,53.18,48.01,-9.77,50.79,-4.54
HAS,2014-10-20,N,53.85,53.89,57.16,53.87,6.14,56.51,4.93,36,58.41,53.74,8.46,56.69,5.27
HAS,2015-02-09,N,55.74,58.4,60.66,57.2,8.82,59.66,7.03,14,63.09,57.2,13.18,61.83,10.92
HAS,2015-04-20,N,65.89,70.0,74.36,69.66,12.85,74.16,12.55,28,74.75,69.66,13.44,72.39,9.86
HAS,2015-07-20,N,78.25,81.69,84.42,81.69,7.88,83.15,6.26,35,84.42,75.18,7.88,75.18,-3.92
HAS,2015-10-19,N,77.78,76.77,77.5,70.82,-8.94,72.18,-7.19,35,79.93,70.82,-8.94,75.49,-2.94
HAS,2016-02-08,N,74.1,74.36,75.87,72.32,-2.4,75.11,1.36,14,75.87,68.6,-7.42,72.08,-2.72
HAS,2016-04-18,N,82.41,87.34,88.0,84.57,6.78,87.18,5.78,35,88.53,83.35,7.42,84.39,2.4
HAS,2016-07-18,N,85.5,83.5,84.25,78.53,-8.15,79.82,-6.64,35,84.25,78.53,-8.15,80.69,-5.62
HAS,2016-10-17,N,76.16,79.94,82.82,79.11,8.74,81.82,7.43,7,82.87,79.11,8.81,82.81,8.73
HAS,2017-02-06,N,82.63,94.11,96.34,93.3,16.59,94.31,14.13,14,98.76,93.26,19.52,98.5,19.2
HAS,2017-04-24,N,96.03,102.28,104.14,99.68,8.44,101.7,5.9,28,104.14,98.01,8.44,101.05,5.22
HAS,2017-07-24,N,115.95,111.16,111.59,103.68,-10.58,105.0,-9.44,28,111.59,95.12,-17.96,95.51,-17.62
HAS,2017-10-23,N,98.19,92.69,93.44,88.66,-9.7,89.75,-8.59,28,99.17,87.92,-10.45,95.89,-2.34
HAS,2018-02-07,N,93.93,92.5,103.39,92.1,10.07,102.22,8.82,10,103.39,92.1,10.07,98.85,5.23
HAS,2018-04-23,N,82.81,79.25,86.88,79.0,4.91,86.12,3.99,28,89.21,79.0,7.72,88.71,7.12
HAS,2018-07-23,N,93.93,104.78,107.58,100.08,14.53,106.04,12.89,28,107.58,96.17,14.53,98.53,4.89
HAS,2018-10-22,N,98.04,90.44,95.75,90.27,-7.92,95.01,-3.09,28,100.85,89.89,-8.31,97.71,-0.33
HAS,2019-02-08,N,90.25,89.66,93.19,85.55,-5.2,89.39,-0.95,8,93.19,83.53,-7.44,86.4,-4.26
HAS,2019-04-23,N,88.11,100.3,102.87,99.03,16.75,100.65,14.23,25,105.0,95.74,19.16,97.15,10.25
HAS,2019-07-23,N,108.51,115.87,119.96,114.5,10.55,119.31,9.95,25,126.87,109.79,16.92,114.37,5.4
HAS,2019-10-22,N,120.16,101.01,104.95,98.85,-17.73,100.02,-16.76,25,104.95,92.59,-22.94,95.41,-20.59
HAS,2020-02-11,N,100.9,107.89,109.5,100.0,8.52,100.1,-0.79,11,109.5,89.86,-10.94,89.97,-10.83
HAS,2020-04-29,N,77.86,75.91,76.48,72.45,-6.94,72.91,-6.35,17,76.48,60.2,-22.68,64.8,-16.77
HAS,2020-07-27,N,77.59,75.04,75.4,70.78,-8.77,71.84,-7.41,28,80.45,70.78,-8.77,76.82,-0.99
HAS,2020-10-26,N,92.0,87.02,87.9,82.25,-10.59,83.4,-9.34,28,94.3,81.69,-11.2,93.02,1.1
HAS,2021-02-08,N,97.28,99.61,99.68,92.41,-5.0,93.15,-4.24,14,99.68,89.16,-8.34,90.0,-7.48
HAS,2021-04-27,N,97.02,96.75,99.85,95.73,2.91,98.35,1.37,25,101.1,92.75,-4.4,94.06,-3.05
HAS,2021-07-26,N,92.41,98.1,104.89,96.88,13.5,103.72,12.23,28,104.89,94.29,13.5,95.84,3.71
HAS,2021-10-26,N,88.5,91.52,94.13,90.67,6.36,91.36,3.23,25,101.04,90.62,14.16,100.48,13.53
HAS,2022-02-07,N,93.92,93.84,94.34,90.01,-4.16,93.0,-0.97,14,105.13,89.96,11.93,97.98,4.32
HAS,2022-04-19,N,83.53,83.48,88.67,83.39,6.15,87.84,5.15,32,94.22,80.72,12.79,84.7,1.4
HAS,2022-07-19,N,79.42,79.31,81.81,77.11,3.0,79.98,0.7,32,85.08,76.94,7.12,84.0,5.76
HAS,2022-10-18,N,67.71,68.24,68.79,65.44,-3.35,65.76,-2.87,4,68.79,63.49,-6.23,65.49,-3.27
HAS,2023-02-16,N,58.38,59.7,61.34,58.35,5.07,58.46,0.13,2,61.34,58.17,5.07,59.36,1.67
