Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HCKT,2002-02-07,Y,7.01,7.13,7.14,5.8,-17.26,6.03,-13.98,8,7.14,5.5,-21.54,5.51,-21.39
HCKT,2002-04-25,Y,5.97,5.76,6.1,5.26,-11.89,5.9,-1.17,22,6.6,5.26,-11.89,6.3,5.52
HCKT,2002-07-30,Y,2.0,2.0,2.09,1.76,-12.0,1.76,-12.0,17,2.09,1.52,-24.0,1.81,-9.0
HCKT,2003-02-11,Y,2.02,2.31,2.35,1.95,15.76,2.0,-1.47,10,2.8,1.95,37.93,2.8,37.93
HCKT,2003-04-29,Y,1.85,1.83,1.97,1.81,6.48,1.96,5.94,17,2.27,1.81,22.7,1.92,3.78
HCKT,2003-07-29,Y,2.86,2.96,3.15,2.65,10.13,2.98,4.19,17,3.6,2.65,25.87,3.32,16.08
HCKT,2003-10-28,Y,4.55,5.19,5.24,4.9,15.16,5.05,10.98,24,6.18,4.9,35.82,5.8,27.47
HCKT,2004-02-10,Y,7.01,6.17,7.1,6.06,-13.55,6.94,-0.99,10,7.32,6.06,-13.55,7.2,2.71
HCKT,2004-04-27,Y,7.25,7.36,7.79,7.19,7.44,7.2,-0.68,24,7.79,5.8,-20.0,6.71,-7.44
HCKT,2004-07-27,Y,4.65,4.59,4.7,4.09,-12.04,4.38,-5.8,24,4.75,3.87,-16.77,4.68,0.64
HCKT,2004-10-26,Y,4.71,4.0,4.15,3.51,-25.47,4.15,-11.88,24,4.75,3.51,-25.47,4.51,-4.24
HCKT,2005-02-08,Y,4.4,4.26,4.34,3.85,-12.5,4.05,-7.72,10,4.38,3.85,-12.5,4.13,-6.13
HCKT,2005-04-26,Y,3.35,3.32,3.39,3.32,1.19,3.39,1.19,24,4.12,3.19,22.98,3.98,18.8
HCKT,2005-11-01,Y,3.85,3.86,3.91,3.7,-3.89,3.87,0.51,17,3.91,3.49,-9.35,3.84,-0.25
HCKT,2006-02-21,Y,5.71,5.61,5.78,5.5,-3.67,5.7,-0.17,24,6.27,5.5,9.8,6.13,7.35
HCKT,2006-05-02,Y,5.7,5.26,5.38,5.05,-11.4,5.27,-7.54,17,5.38,4.63,-18.77,5.2,-8.77
HCKT,2006-08-01,Y,4.05,3.45,3.75,2.69,-33.58,2.98,-26.41,17,3.75,2.6,-35.8,2.87,-29.13
HCKT,2006-11-01,Y,2.94,2.23,2.74,2.04,-30.61,2.5,-14.96,16,2.93,2.04,-30.61,2.86,-2.72
HCKT,2007-02-20,Y,3.58,3.11,3.65,3.11,-13.12,3.3,-7.82,24,3.65,3.0,-16.2,3.09,-13.68
HCKT,2007-05-01,Y,3.5,3.38,3.72,3.25,-7.14,3.6,2.85,17,3.72,3.25,-7.14,3.37,-3.71
HCKT,2007-07-31,Y,3.45,3.48,3.75,3.48,8.69,3.66,6.08,17,3.82,3.2,10.72,3.25,-5.79
HCKT,2007-10-30,Y,3.09,3.36,4.25,3.36,37.54,4.07,31.71,17,4.36,3.36,41.1,4.25,37.54
HCKT,2008-02-26,Y,3.55,3.9,4.29,3.9,20.84,4.19,18.02,24,4.29,3.25,20.84,3.43,-3.38
HCKT,2008-05-06,Y,3.98,4.2,4.26,3.98,7.03,3.98,,10,4.74,3.9,19.09,4.61,15.82
HCKT,2008-08-04,Y,5.48,5.58,6.3,5.58,14.96,6.1,11.31,11,6.65,5.58,21.35,6.43,17.33
HCKT,2008-11-05,Y,3.0,3.05,3.2,3.04,6.66,3.05,1.66,16,3.31,2.06,-31.33,2.5,-16.66
HCKT,2009-02-24,Y,2.63,2.41,2.52,2.34,-11.02,2.36,-10.26,24,2.65,1.78,-32.31,1.78,-32.31
