Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HES,2002-01-23,Y,19.38,19.43,19.91,19.43,2.73,19.8,2.21,23,22.08,19.43,13.93,21.92,13.1
HES,2002-04-24,Y,25.99,25.92,26.51,25.91,2.0,26.23,0.92,23,27.86,25.18,7.19,27.74,6.73
HES,2002-07-24,Y,21.84,21.64,21.86,20.43,-6.45,21.13,-3.25,23,23.94,20.43,9.61,23.69,8.47
HES,2002-10-24,Y,19.23,19.23,19.46,17.32,-9.97,17.36,-9.77,22,19.46,16.45,-14.5,17.68,-8.1
HES,2003-01-30,Y,16.13,15.79,15.97,15.15,-6.07,15.73,-2.47,22,15.97,14.25,-11.65,14.57,-9.67
HES,2003-04-29,Y,14.94,14.94,15.15,14.85,1.4,15.05,0.73,17,15.88,14.85,6.29,15.88,6.29
HES,2003-07-29,N,15.73,15.73,16.17,15.33,2.79,15.93,1.27,17,16.17,15.01,-4.57,15.58,-0.95
HES,2003-10-29,N,17.87,17.98,18.42,17.73,3.07,18.05,1.06,23,18.42,15.65,-12.42,15.67,-12.31
HES,2004-01-28,N,19.05,18.64,19.26,18.84,-1.15,18.89,-0.83,23,20.76,18.57,8.91,20.52,7.66
HES,2004-04-28,N,23.2,23.18,24.19,23.2,4.26,23.68,2.06,23,24.96,22.87,7.58,23.25,0.21
HES,2004-07-28,N,27.3,27.65,27.8,27.48,1.83,27.52,0.8,23,28.0,25.27,-7.43,25.91,-5.09
HES,2004-10-27,N,29.69,29.17,29.53,27.8,-6.36,27.95,-5.86,23,29.53,25.38,-14.51,27.6,-7.03
HES,2005-01-26,N,28.16,28.22,28.42,28.13,0.92,28.3,0.49,23,32.47,27.94,15.3,32.27,14.59
HES,2005-04-27,N,31.83,31.89,31.9,30.7,-3.55,30.7,-3.55,23,32.31,28.75,-9.67,30.02,-5.68
HES,2005-07-27,N,39.47,39.47,39.57,38.36,-2.81,39.4,-0.15,23,43.32,38.36,9.75,41.22,4.43
HES,2005-10-26,Y,40.72,40.83,41.11,39.27,-3.58,39.44,-3.16,23,43.86,38.61,7.68,42.88,5.27
HES,2006-01-25,N,48.87,51.33,51.44,48.82,5.25,49.49,1.26,23,52.0,44.95,-8.02,46.64,-4.56
HES,2006-04-26,N,49.99,50.18,51.28,47.62,-4.74,47.67,-4.64,23,51.28,46.16,-7.66,47.27,-5.44
