Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HIBB,2002-03-14,Y,7.19,7.07,7.3,6.83,-5.0,7.22,0.41,1,7.3,6.83,-5.0,7.22,0.41
HIBB,2002-05-23,Y,8.23,8.18,8.32,7.92,-3.76,8.23,,29,8.36,7.28,-11.54,7.95,-3.4
HIBB,2002-08-22,Y,6.65,6.5,6.96,6.39,4.66,6.44,-3.15,29,6.96,6.06,-8.87,6.8,2.25
HIBB,2002-11-21,Y,7.64,7.6,7.72,7.52,-1.57,7.54,-1.3,29,7.78,6.98,-8.63,7.33,-4.05
HIBB,2003-03-12,Y,2.0,6.63,2.0,1.87,-6.49,1.97,-1.5,9,2.23,1.87,11.5,2.2,10.0
HIBB,2003-05-22,Y,2.31,8.15,2.43,2.31,4.74,2.42,4.31,29,2.9,2.31,25.0,2.75,18.53
HIBB,2003-08-19,Y,4.49,10.21,4.51,4.45,-0.89,4.51,0.44,31,5.09,4.22,13.36,5.01,11.58
HIBB,2003-11-20,Y,4.92,11.99,4.93,4.8,-2.43,4.81,-2.23,1,4.93,4.8,-2.43,4.81,-2.23
HIBB,2004-03-10,Y,7.1,16.35,7.05,6.85,-3.52,7.0,-1.4,9,7.51,6.83,5.77,7.0,-1.4
HIBB,2004-05-20,Y,10.0,15.81,10.19,9.94,1.89,10.07,0.7,1,10.19,9.94,1.89,10.07,0.7
HIBB,2004-08-19,Y,12.27,11.43,12.86,11.17,-8.96,12.35,0.65,1,12.86,11.17,-8.96,12.35,0.65
HIBB,2004-11-18,Y,15.17,15.37,16.67,15.11,9.88,16.43,8.3,1,16.67,15.11,9.88,16.43,8.3
HIBB,2005-03-09,Y,17.82,18.67,19.8,18.67,11.04,19.39,8.74,9,20.93,18.67,17.38,20.39,14.41
HIBB,2005-05-19,Y,21.07,22.49,23.42,22.41,11.15,22.96,8.97,1,23.42,22.41,11.15,22.96,8.97
HIBB,2005-08-18,Y,24.71,24.17,24.71,23.36,-5.46,23.46,-5.05,1,24.71,23.36,-5.46,23.46,-5.05
HIBB,2005-11-17,Y,28.75,30.02,30.97,28.87,7.72,29.19,1.53,1,30.97,28.87,7.72,29.19,1.53
HIBB,2006-03-09,Y,31.61,30.33,34.04,30.33,7.68,33.33,5.44,8,34.54,30.33,9.26,32.38,2.43
HIBB,2006-05-18,Y,29.08,26.42,26.74,23.08,-20.63,25.5,-12.31,1,26.74,23.08,-20.63,25.5,-12.31
HIBB,2006-08-17,Y,22.63,23.17,25.06,22.81,10.73,25.02,10.56,1,25.06,22.81,10.73,25.02,10.56
HIBB,2006-11-16,Y,29.62,32.03,33.18,31.36,12.01,32.81,10.76,1,33.18,31.36,12.01,32.81,10.76
HIBB,2007-03-14,Y,29.42,27.31,29.2,27.26,-7.34,28.58,-2.85,2,29.2,27.26,-7.34,27.98,-4.89
HIBB,2007-05-24,Y,28.27,28.15,29.29,28.15,3.6,29.06,2.79,22,29.71,26.42,-6.54,27.7,-2.01
HIBB,2007-08-23,Y,24.5,22.8,24.97,22.0,-10.2,24.84,1.38,29,28.74,22.0,17.3,27.24,11.18
HIBB,2007-11-20,Y,21.18,19.41,20.44,18.67,-11.85,19.8,-6.51,31,22.0,18.67,-11.85,20.29,-4.2
HIBB,2008-03-13,Y,14.78,13.96,14.53,13.61,-7.91,14.0,-5.27,8,15.94,13.06,-11.63,15.82,7.03
HIBB,2008-05-22,Y,17.82,19.57,20.81,18.89,16.71,20.62,15.64,29,22.79,18.89,27.81,21.76,22.04
HIBB,2008-08-21,Y,22.42,20.95,22.91,20.72,-7.58,22.71,1.29,29,25.75,20.72,14.85,21.95,-2.09
HIBB,2008-11-20,Y,11.74,11.97,13.51,10.06,15.07,13.22,12.6,1,13.51,10.06,15.07,13.22,12.6
HIBB,2009-03-12,Y,15.77,17.5,18.62,16.82,18.07,17.98,14.07,8,18.82,16.82,19.34,17.6,11.6
HIBB,2009-05-21,Y,17.82,16.85,19.0,16.2,-9.14,17.85,0.11,29,19.48,16.2,9.25,17.67,-0.89
HIBB,2009-08-20,Y,17.89,16.27,16.71,16.0,-10.61,16.55,-7.54,1,16.71,16.0,-10.61,16.55,-7.54
HIBB,2009-11-19,Y,18.97,20.19,20.32,19.45,7.11,19.98,5.37,1,20.32,19.45,7.11,19.98,5.37
HIBB,2010-03-12,N,24.71,25.73,25.75,24.07,4.2,25.03,1.29,7,26.57,24.07,7.52,26.08,5.54
HIBB,2010-05-21,N,25.34,25.67,26.64,25.47,5.13,26.31,3.82,0,26.64,25.47,5.13,26.31,3.82
HIBB,2010-08-20,N,26.13,24.72,24.75,23.63,-9.56,23.97,-8.26,0,24.75,23.63,-9.56,23.97,-8.26
HIBB,2010-11-19,N,28.16,29.2,32.84,29.1,16.61,32.74,16.26,0,32.84,29.1,16.61,32.74,16.26
HIBB,2011-03-11,N,32.97,32.5,34.89,32.35,5.79,32.61,-1.12,7,34.89,30.5,-7.51,30.78,-6.67
HIBB,2011-05-20,N,37.5,39.6,40.29,37.78,7.43,38.99,3.97,0,40.29,37.78,7.43,38.99,3.97
HIBB,2011-08-19,N,32.97,33.5,36.02,33.26,9.25,33.53,1.69,0,36.02,33.26,9.25,33.53,1.69
HIBB,2011-11-18,N,43.14,45.73,45.9,42.34,6.39,43.3,0.37,0,45.9,42.34,6.39,43.3,0.37
HIBB,2012-03-09,N,51.64,51.75,52.0,50.04,-3.09,51.49,-0.29,7,52.99,50.04,-3.09,52.57,1.8
HIBB,2012-05-18,N,55.81,57.58,58.0,54.05,3.92,54.94,-1.55,0,58.0,54.05,3.92,54.94,-1.55
HIBB,2012-08-17,N,61.8,57.76,60.66,55.0,-11.0,59.22,-4.17,0,60.66,55.0,-11.0,59.22,-4.17
HIBB,2012-11-16,N,54.98,55.05,55.48,51.56,-6.22,54.05,-1.69,0,55.48,51.56,-6.22,54.05,-1.69
HIBB,2013-03-15,N,53.63,56.0,57.49,54.73,7.19,55.47,3.43,0,57.49,54.73,7.19,55.47,3.43
HIBB,2013-05-24,N,60.38,59.9,59.9,56.13,-7.03,56.47,-6.47,28,59.9,55.22,-8.54,55.93,-7.36
HIBB,2013-08-23,N,58.47,54.74,54.99,51.16,-12.5,53.4,-8.67,28,56.02,50.67,-13.34,55.93,-4.34
HIBB,2013-11-22,N,62.87,59.73,63.95,59.01,-6.13,62.72,-0.23,28,67.65,59.01,7.6,66.98,6.53
