Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HLX,2002-02-18,Y,10.32,10.65,10.92,9.83,5.81,10.92,5.81,25,12.65,9.83,22.57,12.35,19.67
HLX,2002-05-02,Y,13.28,13.1,13.97,13.08,5.19,13.61,2.48,15,13.97,11.7,-11.89,11.84,-10.84
HLX,2002-08-01,Y,9.32,8.74,8.85,7.98,-14.37,8.02,-13.94,15,9.93,7.62,-18.24,9.76,4.72
HLX,2002-10-31,Y,10.98,10.96,11.68,10.66,6.37,11.68,6.37,15,11.75,9.91,-9.74,10.01,-8.83
HLX,2003-02-18,N,8.57,8.63,8.77,8.26,-3.61,8.69,1.51,3,9.22,8.26,7.58,9.08,5.95
HLX,2003-05-01,Y,8.46,8.72,8.96,8.58,5.91,8.92,5.43,15,10.7,8.58,26.47,10.14,19.85
HLX,2003-07-31,Y,9.92,9.5,10.0,9.26,-6.65,9.94,0.2,15,10.42,9.26,-6.65,10.28,3.62
HLX,2003-11-03,Y,10.33,10.28,10.44,9.9,-4.16,10.33,,18,10.72,9.86,-4.54,10.52,1.83
HLX,2004-02-24,Y,12.0,11.96,12.35,11.95,2.91,12.18,1.49,24,14.0,11.95,16.66,12.66,5.5
HLX,2004-05-03,Y,14.24,14.76,15.1,14.45,6.03,14.86,4.35,18,15.1,13.74,6.03,13.84,-2.8
HLX,2004-08-04,Y,15.1,15.51,15.65,14.76,3.64,14.92,-1.19,16,15.65,13.96,-7.54,14.8,-1.98
HLX,2004-11-02,Y,17.0,18.73,19.38,18.12,13.99,19.12,12.47,17,20.34,18.12,19.64,20.22,18.94
HLX,2005-03-01,Y,24.88,25.34,25.38,24.46,2.0,24.84,-0.16,17,25.62,22.88,-8.03,24.3,-2.33
HLX,2005-05-04,Y,22.66,22.62,23.31,22.52,2.86,23.12,2.03,16,23.7,20.56,-9.26,21.97,-3.04
HLX,2005-08-02,Y,30.95,30.95,31.12,30.12,-2.68,30.32,-2.03,17,31.12,27.2,-12.11,28.31,-8.52
HLX,2005-11-01,Y,30.95,31.4,32.4,31.05,4.68,32.29,4.36,17,35.2,31.05,13.73,34.76,12.31
HLX,2006-03-01,Y,38.06,37.88,38.58,36.75,-3.44,37.63,-1.12,16,38.77,32.85,-13.68,35.61,-6.43
HLX,2006-05-02,Y,42.6,43.33,43.86,39.61,-7.01,40.29,-5.42,17,45.0,35.64,-16.33,36.44,-14.46
HLX,2006-08-01,Y,40.11,39.29,41.07,38.9,-3.04,39.22,-2.24,17,41.07,34.75,-13.38,36.56,-8.87
HLX,2006-10-31,Y,32.29,31.97,31.97,30.46,-5.69,31.12,-3.65,17,33.36,29.1,-9.9,29.9,-7.43
HLX,2007-02-26,Y,34.14,34.01,34.59,32.9,-3.63,33.39,-2.19,18,34.59,32.02,-6.2,33.86,-0.82
HLX,2007-05-02,Y,39.79,37.68,37.84,35.54,-10.7,36.85,-7.41,16,38.9,35.28,-11.35,38.88,-2.31
HLX,2007-08-01,Y,38.68,38.1,38.29,36.85,-4.73,37.4,-3.3,16,40.32,33.9,-12.35,36.45,-5.76
HLX,2007-10-31,Y,46.25,45.5,45.53,43.05,-6.91,43.21,-6.57,16,45.53,39.95,-13.62,41.0,-11.35
HLX,2008-02-28,Y,33.6,31.25,36.47,31.25,8.54,35.22,4.82,22,36.47,28.26,-15.89,29.21,-13.06
HLX,2008-04-30,Y,34.54,34.68,34.95,33.1,-4.19,33.65,-2.57,16,38.04,33.1,10.1,37.94,9.81
HLX,2008-07-30,Y,33.86,32.54,32.78,31.23,-7.76,31.93,-5.69,16,32.78,28.65,-15.38,29.59,-12.61
HLX,2008-10-29,Y,9.19,9.51,10.32,9.38,12.17,10.27,11.63,23,10.98,3.91,-57.5,5.31,-42.28
HLX,2009-02-24,Y,2.85,2.6,3.04,2.21,-22.45,2.7,-5.26,24,5.98,2.21,109.82,5.22,83.15
HLX,2009-05-05,Y,9.77,10.98,11.58,10.37,18.4,11.04,12.88,10,11.58,8.92,18.4,9.33,-4.6
HLX,2009-07-29,Y,10.23,10.9,11.19,9.94,9.38,10.33,0.97,23,12.76,9.94,24.73,12.25,19.74
HLX,2009-10-28,Y,14.34,14.57,15.04,14.01,4.88,14.46,0.83,23,15.04,12.08,-15.76,12.15,-15.27
HLX,2010-02-24,Y,11.04,10.36,11.16,10.1,-8.51,11.11,0.63,23,14.8,10.1,34.05,13.33,20.74
HLX,2010-04-28,Y,16.12,15.94,16.72,14.65,-9.11,15.39,-4.52,23,16.72,10.85,-32.69,12.0,-25.55
HLX,2010-07-28,Y,10.55,10.4,10.6,9.63,-8.72,9.68,-8.24,23,11.06,8.8,-16.58,9.1,-13.74
HLX,2010-10-27,Y,13.09,13.29,13.4,12.1,-7.56,12.4,-5.27,23,14.29,12.1,9.16,13.97,6.72
HLX,2011-02-23,Y,13.73,13.4,14.91,13.37,8.59,14.2,3.42,23,16.2,13.19,17.98,15.39,12.09
HLX,2011-04-25,Y,16.55,17.14,18.3,16.96,10.5,18.22,10.02,25,19.2,15.05,15.94,15.96,-3.62
HLX,2011-07-25,Y,18.43,19.72,21.65,19.39,17.47,20.76,12.64,25,21.65,13.18,-28.48,14.45,-21.59
HLX,2011-10-24,Y,17.89,17.6,17.84,17.02,-4.86,17.45,-2.45,25,19.42,16.39,8.55,16.66,-6.87
HLX,2012-02-22,Y,18.96,18.73,18.96,18.03,-4.9,18.91,-0.26,23,19.98,17.59,-7.22,18.77,-1.0
HLX,2012-04-22,Y,17.36,17.47,19.0,17.3,9.44,18.53,6.73,26,21.09,17.3,21.48,17.7,1.95
