Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HMC,2013-07-30,Y,37.42,37.15,37.4,37.0,-1.12,37.14,-0.74,17,39.09,36.78,4.46,38.68,3.36
HMC,2013-11-04,Y,40.07,39.72,39.9,39.56,-1.27,39.86,-0.49,11,41.2,39.09,2.82,41.17,2.74
HMC,2014-01-31,N,38.2,37.5,37.94,37.36,-2.19,37.51,-1.8,21,37.94,35.42,-7.27,36.14,-5.39
HMC,2014-04-25,N,33.68,33.44,33.61,32.85,-2.46,33.03,-1.92,21,34.06,32.42,-3.74,33.35,-0.97
HMC,2014-07-29,N,35.18,35.5,36.02,35.29,2.38,36.02,2.38,17,36.02,33.54,-4.66,33.96,-3.46
HMC,2014-10-28,N,30.82,30.43,30.45,29.3,-4.93,29.99,-2.69,25,32.43,29.3,5.22,31.68,2.79
HMC,2015-01-30,N,30.63,30.21,30.34,30.0,-2.05,30.22,-1.33,21,33.54,30.0,9.5,33.51,9.4
HMC,2015-04-28,N,36.22,34.56,34.56,33.19,-8.36,33.76,-6.79,17,35.36,33.19,-8.36,35.0,-3.36
HMC,2015-07-31,N,31.65,33.08,34.42,33.06,8.75,33.96,7.29,21,35.99,31.48,13.71,31.51,-0.44
HMC,2015-11-04,N,33.25,33.47,33.47,32.02,-3.69,32.09,-3.48,16,33.47,32.02,-3.69,32.78,-1.41
HMC,2016-01-29,N,27.35,27.15,27.49,26.41,-3.43,27.02,-1.2,21,27.93,24.56,-10.2,25.93,-5.19
HMC,2016-05-13,N,27.61,27.2,27.48,26.22,-5.03,26.28,-4.81,7,27.48,26.22,-5.03,26.8,-2.93
HMC,2016-08-02,N,27.29,28.06,28.28,27.88,3.62,28.05,2.78,17,30.71,27.88,12.53,30.63,12.23
HMC,2016-10-31,N,29.82,30.25,30.5,29.71,2.28,29.83,0.03,18,30.5,27.51,-7.74,28.71,-3.72
HMC,2017-02-03,N,30.22,30.92,31.1,30.71,2.91,31.06,2.77,14,32.17,30.68,6.45,31.61,4.59
HMC,2017-04-28,N,29.01,29.0,29.18,28.87,0.58,29.1,0.31,22,29.18,27.36,-5.68,27.68,-4.58
HMC,2017-08-01,N,28.02,28.9,28.95,28.33,4.66,28.85,4.3,18,28.95,27.36,3.31,27.54,-1.71
HMC,2017-11-01,N,31.09,31.71,31.87,31.58,2.5,31.87,2.5,17,33.75,31.58,8.55,32.62,4.92
HMC,2018-02-02,N,35.17,36.91,37.29,36.16,6.02,36.16,2.81,15,37.29,33.85,6.02,35.64,1.33
HMC,2018-04-27,N,34.76,34.59,34.59,34.21,-1.58,34.21,-1.58,22,34.65,32.27,-7.16,32.98,-5.12
HMC,2018-07-31,N,30.43,30.85,30.89,30.36,1.51,30.66,0.75,18,30.95,29.2,-4.04,30.0,-1.41
HMC,2018-10-30,N,26.7,27.2,27.87,26.99,4.38,27.81,4.15,18,29.32,26.99,9.81,28.21,5.65
HMC,2019-02-01,N,30.07,29.34,29.7,29.01,-3.52,29.13,-3.12,15,29.7,26.48,-11.93,27.37,-8.97
HMC,2019-05-08,N,27.6,26.46,26.85,26.35,-4.52,26.75,-3.07,10,26.85,25.32,-8.26,25.63,-7.13
HMC,2019-08-02,N,24.82,24.57,24.6,24.32,-2.01,24.46,-1.45,15,24.6,22.87,-7.85,23.32,-6.04
HMC,2020-02-07,N,26.55,26.37,27.1,26.32,2.07,26.49,-0.22,15,27.38,26.32,3.12,27.05,1.88
HMC,2020-05-12,N,23.98,23.29,23.31,22.62,-5.67,22.71,-5.29,4,23.55,22.04,-8.09,22.94,-4.33
HMC,2020-08-05,N,25.96,25.64,25.69,25.32,-2.46,25.61,-1.34,17,26.17,24.14,-7.01,24.93,-3.96
HMC,2021-02-09,N,28.76,29.11,29.7,29.08,3.26,29.64,3.05,11,29.99,28.45,4.27,28.49,-0.93
HMC,2021-05-14,N,30.51,30.46,30.52,30.02,-1.6,30.25,-0.85,8,31.08,29.46,-3.44,30.98,1.54
HMC,2021-08-04,N,32.86,33.05,33.37,32.89,1.55,33.15,0.88,17,33.42,29.75,-9.46,29.8,-9.31
HMC,2021-11-05,N,30.74,29.67,29.8,29.25,-4.84,29.7,-3.38,15,29.8,28.05,-8.75,28.98,-5.72
HMC,2022-02-09,N,29.6,30.12,30.65,30.04,3.54,30.5,3.04,10,32.15,30.04,8.61,31.87,7.66
HMC,2022-05-13,N,25.09,25.75,25.77,25.27,2.71,25.63,2.15,8,25.77,24.4,-2.75,25.02,-0.27
HMC,2022-08-10,N,24.99,25.89,26.83,25.85,7.36,26.79,7.2,10,27.39,25.85,9.6,27.05,8.24
HMC,2022-11-09,N,23.69,23.04,23.04,22.2,-6.28,22.36,-5.61,10,24.05,22.2,-6.28,23.78,0.37
HMC,2023-02-10,N,24.54,24.74,25.21,24.41,2.73,25.13,2.4,8,25.57,24.41,4.19,25.54,4.07
