Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HPE,2015-11-24,Y,13.69,13.91,14.86,13.84,8.54,14.12,3.14,24,15.88,13.84,15.99,14.16,3.43
HPE,2016-03-03,Y,13.6,14.9,15.84,14.82,16.47,15.44,13.52,15,17.57,14.82,29.19,17.32,27.42
HPE,2016-05-25,Y,17.35,17.0,17.69,16.84,-2.93,17.39,0.23,23,19.64,16.84,13.19,18.94,9.16
HPE,2016-08-24,Y,21.69,21.63,21.94,21.45,1.15,21.84,0.69,23,22.32,20.63,-4.88,22.26,2.62
HPE,2016-11-22,Y,22.87,22.7,23.63,22.47,3.32,23.55,2.97,24,24.79,22.47,8.39,23.49,2.71
HPE,2017-02-22,Y,24.78,24.83,24.86,24.5,-1.12,24.66,-0.48,23,24.86,22.0,-11.21,22.85,-7.78
HPE,2017-05-24,Y,18.91,18.97,19.0,18.8,-0.58,18.84,-0.37,23,19.0,16.44,-13.06,16.49,-12.79
HPE,2017-08-23,Y,17.71,17.72,18.05,17.66,1.91,17.95,1.35,23,18.14,12.97,-26.76,13.52,-23.65
HPE,2017-11-21,Y,14.12,13.2,13.4,12.82,-9.2,13.1,-7.22,24,14.59,12.81,-9.27,14.41,2.05
HPE,2018-02-21,Y,16.25,16.37,16.6,16.17,2.53,16.35,0.98,23,19.48,16.23,19.87,18.79,15.63
HPE,2018-05-22,Y,17.41,16.85,16.95,15.45,-11.25,15.58,-10.51,24,16.95,15.12,-13.15,15.95,-8.38
HPE,2018-08-28,Y,16.74,17.03,17.59,16.65,5.07,16.71,-0.17,24,17.59,16.16,5.07,17.02,1.67
HPE,2018-11-29,Y,15.12,15.09,15.14,14.77,-2.31,15.0,-0.79,22,16.26,12.48,-17.46,12.61,-16.6
HPE,2019-02-27,Y,16.7,16.6,16.65,16.34,-2.15,16.38,-1.91,16,16.65,15.13,-9.4,16.07,-3.77
HPE,2019-05-23,Y,14.32,14.28,15.17,14.28,5.93,14.39,0.48,29,15.17,13.55,5.93,14.94,4.32
HPE,2019-08-22,Y,13.25,13.03,13.28,12.69,-4.22,12.75,-3.77,29,15.46,12.69,16.67,14.43,8.9
HPE,2019-11-26,Y,15.97,15.93,15.98,15.78,-1.18,15.94,-0.18,24,16.45,15.37,-3.75,15.58,-2.44
HPE,2020-02-24,Y,13.71,13.78,13.79,13.19,-3.79,13.33,-2.77,25,13.79,7.43,-45.8,8.63,-37.05
HPE,2020-05-27,Y,9.76,9.76,9.83,9.47,-2.97,9.59,-1.74,23,11.71,9.38,19.97,9.82,0.61
HPE,2020-08-27,Y,9.57,9.59,9.85,9.54,2.92,9.83,2.71,22,10.1,9.1,5.53,9.5,-0.73
HPE,2020-11-24,Y,11.53,11.44,11.47,11.18,-3.03,11.24,-2.51,24,12.37,10.95,7.28,12.12,5.11
HPE,2021-02-25,Y,14.49,14.5,14.77,14.31,1.93,14.56,0.48,22,16.14,13.48,11.38,15.28,5.45
HPE,2021-06-01,Y,16.09,15.87,16.19,15.78,-1.92,16.07,-0.12,17,16.32,14.31,-11.06,14.45,-10.19
HPE,2021-09-02,Y,15.39,15.57,15.89,15.39,3.24,15.48,0.58,15,15.89,13.35,-13.25,13.55,-11.95
HPE,2021-11-30,Y,14.35,14.03,14.56,13.86,-3.41,14.21,-0.97,17,15.8,13.86,10.1,15.08,5.08
HPE,2022-03-01,Y,15.41,16.22,17.18,16.15,11.48,16.99,10.25,17,17.18,15.73,11.48,17.04,10.57
HPE,2022-06-01,Y,15.78,14.83,15.02,14.23,-9.82,14.96,-5.19,16,15.43,13.18,-16.47,13.42,-14.95
HPE,2022-08-30,Y,13.65,13.71,13.8,13.53,1.09,13.6,-0.36,17,13.82,12.8,-6.22,13.06,-4.32
HPE,2022-11-29,Y,15.46,15.76,16.86,15.55,9.05,16.78,8.53,17,16.93,15.44,9.5,15.64,1.16
HPE,2023-03-02,Y,15.5,15.88,16.05,15.22,3.54,15.28,-1.41,15,16.05,13.66,-11.87,14.1,-9.03
