Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HROW,2019-03-12,Y,6.81,6.92,6.92,5.01,-26.43,6.05,-11.16,3,6.92,4.99,-26.72,5.21,-23.49
HROW,2019-05-09,Y,4.63,5.27,5.27,4.77,13.82,5.01,8.2,8,6.7,4.75,44.7,6.11,31.96
HROW,2019-08-14,Y,6.4,6.29,6.55,4.63,-27.65,4.89,-23.59,2,6.55,4.63,-27.65,5.32,-16.87
HROW,2019-11-13,Y,4.6,5.04,5.91,5.0,28.47,5.68,23.47,2,5.91,5.0,28.47,5.66,23.04
HROW,2020-03-13,N,4.25,4.3,5.1,4.3,19.99,4.98,17.17,8,5.1,3.33,-21.64,3.69,-13.17
HROW,2020-05-11,Y,4.37,4.16,4.42,3.63,-16.93,4.36,-0.22,4,4.48,3.63,-16.93,4.18,-4.34
HROW,2020-08-10,Y,5.91,6.48,6.61,6.07,11.84,6.15,4.06,11,7.0,6.05,18.44,6.95,17.59
HROW,2020-11-09,Y,5.09,5.26,6.2,5.26,21.8,6.2,21.8,11,7.16,5.26,40.66,6.3,23.77
HROW,2021-03-08,Y,8.03,8.05,8.52,8.05,6.1,8.23,2.49,11,8.52,7.19,-10.46,7.37,-8.21
HROW,2021-05-11,Y,7.8,7.93,9.68,7.93,24.1,9.08,16.41,10,11.24,7.93,44.1,10.03,28.58
HROW,2021-08-10,Y,9.02,8.93,9.31,8.52,-5.54,9.08,0.66,10,9.31,8.24,-8.64,9.16,1.55
HROW,2021-11-09,Y,11.48,11.25,12.0,10.25,-10.71,10.9,-5.05,10,12.0,10.25,-10.71,10.81,-5.83
HROW,2022-03-10,Y,7.07,6.79,7.54,6.79,6.64,7.31,3.39,8,7.61,6.79,7.63,7.46,5.51
HROW,2022-05-05,Y,6.42,6.49,6.92,6.32,7.78,6.83,6.38,15,6.92,5.4,-15.88,5.9,-8.09
HROW,2022-08-09,Y,6.96,7.15,8.2,7.12,17.81,7.65,9.91,10,8.84,7.12,27.01,8.56,22.98
HROW,2022-11-14,Y,11.6,11.0,12.13,11.0,-5.17,11.07,-4.56,4,12.13,10.06,-13.27,10.47,-9.74
HROW,2023-03-23,Y,17.25,18.14,18.58,17.16,7.71,18.42,6.78,29,24.65,17.16,42.89,24.63,42.78
