Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HRTX,2014-03-05,Y,14.48,14.75,14.75,13.88,-4.14,13.96,-3.59,16,15.82,13.55,9.25,14.75,1.86
HRTX,2014-05-08,Y,11.99,11.87,11.87,11.04,-7.92,11.31,-5.67,8,12.38,10.61,-11.5,11.74,-2.08
HRTX,2014-08-04,Y,8.77,8.72,8.8,8.27,-5.7,8.53,-2.62,11,9.38,8.24,6.95,9.01,2.73
HRTX,2014-11-11,Y,8.16,7.96,8.33,7.92,-2.94,8.27,1.47,11,8.46,7.48,-8.33,7.99,-2.08
HRTX,2015-03-13,N,13.99,13.93,14.93,13.44,6.71,14.62,4.5,7,16.48,13.44,17.79,16.11,15.15
HRTX,2015-05-06,Y,11.41,11.51,11.94,11.29,4.64,11.85,3.85,9,14.19,11.29,24.36,14.13,23.83
HRTX,2015-11-06,N,28.23,28.0,28.0,24.51,-13.17,26.48,-6.19,14,29.78,24.35,-13.74,26.21,-7.15
HRTX,2016-05-05,N,19.8,19.78,20.53,18.21,-8.03,18.66,-5.75,15,20.53,15.5,-21.71,19.47,-1.66
HRTX,2017-08-09,N,15.85,15.75,15.8,15.2,-4.1,15.3,-3.47,10,16.43,15.05,-5.04,15.25,-3.78
HRTX,2017-11-06,N,16.05,16.35,16.95,15.25,5.6,16.05,,14,17.45,14.95,8.72,15.95,-0.62
HRTX,2018-02-27,N,22.65,22.5,22.8,22.0,-2.86,22.05,-2.64,18,25.35,20.05,11.92,21.5,-5.07
HRTX,2018-08-09,N,39.55,39.75,40.45,38.95,2.27,39.0,-1.39,9,40.45,37.05,-6.32,38.1,-3.66
HRTX,2018-11-06,N,29.41,29.24,29.91,28.29,-3.8,28.89,-1.76,11,31.25,26.06,-11.39,26.71,-9.18
HRTX,2019-05-09,N,16.93,17.0,18.34,16.92,8.32,18.28,7.97,9,18.72,16.92,10.57,18.06,6.67
HRTX,2020-02-21,N,21.06,21.06,22.82,20.85,8.35,21.45,1.85,1,22.82,20.85,8.35,21.45,1.85
HRTX,2020-05-07,N,15.05,15.54,15.58,14.68,3.52,14.72,-2.19,9,15.77,13.69,-9.03,15.12,0.46
HRTX,2020-08-05,N,16.9,16.99,17.59,16.81,4.08,17.47,3.37,17,17.59,14.65,-13.31,14.7,-13.01
HRTX,2021-02-24,N,17.86,18.04,19.57,17.57,9.57,19.31,8.11,24,20.45,15.37,14.5,15.65,-12.37
HRTX,2021-05-10,N,16.63,16.8,18.8,16.8,13.04,17.56,5.59,14,18.8,13.12,-21.1,13.72,-17.49
HRTX,2021-08-06,N,11.93,11.84,11.9,11.6,-2.76,11.8,-1.08,15,12.37,10.1,-15.33,10.52,-11.81
HRTX,2021-11-03,Y,11.29,11.25,12.02,11.12,6.46,11.51,1.94,16,12.79,9.99,13.28,10.16,-10.0
HRTX,2022-02-28,Y,7.1,5.5,5.85,5.34,-24.78,5.75,-19.01,18,5.91,4.58,-35.49,5.5,-22.53
HRTX,2022-05-09,Y,3.61,4.06,4.5,3.12,24.65,3.5,-3.04,11,4.5,3.12,24.65,3.6,-0.27
HRTX,2022-08-09,N,3.57,3.35,4.38,3.35,22.68,4.11,15.12,11,5.62,3.35,57.42,4.79,34.17
HRTX,2022-11-08,Y,3.45,3.3,3.33,2.99,-13.33,3.01,-12.75,10,3.5,2.83,-17.97,2.96,-14.2
HRTX,2023-03-23,Y,2.06,2.2,2.2,1.8,-12.62,1.91,-7.28,29,2.96,1.48,43.68,2.76,33.98
