Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
HUBS,2014-11-12,Y,35.4,37.15,38.6,36.5,9.0,36.69,3.61,10,38.6,34.26,9.0,36.69,3.61
HUBS,2015-02-11,Y,34.42,37.7,39.0,34.44,13.3,37.07,7.69,9,44.34,34.44,28.82,43.47,26.29
HUBS,2015-05-06,Y,40.25,42.05,48.0,42.05,19.25,47.9,19.0,9,51.0,42.05,26.7,49.11,22.01
HUBS,2015-08-06,Y,50.51,54.0,54.0,48.61,6.9,49.66,-1.68,15,54.0,42.41,-16.03,43.39,-14.09
HUBS,2015-11-04,Y,53.11,54.51,58.42,50.46,9.99,53.64,0.99,16,58.42,50.46,9.99,53.17,0.11
HUBS,2016-02-10,Y,29.04,31.03,34.4,28.28,18.45,33.02,13.7,9,34.76,28.28,19.69,34.18,17.69
HUBS,2016-05-04,Y,46.25,47.63,48.47,43.07,-6.87,43.69,-5.53,16,48.47,42.03,-9.12,45.66,-1.27
HUBS,2016-08-03,Y,50.57,54.96,59.0,53.73,16.66,56.7,12.12,16,59.97,53.73,18.58,56.3,11.33
HUBS,2016-11-02,Y,48.9,54.9,54.9,49.45,12.26,49.95,2.14,16,58.35,49.1,19.32,57.3,17.17
HUBS,2017-02-14,Y,57.4,57.4,58.9,55.8,-2.78,58.75,2.35,3,60.6,55.8,5.57,60.0,4.52
HUBS,2017-05-02,Y,66.65,71.0,74.8,70.0,12.22,71.84,7.8,17,74.8,65.4,12.22,68.3,2.47
HUBS,2017-08-02,Y,70.1,74.25,74.25,71.34,5.92,72.09,2.85,16,74.25,65.7,-6.27,68.2,-2.71
HUBS,2017-11-01,Y,85.95,87.15,88.5,82.28,-4.26,86.25,0.34,16,88.5,76.15,-11.4,80.1,-6.8
HUBS,2018-02-13,Y,97.0,98.0,103.95,95.75,7.16,103.15,6.34,3,106.5,95.75,9.79,105.75,9.02
HUBS,2018-05-10,Y,117.65,120.55,120.65,110.15,-6.37,114.65,-2.54,8,120.65,106.95,-9.09,113.55,-3.48
HUBS,2018-08-01,Y,128.6,119.8,126.05,119.0,-7.46,122.8,-4.51,16,132.65,119.0,-7.46,125.7,-2.25
HUBS,2018-11-07,Y,144.12,146.78,149.08,134.02,-7.0,138.0,-4.24,9,149.08,124.0,-13.96,133.84,-7.13
HUBS,2019-02-12,Y,172.0,179.25,180.0,167.72,4.65,171.87,-0.07,3,180.0,162.66,-5.43,166.09,-3.43
HUBS,2019-05-07,Y,181.92,178.25,182.06,173.1,-4.84,179.84,-1.14,10,192.49,172.91,5.81,187.58,3.11
HUBS,2019-08-06,Y,164.92,174.21,188.13,174.21,14.07,186.78,13.25,10,196.79,174.21,19.32,188.4,14.23
HUBS,2020-02-12,Y,184.17,180.0,201.49,180.0,9.4,197.34,7.15,9,201.49,180.0,9.4,185.93,0.95
HUBS,2020-05-06,Y,175.21,180.0,194.97,180.0,11.27,188.53,7.6,9,194.97,167.65,11.27,183.62,4.79
HUBS,2020-08-05,Y,237.8,257.73,264.81,249.36,11.35,260.81,9.67,16,291.82,249.36,22.71,284.41,19.6
HUBS,2020-11-05,Y,336.21,371.01,395.76,357.58,17.71,380.05,13.03,15,395.76,329.72,17.71,371.43,10.47
HUBS,2021-02-11,Y,431.76,517.02,527.69,497.07,22.21,502.4,16.36,8,543.69,497.07,25.92,543.49,25.87
HUBS,2021-05-05,Y,503.01,505.5,514.97,475.24,-5.52,491.12,-2.36,16,518.26,462.48,-8.05,504.71,0.33
HUBS,2021-08-04,Y,590.0,627.27,660.99,622.05,12.03,660.0,11.86,16,679.19,622.05,15.11,663.66,12.48
HUBS,2021-11-03,Y,776.74,760.0,820.72,760.0,5.66,819.08,5.45,16,866.0,760.0,11.49,822.34,5.87
HUBS,2022-02-10,Y,534.46,586.73,596.17,530.07,11.54,544.92,1.95,8,596.17,496.36,11.54,497.59,-6.89
HUBS,2022-05-05,Y,341.21,341.0,384.99,325.97,12.83,356.38,4.44,15,384.99,295.53,-13.38,333.54,-2.24
HUBS,2022-08-04,Y,355.46,361.0,385.37,356.0,8.41,372.99,4.93,15,412.5,345.52,16.04,351.58,-1.09
HUBS,2022-11-02,Y,263.58,286.37,302.84,277.09,14.89,278.56,5.68,16,321.44,249.99,21.95,272.6,3.42
HUBS,2023-02-16,Y,361.93,415.68,418.39,394.45,15.59,404.65,11.8,1,418.39,394.45,15.59,404.65,11.8
