Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
IAC,2016-02-02,Y,50.87,47.52,47.7,42.79,-15.88,45.78,-10.0,17,47.7,38.82,-23.68,44.26,-12.99
IAC,2016-05-04,Y,51.99,50.62,53.7,49.63,-4.53,52.95,1.84,16,55.9,49.63,7.52,54.34,4.52
IAC,2016-07-27,Y,59.84,59.58,59.96,57.37,-4.12,57.44,-4.01,23,61.25,56.41,-5.73,57.91,-3.22
IAC,2016-11-02,Y,61.97,64.0,67.13,60.39,8.32,65.39,5.51,16,67.4,60.39,8.76,67.06,8.21
IAC,2017-02-01,Y,68.23,70.0,73.69,69.75,7.98,72.84,6.74,16,77.45,69.75,13.49,75.38,10.46
IAC,2017-05-03,Y,96.02,96.19,98.37,94.4,2.44,97.8,1.85,16,104.14,94.4,8.45,103.19,7.46
IAC,2017-08-02,Y,104.44,107.35,114.72,106.36,9.84,111.59,6.84,16,114.72,100.57,9.84,104.92,0.45
IAC,2017-11-08,Y,130.84,130.02,131.27,123.45,-5.64,124.91,-4.53,9,131.27,122.23,-6.58,127.22,-2.76
IAC,2018-02-07,Y,145.35,150.42,150.59,134.53,-7.44,134.64,-7.36,9,151.5,130.19,-10.42,149.09,2.57
IAC,2018-05-09,Y,138.76,142.95,147.08,140.57,5.99,142.46,2.66,9,150.12,140.57,8.18,148.0,6.65
IAC,2018-08-08,Y,167.95,173.48,183.77,173.38,9.41,182.6,8.72,9,195.91,173.38,16.64,190.27,13.28
IAC,2018-11-07,Y,185.21,192.0,201.67,185.43,8.88,186.31,0.59,9,201.67,176.44,8.88,182.69,-1.36
IAC,2019-02-07,Y,215.93,215.0,217.84,210.02,-2.73,215.96,0.01,8,223.98,210.02,3.72,220.02,1.89
IAC,2019-05-08,Y,238.9,226.52,237.86,222.4,-6.9,231.41,-3.13,9,240.36,218.3,-8.62,234.96,-1.64
IAC,2019-08-07,Y,258.28,249.25,259.99,246.31,-4.63,256.82,-0.56,9,262.1,233.54,-9.57,249.17,-3.52
IAC,2020-02-05,Y,238.53,237.01,249.52,234.4,4.6,244.45,2.48,16,249.52,227.41,-4.66,228.19,-4.33
IAC,2020-05-06,Y,245.87,249.3,255.69,236.77,3.99,237.06,-3.58,9,255.69,224.88,-8.53,239.94,-2.41
IAC,2020-08-10,Y,131.27,129.32,129.72,120.63,-8.1,120.97,-7.84,11,131.4,120.63,-8.1,127.37,-2.97
IAC,2020-11-05,Y,130.47,141.49,143.9,132.89,10.29,139.6,6.99,15,145.0,129.4,11.13,137.86,5.66
IAC,2021-02-03,Y,238.05,242.19,244.65,230.3,-3.25,235.91,-0.89,16,266.0,230.3,11.74,262.15,10.12
IAC,2021-05-06,Y,230.68,233.0,243.53,229.03,5.57,241.4,4.64,15,252.74,215.45,9.56,249.25,8.05
IAC,2021-08-04,Y,134.25,132.12,136.58,131.59,-1.98,133.59,-0.49,16,136.58,122.41,-8.81,129.13,-3.81
IAC,2021-11-04,Y,149.99,154.0,156.4,145.03,4.27,145.17,-3.21,15,156.4,128.05,-14.62,128.76,-14.15
IAC,2022-02-15,Y,134.79,131.0,133.0,120.82,-10.36,120.88,-10.31,3,133.0,108.42,-19.56,109.55,-18.72
IAC,2022-05-10,N,72.63,75.3,79.97,73.9,10.1,79.09,8.89,11,83.6,73.9,15.1,82.95,14.2
IAC,2022-08-10,N,78.04,76.07,77.58,73.04,-6.4,73.61,-5.67,10,79.57,69.32,-11.17,69.32,-11.17
IAC,2022-11-09,N,44.82,44.94,47.61,43.8,6.22,43.87,-2.11,10,52.5,43.8,17.13,47.11,5.1
IAC,2023-02-14,N,51.23,50.86,55.19,49.02,7.72,53.82,5.05,4,56.8,49.02,10.87,52.45,2.38
