Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ICD,2014-09-11,Y,11.3,11.06,11.44,11.05,-2.21,11.4,0.88,8,11.54,11.05,-2.21,11.39,0.79
ICD,2014-11-11,N,7.47,7.55,7.56,7.25,-2.94,7.44,-0.4,11,7.97,7.14,6.69,7.55,1.07
ICD,2015-03-05,N,5.85,5.96,6.1,5.7,4.27,5.77,-1.36,15,6.35,5.37,8.54,6.04,3.24
ICD,2015-05-07,N,7.68,8.19,8.19,7.67,6.64,7.9,2.86,8,8.39,7.25,9.24,7.9,2.86
ICD,2015-08-06,N,6.9,6.99,7.42,6.97,7.53,6.98,1.15,15,7.42,5.77,-16.37,5.77,-16.37
ICD,2015-10-29,N,7.0,7.27,7.37,6.6,-5.71,6.67,-4.71,22,7.93,5.74,-17.99,5.78,-17.42
ICD,2016-02-18,N,3.68,3.78,3.96,3.71,7.6,3.86,4.89,1,3.96,3.71,7.6,3.87,5.16
ICD,2016-04-28,N,4.16,4.0,4.25,3.92,-5.76,4.13,-0.48,22,4.3,3.85,-7.45,4.01,-3.6
ICD,2016-07-28,N,4.74,4.73,4.84,4.5,-5.06,4.68,-1.26,22,5.44,4.5,14.76,5.22,10.12
ICD,2016-10-26,N,5.46,5.3,5.43,4.87,-10.8,5.07,-7.14,23,5.43,3.85,-29.48,4.99,-8.6
ICD,2017-02-28,N,5.65,5.99,6.32,5.71,11.85,5.95,5.3,17,6.32,4.75,-15.92,5.4,-4.42
ICD,2017-04-27,N,4.93,4.86,4.86,4.5,-8.72,4.76,-3.44,23,4.86,4.06,-17.64,4.36,-11.56
ICD,2017-07-27,N,3.73,3.7,4.05,3.7,8.57,3.83,2.68,23,4.05,3.25,-12.86,3.25,-12.86
ICD,2017-10-31,N,2.8,2.9,3.29,2.85,17.5,3.24,15.71,18,3.9,2.85,39.28,3.68,31.42
ICD,2018-02-26,N,4.37,4.31,4.34,4.0,-8.46,4.26,-2.51,21,4.53,3.85,-11.89,4.28,-2.05
ICD,2018-04-26,N,4.31,4.36,4.5,4.18,4.4,4.46,3.48,23,5.32,4.18,23.43,5.14,19.25
ICD,2018-08-02,N,3.92,4.07,4.13,3.93,5.35,3.95,0.76,16,4.17,3.53,-9.94,3.79,-3.31
ICD,2018-11-06,N,4.25,4.25,4.25,3.82,-10.11,3.88,-8.7,11,4.25,3.22,-24.23,3.5,-17.64
ICD,2019-03-01,N,3.1,3.58,3.67,3.36,18.38,3.53,13.87,15,3.67,2.8,18.38,2.8,-9.67
ICD,2019-05-02,N,2.67,2.84,2.84,2.63,6.36,2.8,4.86,16,2.92,2.62,9.36,2.76,3.37
ICD,2019-08-01,Y,1.12,1.14,1.25,1.12,11.6,1.21,8.03,15,1.29,1.02,15.17,1.12,0.0
ICD,2019-10-31,Y,0.89,0.89,0.93,0.88,4.49,0.92,3.37,15,0.95,0.8,-10.11,0.81,-8.98
ICD,2020-02-28,N,0.4,0.4,0.41,0.35,-12.5,0.4,0.0,22,4.89,0.12,1122.49,1.31,227.5
ICD,2020-05-07,N,6.39,6.45,6.52,6.01,-5.94,6.1,-4.53,9,6.52,5.01,-21.59,5.71,-10.64
ICD,2020-08-04,N,3.51,3.48,3.77,3.31,7.4,3.69,5.12,18,3.8,2.73,-22.22,2.83,-19.37
ICD,2020-11-03,N,2.43,2.55,2.61,2.43,7.4,2.46,1.23,18,3.34,2.24,37.44,2.95,21.39
ICD,2021-02-24,N,6.84,7.06,7.9,6.98,15.49,7.25,5.99,24,7.9,3.8,-44.44,3.9,-42.98
ICD,2021-05-04,N,3.4,3.45,3.73,3.31,9.7,3.7,8.82,18,3.82,3.04,12.35,3.13,-7.94
ICD,2021-11-02,N,4.02,3.95,3.98,3.66,-8.95,3.93,-2.23,18,4.47,2.9,-27.86,3.02,-24.87
ICD,2022-03-07,N,4.31,4.47,5.38,4.4,24.82,5.03,16.7,14,7.4,3.88,71.69,4.04,-6.26
ICD,2022-05-05,N,4.25,3.98,4.3,3.85,-9.41,4.06,-4.47,16,4.3,3.17,-25.41,3.62,-14.82
ICD,2022-08-04,N,3.38,3.29,3.32,3.06,-9.46,3.08,-8.87,16,3.66,3.06,-9.46,3.36,-0.59
