Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ICPT,2013-08-13,Y,46.08,46.34,46.64,46.0,1.21,46.19,0.23,3,46.64,43.66,-5.25,44.25,-3.97
ICPT,2013-11-18,,50.53,52.14,52.7,49.0,4.29,49.43,-2.17,32,63.58,49.0,25.82,62.87,24.42
ICPT,2014-03-14,Y,462.26,463.91,478.47,386.0,-16.49,407.16,-11.91,7,478.47,386.0,-16.49,390.91,-15.43
ICPT,2014-05-07,Y,254.48,245.0,250.0,228.05,-10.38,231.24,-9.13,9,285.6,224.44,12.22,280.26,10.13
ICPT,2014-08-11,Y,237.18,345.62,349.08,274.0,47.17,276.52,16.58,4,349.08,272.45,47.17,284.7,20.03
ICPT,2014-11-07,N,246.98,199.03,208.9,162.06,-34.38,172.59,-30.11,15,208.9,150.5,-39.06,155.0,-37.24
ICPT,2015-03-02,N,221.37,216.94,231.35,213.0,4.5,225.54,1.88,18,308.27,213.0,39.25,290.98,31.44
ICPT,2015-05-11,N,276.52,272.79,287.86,269.01,4.1,280.27,1.35,4,314.43,269.01,13.7,306.23,10.74
ICPT,2015-08-05,Y,260.13,258.0,259.89,238.0,-8.5,239.98,-7.74,16,259.89,186.01,-28.49,190.7,-26.69
ICPT,2015-11-09,N,176.7,178.29,194.65,174.01,10.15,192.29,8.82,11,217.99,163.1,23.36,170.69,-3.4
ICPT,2016-02-23,N,121.76,118.05,124.0,117.24,-3.71,119.29,-2.02,24,132.72,110.92,9.0,120.14,-1.33
ICPT,2016-05-05,Y,136.99,135.19,139.13,132.51,-3.27,133.34,-2.66,15,143.46,128.25,-6.38,134.28,-1.97
ICPT,2016-08-04,N,172.59,170.77,173.58,160.4,-7.06,163.21,-5.43,15,173.58,153.94,-10.8,165.8,-3.93
ICPT,2016-11-03,N,117.55,120.0,120.1,98.2,-16.46,98.2,-16.46,15,120.1,96.63,-17.79,113.71,-3.26
ICPT,2017-02-23,N,122.79,123.0,123.0,111.6,-9.11,115.93,-5.58,22,132.85,111.6,-9.11,125.23,1.98
ICPT,2017-05-04,N,112.72,113.86,124.44,113.86,10.39,117.29,4.05,16,124.44,112.08,10.39,112.27,-0.39
ICPT,2017-07-31,N,135.03,128.0,128.27,116.91,-13.41,117.13,-13.25,21,128.27,99.19,-26.54,104.08,-22.92
ICPT,2017-11-01,N,61.63,64.5,68.0,62.62,10.33,64.86,5.24,17,68.0,57.25,10.33,60.73,-1.46
ICPT,2018-02-14,N,53.41,52.3,56.26,51.76,5.33,56.02,4.88,3,62.42,51.76,16.86,61.16,14.51
ICPT,2018-05-08,N,70.33,68.84,71.49,67.55,-3.95,70.15,-0.25,11,73.25,67.55,4.15,72.45,3.01
ICPT,2018-08-02,N,91.78,95.0,101.8,92.5,10.91,100.83,9.86,16,118.85,92.5,29.49,103.42,12.68
ICPT,2018-10-31,N,87.21,88.91,98.69,88.91,13.16,96.01,10.09,17,115.32,88.91,32.23,102.7,17.76
ICPT,2019-02-28,N,92.76,102.6,106.0,98.61,14.27,99.74,7.52,16,114.0,98.61,22.89,113.18,22.01
ICPT,2019-05-08,N,85.0,84.49,89.5,83.0,5.29,87.57,3.02,10,89.83,81.1,5.68,86.42,1.67
ICPT,2019-08-07,N,60.66,61.6,62.99,59.0,3.84,61.51,1.4,10,68.23,59.0,12.47,64.0,5.5
ICPT,2020-02-25,N,90.89,91.98,93.92,84.48,-7.05,84.68,-6.83,25,98.03,47.57,-47.66,52.77,-41.94
ICPT,2020-05-11,N,87.8,88.33,92.25,88.3,5.06,90.44,3.0,7,95.98,80.75,9.31,84.61,-3.63
ICPT,2020-08-10,N,48.75,49.85,54.62,49.04,12.04,52.83,8.36,14,55.59,45.81,14.03,48.21,-1.1
ICPT,2020-11-09,N,28.15,28.85,35.57,28.14,26.35,34.84,23.76,14,40.41,28.14,43.55,35.65,26.64
ICPT,2021-02-25,N,28.6,28.82,29.0,23.0,-19.58,23.05,-19.4,23,29.0,18.15,-36.53,22.7,-20.62
ICPT,2021-05-06,N,19.04,19.11,19.11,16.81,-11.71,17.01,-10.66,16,19.11,16.26,-14.6,17.06,-10.39
ICPT,2021-07-29,N,16.87,18.13,18.5,17.24,9.66,17.24,2.19,23,18.5,11.6,-31.23,12.99,-22.99
ICPT,2021-11-03,N,17.45,18.34,20.5,17.61,17.47,19.34,10.83,17,20.5,16.9,17.47,17.23,-1.26
ICPT,2022-03-02,N,15.0,14.0,14.12,12.5,-16.66,13.56,-9.59,17,16.94,12.5,-16.66,16.58,10.53
ICPT,2022-05-06,N,19.59,18.77,19.58,18.12,-7.5,19.27,-1.63,15,19.7,16.35,-16.53,17.46,-10.87
ICPT,2022-08-03,N,12.25,12.62,14.13,12.51,15.34,13.84,12.97,17,21.25,12.51,73.46,17.74,44.81
ICPT,2022-11-01,N,13.87,14.89,16.28,14.89,17.37,15.73,13.41,18,16.76,14.16,20.83,15.1,8.86
ICPT,2023-03-02,N,19.81,19.8,20.91,19.32,5.55,20.58,3.88,16,20.95,14.95,-24.53,15.27,-22.91
