Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
IDA,2002-02-01,Y,38.15,38.15,38.63,37.63,-1.36,38.25,0.26,14,40.2,37.63,5.37,38.58,1.12
IDA,2002-04-25,N,37.95,37.95,38.06,37.29,-1.73,37.78,-0.44,22,38.54,35.18,-7.29,35.69,-5.95
IDA,2002-07-30,N,24.12,24.0,27.07,24.0,12.23,26.46,9.7,17,27.07,24.0,12.23,26.22,8.7
IDA,2002-11-08,N,24.9,24.9,24.9,23.76,-4.57,24.15,-3.01,7,24.9,21.7,-12.85,23.3,-6.42
IDA,2003-02-07,N,21.7,22.5,22.61,21.5,4.19,21.66,-0.18,14,22.61,20.6,-5.06,22.0,1.38
IDA,2003-05-07,N,23.81,23.7,23.98,23.6,-0.88,23.72,-0.37,9,24.85,23.2,4.36,24.75,3.94
IDA,2003-08-07,N,25.45,24.7,24.71,23.47,-7.77,23.82,-6.4,8,24.71,23.15,-9.03,24.09,-5.34
IDA,2003-11-06,N,26.37,27.88,27.88,27.88,5.72,27.88,5.72,15,29.15,27.71,10.54,28.07,6.44
IDA,2004-02-05,N,30.75,30.09,30.09,30.09,2.14,30.09,-2.14,15,32.04,30.09,4.19,30.79,0.13
IDA,2004-05-06,N,28.51,28.83,28.83,28.83,1.12,28.83,1.12,15,28.97,26.4,-7.4,26.55,-6.87
IDA,2004-08-05,N,27.53,27.53,27.67,27.38,-0.54,27.5,-0.1,15,28.54,27.32,3.66,28.54,3.66
IDA,2004-11-04,Y,32.25,32.45,32.47,31.8,-1.39,32.2,-0.15,15,32.79,31.53,-2.23,32.0,-0.77
IDA,2005-02-16,Y,30.31,30.28,30.3,29.59,-2.37,29.72,-1.94,2,30.3,28.75,-5.14,29.09,-4.02
IDA,2005-05-05,N,26.9,26.75,27.13,26.42,-1.78,26.75,-0.55,15,27.85,26.22,3.53,27.76,3.19
IDA,2005-08-04,N,30.97,30.2,30.47,30.03,-3.03,30.4,-1.84,15,30.47,28.75,-7.16,29.33,-5.29
IDA,2005-11-03,N,29.55,29.5,29.7,29.01,-1.82,29.14,-1.38,15,29.7,27.88,-5.65,28.78,-2.6
IDA,2006-02-09,N,31.0,31.4,31.47,31.0,1.51,31.13,0.41,8,32.59,30.86,5.12,32.5,4.83
IDA,2006-05-09,N,34.86,34.96,34.97,34.51,-1.0,34.61,-0.68,10,34.97,32.54,-6.65,33.01,-5.3
IDA,2006-08-08,N,36.29,36.45,36.92,36.2,1.7,36.82,1.43,10,38.15,36.2,5.09,37.94,4.51
IDA,2006-11-02,N,39.36,38.86,38.94,38.32,-2.64,38.54,-2.05,15,39.89,38.03,-3.37,39.53,0.43
IDA,2007-02-15,N,37.72,37.65,37.65,36.28,-3.81,36.42,-3.44,1,37.65,35.25,-6.54,35.6,-5.62
IDA,2007-05-09,N,34.6,34.0,34.4,33.53,-3.09,34.01,-1.7,9,34.4,32.6,-5.78,33.07,-4.42
IDA,2007-08-08,N,32.61,33.65,36.57,33.45,12.1,34.35,5.3,9,36.57,31.76,12.1,34.25,4.99
IDA,2007-10-31,N,34.58,34.56,35.43,33.94,2.45,34.89,0.89,16,35.43,33.0,-4.56,33.86,-2.05
IDA,2008-02-14,N,32.09,32.11,32.51,31.98,1.3,32.04,-0.15,1,32.51,31.19,-2.8,31.46,-1.96
IDA,2008-05-08,N,32.06,32.18,32.18,31.15,-2.83,31.31,-2.33,8,32.18,30.2,-5.8,31.35,-2.21
IDA,2008-08-07,N,29.88,28.9,30.05,27.96,-6.42,29.66,-0.73,8,31.36,27.96,-6.42,30.99,3.71
IDA,2008-11-06,N,26.87,27.24,27.9,26.58,3.83,27.03,0.59,15,30.66,25.9,14.1,28.53,6.17
IDA,2009-02-19,N,25.63,25.06,25.06,23.48,-8.38,24.39,-4.83,1,26.19,23.48,-8.38,24.25,-5.38
IDA,2009-05-07,N,24.01,24.2,24.3,22.95,-4.41,23.7,-1.29,8,24.49,22.27,-7.24,22.37,-6.83
IDA,2009-08-06,N,27.8,27.82,28.0,27.43,-1.33,27.79,-0.03,15,29.19,26.7,5.0,29.11,4.71
IDA,2009-10-29,N,28.44,28.51,28.76,28.13,1.12,28.44,,22,29.99,27.71,5.45,29.45,3.55
IDA,2010-02-23,N,32.7,33.5,33.97,33.4,3.88,33.61,2.78,24,35.69,32.92,9.14,35.02,7.09
IDA,2010-05-06,N,35.36,35.34,35.34,33.28,-5.88,33.86,-4.24,15,35.38,31.83,-9.98,32.35,-8.51
IDA,2010-08-05,N,35.99,35.89,36.15,35.52,-1.3,36.1,0.3,15,36.96,34.79,-3.33,35.14,-2.36
IDA,2010-10-28,N,36.71,36.84,37.2,36.84,1.33,37.0,0.78,22,37.34,35.69,-2.77,35.9,-2.2
