Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
IDCC,2002-02-14,N,10.7,10.19,10.5,9.65,-9.81,9.85,-7.94,1,10.5,9.5,-11.21,9.9,-7.47
IDCC,2002-05-08,Y,11.3,12.25,13.0,11.8,15.04,11.91,5.39,9,13.75,11.3,21.68,13.64,20.7
IDCC,2002-08-06,N,6.32,7.49,7.59,6.89,20.09,7.08,12.02,10,8.52,6.81,34.81,8.5,34.49
IDCC,2002-11-12,N,13.52,13.35,14.44,12.39,-8.35,14.19,4.95,3,15.7,12.39,16.12,15.2,12.42
IDCC,2003-02-11,N,11.8,11.94,12.0,11.5,-2.54,11.65,-1.27,10,14.5,11.5,22.88,14.08,19.32
IDCC,2003-05-13,N,23.92,24.7,24.7,23.75,3.26,24.54,2.59,3,27.5,23.75,14.96,25.81,7.9
IDCC,2003-08-13,N,14.68,17.73,15.22,14.73,3.67,15.09,2.79,2,18.14,14.73,23.56,16.02,9.12
IDCC,2003-11-13,N,19.28,20.83,19.59,18.8,-2.48,19.46,0.93,8,21.0,18.8,8.92,20.09,4.2
IDCC,2004-03-10,N,26.29,20.2,26.29,24.03,-8.59,24.6,-6.42,9,26.29,16.7,-36.47,17.42,-33.73
IDCC,2004-05-10,N,17.05,17.38,17.41,17.0,2.05,17.05,0.05,11,17.41,15.0,-12.07,16.12,-5.5
IDCC,2004-08-09,N,17.44,16.03,16.6,13.89,-20.35,14.47,-17.02,11,16.6,13.89,-20.35,15.91,-8.77
IDCC,2004-11-09,N,15.96,15.62,17.07,15.53,6.95,17.0,6.51,10,21.61,15.53,35.4,19.21,20.36
IDCC,2005-05-06,N,15.0,15.46,15.85,14.7,5.66,15.2,1.33,14,16.75,14.7,11.66,16.72,11.46
IDCC,2005-08-04,N,18.1,18.2,18.79,18.0,3.81,18.46,1.98,15,18.79,17.87,3.81,18.26,0.88
IDCC,2005-11-03,N,19.96,19.75,19.75,18.41,-7.76,18.59,-6.86,15,19.75,18.02,-9.71,19.32,-3.15
