Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
IHS,2006-01-12,Y,23.07,22.3,24.7,20.6,-10.7,24.0,4.03,8,25.29,20.6,-10.7,24.13,4.59
IHS,2006-03-28,Y,24.3,28.5,29.19,27.25,20.12,27.25,12.13,24,29.19,26.0,20.12,28.82,18.6
IHS,2006-06-28,Y,26.0,27.91,30.7,27.91,18.07,29.35,12.88,23,33.44,26.67,28.61,29.75,14.42
IHS,2006-09-21,Y,31.82,30.95,33.34,30.41,4.77,33.04,3.83,29,35.88,30.41,12.75,34.29,7.79
IHS,2007-01-11,Y,38.29,37.0,40.69,36.79,6.26,39.36,2.79,8,40.69,36.79,6.26,37.83,-1.2
IHS,2007-03-21,Y,39.96,43.5,45.02,42.94,12.66,43.86,9.75,30,45.02,39.75,12.66,41.3,3.35
IHS,2007-06-19,Y,44.58,47.5,48.03,45.83,7.73,45.9,2.96,31,50.93,45.41,14.24,50.39,13.03
IHS,2007-09-20,Y,52.35,54.25,57.28,53.6,9.41,56.45,7.83,1,57.28,53.6,9.41,56.45,7.83
IHS,2008-01-10,Y,57.82,60.14,63.68,59.02,10.13,60.0,3.77,8,65.65,57.02,13.54,58.75,1.6
IHS,2008-03-19,Y,64.3,68.2,68.2,59.8,-6.99,67.48,4.94,2,68.2,59.8,-6.99,67.48,4.94
IHS,2008-06-18,Y,64.5,65.5,70.25,65.25,8.91,68.13,5.62,2,70.25,65.25,8.91,70.0,8.52
IHS,2008-09-18,Y,60.5,59.95,59.95,45.66,-24.52,49.6,-18.01,1,59.95,45.66,-24.52,49.6,-18.01
IHS,2009-01-08,Y,40.04,44.85,48.99,44.65,22.32,45.85,14.48,8,48.99,43.9,22.32,45.38,13.3
IHS,2009-03-18,Y,39.47,39.26,41.2,38.57,4.35,41.02,3.9,2,41.52,38.57,5.16,40.04,1.44
IHS,2009-06-17,Y,49.47,50.24,50.24,46.94,-5.11,47.0,-4.99,2,50.24,46.55,-5.9,46.7,-5.59
IHS,2009-09-17,Y,52.3,54.11,54.48,50.3,4.16,52.76,0.87,1,54.48,50.3,4.16,52.76,0.87
IHS,2010-01-07,Y,55.61,54.22,55.37,53.0,-4.69,55.2,-0.73,8,55.66,53.0,-4.69,54.2,-2.53
IHS,2010-03-17,Y,56.07,55.15,55.42,53.44,-4.69,53.5,-4.58,2,55.42,52.83,-5.77,53.0,-5.47
IHS,2010-06-16,Y,55.57,56.35,59.78,56.35,7.57,59.15,6.44,2,59.78,56.35,7.57,59.5,7.07
IHS,2010-09-22,Y,65.84,67.31,67.95,64.63,3.18,66.67,1.24,23,71.95,64.63,9.26,71.59,8.73
IHS,2011-01-06,Y,80.51,80.0,80.37,75.31,-6.45,79.39,-1.39,15,80.37,75.31,-6.45,79.68,-1.03
IHS,2011-03-17,Y,85.79,85.8,86.86,84.31,-1.72,86.52,0.85,1,86.86,84.31,-1.72,86.52,0.85
IHS,2011-06-22,Y,87.99,83.99,84.59,80.8,-8.17,81.56,-7.3,23,85.17,79.8,-9.3,80.23,-8.81
IHS,2011-09-21,N,79.89,80.84,81.0,75.01,-6.1,75.58,-5.39,30,81.0,69.7,-12.75,80.64,0.93
IHS,2012-01-06,N,85.25,85.5,87.95,84.53,3.16,87.43,2.55,14,94.69,84.53,11.07,92.56,8.57
IHS,2012-03-22,N,97.65,93.15,94.67,92.0,-5.78,93.08,-4.67,29,101.26,91.2,-6.6,100.88,3.3
IHS,2012-06-18,Y,105.84,101.76,102.84,99.6,-5.89,102.54,-3.11,32,109.28,99.6,-5.89,105.06,-0.73
IHS,2012-09-20,N,115.25,100.89,101.15,93.57,-18.81,94.77,-17.77,1,101.15,89.91,-21.98,91.36,-20.72
IHS,2013-01-08,Y,102.09,102.14,102.43,100.98,-1.08,102.34,0.24,10,103.53,98.67,-3.34,99.47,-2.56
IHS,2013-03-21,N,109.29,115.64,115.64,101.97,-6.69,105.75,-3.23,29,115.64,96.48,-11.72,96.63,-11.58
IHS,2013-06-20,,107.8,104.0,104.66,99.96,-7.27,100.22,-7.03,1,104.66,96.76,-10.24,97.03,-9.99
IHS,2013-09-19,N,114.9,113.99,117.65,113.76,2.39,114.98,0.06,1,117.65,111.76,-2.73,112.69,-1.92
IHS,2014-01-07,N,116.02,121.0,123.95,119.19,6.83,122.7,5.75,10,123.95,115.9,6.83,117.11,0.93
IHS,2014-03-20,N,120.77,123.5,125.21,120.77,3.67,124.9,3.41,1,125.21,120.77,3.67,122.59,1.5
IHS,2014-06-19,N,130.19,133.07,137.52,133.01,5.63,136.54,4.87,1,139.65,133.01,7.26,139.47,7.12
IHS,2014-09-18,N,138.62,137.63,137.9,132.22,-4.61,132.44,-4.45,1,137.9,129.44,-6.62,129.78,-6.37
