Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
IMAX,2002-03-01,N,3.51,3.59,3.94,3.48,12.25,3.89,10.82,14,4.25,3.48,21.08,3.65,3.98
IMAX,2002-05-09,N,4.38,4.8,5.03,4.62,14.84,5.0,14.15,8,7.14,4.62,63.01,6.95,58.67
IMAX,2002-08-07,N,3.6,3.96,4.28,3.8,18.88,3.86,7.22,9,4.49,3.8,24.72,4.09,13.88
IMAX,2002-11-05,N,5.17,5.09,5.59,5.05,8.12,5.49,6.18,10,5.6,5.0,8.31,5.37,3.86
IMAX,2003-02-27,N,3.33,3.5,3.86,3.46,15.91,3.72,11.71,22,4.75,3.46,42.64,4.65,39.63
IMAX,2003-05-05,N,7.4,8.19,8.36,7.66,12.97,7.93,7.16,11,8.36,6.5,12.97,7.69,3.91
IMAX,2003-07-31,N,8.86,8.84,8.92,8.08,-8.9,8.5,-4.17,15,8.92,6.95,-21.64,7.28,-17.92
IMAX,2003-11-10,N,9.35,8.71,9.0,8.02,-14.22,8.35,-10.69,11,9.0,7.5,-19.78,7.66,-18.07
IMAX,2004-03-09,N,7.46,7.04,7.22,6.21,-16.75,6.33,-15.14,10,7.22,5.75,-22.92,6.07,-18.63
IMAX,2004-05-06,N,4.84,4.92,4.92,4.36,-10.1,4.4,-9.27,15,5.82,4.04,20.0,5.04,3.91
IMAX,2004-08-09,N,4.38,4.68,4.9,4.44,11.87,4.63,5.7,11,5.17,4.44,18.03,4.65,6.16
IMAX,2004-10-28,N,5.52,6.01,6.56,5.95,18.84,6.43,16.48,22,7.48,5.95,35.5,7.11,28.8
IMAX,2005-03-10,N,10.09,10.79,11.0,10.02,9.01,10.64,5.45,8,11.0,8.96,-11.19,9.08,-10.0
IMAX,2005-05-05,N,9.42,9.5,9.61,8.21,-12.84,8.94,-4.98,15,9.61,7.96,-15.49,9.27,-1.48
IMAX,2005-08-04,N,10.33,10.02,10.62,10.02,-3.0,10.53,1.93,15,10.79,9.58,-7.26,9.85,-4.64
IMAX,2005-11-03,N,8.99,8.8,8.9,7.91,-12.01,8.02,-10.78,15,9.11,7.91,-12.01,9.03,0.55
IMAX,2006-03-09,N,9.5,10.54,10.95,10.05,15.26,10.35,8.94,8,10.95,10.05,15.26,10.31,8.52
IMAX,2006-03-30,N,10.1,10.09,10.18,10.02,0.79,10.13,0.29,22,10.38,9.84,2.77,10.05,-0.49
IMAX,2006-05-09,N,9.77,9.59,9.77,9.4,-3.78,9.44,-3.27,10,9.77,8.82,-9.72,8.92,-8.7
IMAX,2006-08-09,N,9.85,9.8,10.24,9.6,3.95,9.63,-2.23,9,10.24,5.48,-44.36,5.72,-41.92
IMAX,2006-11-09,N,4.84,4.0,4.01,3.35,-30.78,3.39,-29.95,8,4.01,3.35,-30.78,3.45,-28.71
IMAX,2007-03-16,N,4.99,4.8,5.12,4.75,-4.8,5.0,0.2,0,5.12,4.75,-4.8,5.0,0.2
IMAX,2007-07-20,N,4.4,4.84,4.98,4.54,13.18,4.84,10.22,0,4.98,4.54,13.18,4.84,10.22
IMAX,2007-11-09,N,4.43,4.4,4.4,4.13,-6.77,4.34,-2.03,7,4.8,4.05,-8.57,4.66,5.19
IMAX,2008-03-14,Y,6.62,6.5,6.56,6.3,-4.83,6.55,-1.05,7,6.84,6.17,-6.79,6.28,-5.13
IMAX,2008-05-12,N,7.22,7.0,7.36,6.95,-3.73,7.09,-1.8,4,7.74,6.95,7.2,7.49,3.73
IMAX,2008-08-07,N,7.83,7.38,7.69,7.1,-9.32,7.5,-4.21,8,7.69,7.1,-9.32,7.36,-6.0
IMAX,2008-11-06,Y,3.44,3.7,3.7,3.19,7.55,3.29,-4.36,15,3.7,2.41,-29.94,2.54,-25.87
IMAX,2009-03-12,N,4.55,4.3,4.61,3.9,-14.28,4.59,0.87,8,4.67,3.9,-14.28,4.05,-10.98
IMAX,2009-05-07,N,7.15,7.11,7.32,6.53,-8.67,7.0,-2.09,8,7.32,6.5,-9.09,6.57,-8.11
IMAX,2009-08-06,N,9.5,9.6,10.06,9.24,5.89,9.4,-1.05,15,10.06,8.61,-9.36,9.56,0.63
IMAX,2009-11-05,N,10.56,11.01,11.05,10.69,4.64,10.89,3.12,15,11.24,10.02,6.43,10.48,-0.75
IMAX,2010-03-11,N,16.02,17.44,17.6,15.03,9.86,15.86,-0.99,8,17.6,15.03,9.86,15.55,-2.93
IMAX,2010-04-29,N,20.3,20.68,20.77,18.5,-8.86,19.72,-2.85,22,20.77,16.86,-16.94,17.89,-11.87
IMAX,2010-07-29,N,14.35,14.62,15.49,14.61,7.94,15.49,7.94,22,16.14,13.83,12.47,14.01,-2.36
IMAX,2010-10-28,N,18.85,19.61,21.49,19.34,14.0,21.39,13.47,22,24.82,19.34,31.67,24.18,28.27
IMAX,2011-02-24,N,27.78,27.92,28.75,26.77,-3.63,27.01,-2.77,22,29.1,25.85,-6.94,26.2,-5.68
IMAX,2011-04-28,N,32.29,31.5,35.19,31.42,8.94,34.24,6.0,22,37.13,31.42,14.95,36.4,12.72
IMAX,2011-07-28,Y,20.21,19.88,19.89,18.1,-10.44,18.96,-6.18,22,20.14,14.22,-29.63,14.76,-26.96
IMAX,2011-10-27,Y,19.3,19.45,20.5,19.45,6.16,20.36,5.43,22,20.5,17.77,-7.97,19.43,0.62
IMAX,2012-02-23,N,23.96,24.01,25.24,22.5,-6.09,25.06,4.59,22,26.68,22.5,11.35,25.86,7.92
IMAX,2012-04-27,N,24.65,24.65,24.72,22.9,-7.09,24.44,-0.85,21,25.34,20.71,-15.98,20.94,-15.05
IMAX,2012-07-26,N,23.54,23.92,23.95,22.05,-6.32,22.46,-4.58,22,23.95,20.26,-13.93,21.67,-7.94
IMAX,2012-10-25,N,21.71,22.69,23.82,22.26,9.71,22.51,3.68,22,23.82,21.36,9.71,22.02,1.42
IMAX,2013-02-21,N,25.19,26.48,26.73,25.65,6.11,26.27,4.28,22,26.73,25.03,6.11,26.45,5.0
IMAX,2013-04-25,N,26.94,27.07,27.25,25.74,-4.45,26.22,-2.67,22,28.73,25.0,-7.2,28.21,4.71
IMAX,2013-07-25,N,25.1,26.9,27.09,25.55,7.92,25.6,1.99,22,27.35,25.0,8.96,26.14,4.14
IMAX,2013-10-24,N,27.55,28.48,29.67,27.92,7.69,28.94,5.04,22,31.21,27.92,13.28,30.69,11.39
IMAX,2014-02-20,N,26.59,28.0,28.03,26.8,5.41,27.02,1.61,1,28.03,26.8,5.41,27.19,2.25
IMAX,2014-04-24,N,28.23,27.98,28.07,26.21,-7.15,27.09,-4.03,22,28.07,24.47,-13.31,24.98,-11.51
IMAX,2014-07-24,N,24.69,24.89,26.05,24.85,5.5,25.8,4.49,22,27.37,24.85,10.85,26.64,7.89
IMAX,2014-10-23,N,27.86,28.06,29.49,28.02,5.85,28.55,2.47,30,31.2,28.02,11.98,31.13,11.73
IMAX,2015-02-19,N,33.26,34.89,35.29,34.17,6.1,34.93,5.02,1,35.57,34.17,6.94,35.54,6.85
IMAX,2015-04-30,N,37.59,36.95,37.54,36.5,-2.89,37.36,-0.61,15,38.11,36.34,-3.32,37.86,0.74
IMAX,2015-07-23,N,37.89,38.18,38.57,36.24,-4.35,37.25,-1.68,29,38.57,30.53,-19.42,30.85,-18.58
IMAX,2015-10-28,Y,38.17,37.99,38.75,37.84,1.51,38.28,0.28,23,39.75,37.33,4.13,38.11,-0.13
IMAX,2016-02-24,Y,32.15,29.7,30.19,27.33,-14.99,28.5,-11.35,23,32.76,27.33,-14.99,31.63,-1.61
IMAX,2016-04-21,N,32.94,34.88,35.01,31.4,6.28,32.63,-0.94,29,35.01,31.29,6.28,32.75,-0.57
