Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
IMGN,2002-02-07,Y,9.92,10.23,10.83,10.01,9.17,10.6,6.85,8,13.05,10.01,31.55,12.51,26.1
IMGN,2002-05-09,Y,7.25,7.15,7.43,6.3,-13.1,6.61,-8.82,8,7.43,5.76,-20.55,5.77,-20.41
IMGN,2002-08-08,Y,2.69,2.63,2.94,2.46,9.29,2.75,2.23,8,3.18,2.46,18.21,2.93,8.92
IMGN,2002-11-07,Y,3.35,3.33,3.48,3.3,3.88,3.35,,8,3.48,3.07,-8.35,3.48,3.88
IMGN,2003-02-06,Y,2.87,2.79,2.87,2.54,-11.49,2.54,-11.14,15,2.87,2.44,-14.98,2.52,-12.19
IMGN,2003-05-08,Y,3.2,3.05,3.25,3.01,-5.93,3.1,-3.12,8,3.8,3.0,18.74,3.46,8.12
IMGN,2003-08-07,Y,4.47,4.49,4.49,4.15,-7.15,4.28,-4.25,8,4.7,3.95,-11.63,4.34,-2.68
IMGN,2003-11-06,Y,4.59,4.55,5.55,4.55,20.91,5.2,13.28,15,5.55,4.25,20.91,4.79,4.35
IMGN,2004-02-12,Y,6.66,6.64,6.66,6.46,-3.0,6.52,-2.1,8,7.11,6.46,6.75,6.87,3.15
IMGN,2004-05-13,Y,8.47,8.43,9.0,7.93,-6.37,8.27,-2.36,8,9.0,6.94,-18.06,7.97,-5.9
IMGN,2004-08-12,Y,4.25,4.34,4.92,4.34,15.76,4.53,6.58,8,5.66,4.34,33.17,5.66,33.17
IMGN,2004-11-04,Y,5.63,6.11,6.36,5.88,12.96,5.93,5.32,15,7.2,5.88,27.88,6.85,21.66
IMGN,2005-02-03,Y,7.06,7.24,7.59,6.93,7.5,7.56,7.08,15,7.7,6.14,-13.03,6.2,-12.18
IMGN,2005-05-05,Y,5.65,5.3,5.61,5.3,-6.19,5.4,-4.42,15,6.56,5.3,16.1,5.56,-1.59
