Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
IMOS,2005-11-15,Y,22.0,22.0,22.0,21.4,-2.72,21.68,-1.45,3,23.2,21.4,5.45,22.64,2.9
IMOS,2006-03-13,Y,29.4,28.8,29.44,28.8,-2.04,29.2,-0.68,4,29.44,27.56,-6.25,27.92,-5.03
IMOS,2006-05-03,Y,29.4,30.0,32.47,29.88,10.44,32.4,10.2,16,33.28,24.52,-16.59,26.84,-8.7
IMOS,2006-08-03,Y,23.84,22.32,23.2,22.12,-7.21,22.44,-5.87,15,23.8,21.64,-9.22,23.08,-3.18
IMOS,2006-11-06,Y,23.76,23.48,23.6,22.8,-4.04,23.0,-3.19,11,23.6,21.92,-7.74,22.92,-3.53
IMOS,2007-03-14,N,30.0,30.0,30.28,29.24,-2.53,30.04,0.13,2,30.28,27.4,-8.66,28.6,-4.66
IMOS,2007-05-03,Y,27.6,27.12,27.52,26.04,-5.65,26.12,-5.36,15,27.52,23.92,-13.33,24.88,-9.85
IMOS,2007-08-15,Y,25.68,25.4,26.4,24.2,-5.76,24.64,-4.04,2,26.4,24.2,-5.76,25.6,-0.31
IMOS,2007-11-13,Y,20.39,21.0,22.16,20.96,8.62,21.24,4.11,3,22.16,20.23,8.62,20.6,0.98
IMOS,2008-03-19,Y,11.24,11.68,11.68,10.4,-7.47,10.68,-4.98,2,11.68,10.4,-7.47,10.68,-4.98
IMOS,2008-05-14,Y,11.8,12.28,13.0,11.8,10.16,12.68,7.45,2,13.0,11.8,10.16,13.0,10.16
IMOS,2008-08-20,Y,9.6,9.4,9.48,8.36,-12.91,9.14,-4.79,30,10.11,7.08,-26.24,7.72,-19.58
IMOS,2008-11-11,Y,1.6,1.6,1.6,1.32,-17.5,1.4,-12.5,10,1.6,0.72,-55.0,1.0,-37.5
IMOS,2009-03-24,Y,1.6,1.6,1.6,1.36,-15.0,1.56,-2.5,24,2.36,1.32,47.49,2.24,40.0
IMOS,2009-05-13,Y,2.36,2.31,2.31,2.1,-11.01,2.2,-6.77,2,2.36,2.1,-11.01,2.28,-3.38
IMOS,2009-08-19,Y,3.3,3.24,3.24,3.05,-7.57,3.12,-5.45,2,3.24,2.8,-15.15,3.08,-6.66
IMOS,2009-11-10,Y,3.24,3.28,3.28,3.05,-5.86,3.2,-1.23,10,3.28,2.72,-16.04,2.92,-9.87
IMOS,2010-03-17,Y,2.88,2.88,3.04,2.84,5.55,2.96,2.77,2,3.04,2.4,-16.66,2.4,-16.66
IMOS,2010-05-18,Y,6.6,7.2,7.88,6.96,19.39,7.44,12.72,3,7.88,6.0,19.39,6.56,-0.6
IMOS,2010-08-18,Y,4.76,4.76,4.96,4.16,-12.6,4.4,-7.56,2,4.96,4.12,-13.44,4.12,-13.44
IMOS,2010-11-15,Y,5.2,5.2,5.56,5.12,6.92,5.48,5.38,4,5.96,5.12,14.61,5.92,13.84
IMOS,2011-03-16,N,8.11,8.24,8.99,7.58,10.71,7.59,-6.52,2,8.99,7.3,10.71,7.3,-10.09
IMOS,2011-05-19,Y,7.95,7.92,8.14,7.92,2.38,8.0,0.62,1,8.14,7.92,2.38,8.0,0.62
IMOS,2011-08-18,N,5.45,5.08,5.57,5.07,-6.97,5.35,-1.83,1,5.57,5.07,-6.97,5.16,-5.32
IMOS,2011-11-16,N,5.45,5.48,5.6,5.3,2.75,5.3,-2.75,2,6.43,5.3,17.98,5.88,7.88
IMOS,2012-03-16,N,16.11,15.57,17.51,14.91,8.69,16.36,1.55,0,17.51,14.91,8.69,16.36,1.55
IMOS,2012-05-18,N,12.44,12.59,12.7,10.78,-13.34,11.63,-6.51,0,12.7,10.78,-13.34,11.63,-6.51
IMOS,2012-08-17,N,13.24,13.34,14.35,13.3,8.38,14.25,7.62,0,14.35,13.3,8.38,14.25,7.62
IMOS,2012-11-20,N,10.71,10.58,10.64,9.21,-14.0,9.53,-10.92,31,11.07,9.21,-14.0,10.9,1.77
IMOS,2013-03-18,N,10.33,10.5,11.28,10.16,9.19,10.97,6.19,32,16.71,10.16,61.76,14.9,44.24
IMOS,2013-05-16,N,16.45,16.72,17.29,16.48,5.1,16.85,2.43,1,18.11,16.48,10.09,18.1,10.03
IMOS,2013-08-15,N,17.21,17.36,17.7,16.05,-6.68,16.72,-2.84,1,17.7,16.05,-6.68,16.75,-2.67
IMOS,2013-11-18,N,17.57,17.92,19.29,17.69,9.78,18.64,6.08,32,21.17,17.69,20.48,19.26,9.61
IMOS,2014-01-10,N,18.3,18.64,19.25,18.5,5.19,19.14,4.64,7,19.41,17.92,6.06,18.76,2.51
IMOS,2014-05-14,N,21.88,22.02,23.2,22.02,6.03,22.55,3.06,2,23.2,20.94,6.03,21.19,-3.15
IMOS,2014-08-12,Y,24.47,23.73,24.28,23.32,-4.69,23.82,-2.65,3,24.41,23.32,-4.69,24.08,-1.59
IMOS,2014-11-12,Y,21.8,22.8,23.0,21.62,5.5,22.09,1.33,10,23.0,20.53,-5.82,20.98,-3.76
IMOS,2015-03-12,Y,21.57,22.03,23.95,22.03,11.03,23.71,9.92,8,24.1,22.03,11.72,23.42,8.57
IMOS,2015-05-11,Y,23.56,23.0,23.48,22.0,-6.62,22.78,-3.31,4,23.69,22.0,-6.62,23.48,-0.33
