Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
INSM,2002-01-30,Y,30.5,30.4,30.5,29.6,-2.95,30.3,-0.65,16,31.5,25.3,-17.04,25.3,-17.04
INSM,2002-05-02,Y,27.3,27.6,29.5,26.2,8.05,27.2,-0.36,15,29.5,22.3,-18.31,26.0,-4.76
INSM,2002-07-26,Y,13.3,14.2,15.0,13.5,12.78,14.7,10.52,21,20.0,13.5,50.37,18.0,35.33
INSM,2003-02-03,Y,4.8,4.71,5.0,4.3,-10.41,4.8,,18,5.3,3.9,-18.75,4.4,-8.33
INSM,2003-05-02,N,13.6,14.0,14.1,11.2,-17.64,12.5,-8.08,14,14.1,10.5,-22.79,13.7,0.73
INSM,2003-07-31,N,25.5,25.5,25.9,22.5,-11.76,22.5,-11.76,15,30.0,22.5,17.64,25.8,1.17
INSM,2003-11-05,N,30.5,30.7,31.5,29.4,-3.6,31.0,1.63,16,32.79,27.5,-9.83,28.9,-5.24
INSM,2004-02-11,N,37.79,39.5,39.7,35.0,-7.4,36.9,-2.38,9,39.7,35.0,-7.4,36.6,-3.17
INSM,2004-05-05,Y,27.0,28.0,29.0,21.1,-21.85,22.6,-16.29,16,29.0,20.5,-24.07,22.0,-18.51
INSM,2004-11-08,Y,13.0,14.0,14.2,12.4,9.23,13.1,0.76,11,16.5,12.4,26.92,15.9,22.3
INSM,2005-03-16,Y,12.1,12.0,12.3,11.5,-4.95,11.6,-4.13,2,12.3,9.8,-19.0,10.5,-13.22
INSM,2005-05-10,Y,12.6,12.8,12.8,11.7,-7.14,12.2,-3.17,10,13.8,11.7,9.52,12.9,2.38
INSM,2005-08-08,Y,10.6,10.8,10.9,10.4,2.83,10.8,1.88,11,13.5,10.4,27.35,11.6,9.43
INSM,2005-11-03,Y,11.9,11.8,12.0,11.8,0.84,11.9,,15,12.2,11.5,-3.36,11.7,-1.68
INSM,2006-03-02,Y,25.6,24.2,24.4,22.7,-11.32,23.7,-7.42,15,24.4,19.6,-23.43,21.0,-17.96
INSM,2006-05-08,Y,18.7,18.39,18.39,17.5,-6.41,17.6,-5.88,11,18.39,14.6,-21.92,15.7,-16.04
INSM,2006-08-08,Y,11.8,12.0,12.3,11.2,-5.08,11.2,-5.08,10,12.3,10.19,-13.64,11.5,-2.54
INSM,2006-11-03,N,12.5,13.0,13.0,12.1,4.0,12.2,-2.4,14,15.3,11.8,22.4,14.3,14.4
INSM,2007-03-15,Y,9.19,9.3,9.69,8.8,5.32,9.5,3.26,1,9.69,8.8,5.32,9.5,3.26
INSM,2007-05-10,N,8.28,8.3,8.44,7.51,-9.4,7.7,-7.11,8,8.44,7.51,-9.4,8.1,-2.29
INSM,2007-08-02,N,6.9,7.2,7.37,7.0,6.81,7.2,4.34,15,7.37,5.6,-18.84,6.08,-11.88
INSM,2007-11-08,Y,8.19,8.19,9.0,8.19,9.75,8.9,8.53,8,10.7,8.19,30.48,10.1,23.17
INSM,2008-03-04,N,7.94,8.0,8.0,7.1,-10.57,7.5,-5.54,17,8.1,5.71,-28.08,6.25,-21.28
INSM,2008-05-08,N,6.5,6.4,6.6,6.3,-3.07,6.5,,8,6.9,6.2,6.15,6.4,-1.53
INSM,2008-08-08,N,7.1,7.5,7.5,6.61,-6.9,6.9,-2.81,7,7.5,6.1,-14.08,6.19,-12.81
INSM,2008-10-30,N,3.9,3.8,4.0,3.65,-6.41,3.79,-2.82,22,7.8,3.4,100.0,5.41,38.71
INSM,2009-03-11,N,10.0,10.4,10.4,7.61,-23.89,8.81,-11.89,9,10.4,7.61,-23.89,9.1,-9.0
INSM,2009-05-13,N,13.8,13.7,13.8,12.5,-9.42,12.8,-7.24,2,13.8,12.5,-9.42,13.59,-1.52
INSM,2009-08-13,N,9.8,9.9,9.9,9.4,-4.08,9.6,-2.04,8,9.9,8.8,-10.2,9.19,-6.12
INSM,2009-11-06,N,7.3,7.3,7.9,7.2,8.21,7.7,5.47,14,8.35,7.2,14.38,7.9,8.21
INSM,2010-03-15,N,12.0,12.2,12.2,10.7,-10.83,10.9,-9.16,4,12.2,10.7,-10.83,12.2,1.66
INSM,2010-05-06,N,10.19,10.0,10.0,9.0,-11.76,9.1,-10.78,15,10.0,8.0,-21.56,8.23,-19.31
INSM,2010-08-04,N,7.24,7.1,7.2,7.0,-3.31,7.1,-1.93,16,7.42,6.65,-8.14,7.2,-0.55
INSM,2010-11-03,N,6.99,6.8,7.09,6.8,-2.71,7.05,0.85,16,7.3,6.8,4.43,7.15,2.28
