Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
ITW,2002-01-29,N,34.7,34.15,34.82,34.0,-2.01,34.35,-1.0,17,36.1,33.61,4.03,35.88,3.4
ITW,2002-04-17,N,37.86,38.0,38.0,37.1,-2.0,37.6,-0.68,2,38.0,36.88,-2.58,36.97,-2.32
ITW,2002-07-18,N,31.0,31.0,31.32,30.0,-3.22,30.12,-2.83,1,31.32,29.28,-5.54,29.4,-5.16
ITW,2002-10-16,N,31.22,30.7,30.7,29.17,-6.56,29.24,-6.34,2,30.98,29.17,-6.56,30.78,-1.4
ITW,2003-01-29,N,30.62,30.0,31.76,29.74,3.72,31.32,2.28,23,31.76,28.34,-7.44,29.8,-2.67
ITW,2003-04-16,N,31.68,31.68,32.09,31.32,1.29,31.46,-0.69,2,32.09,31.32,1.29,31.72,0.12
ITW,2003-07-22,N,33.72,33.72,33.6,32.86,-2.55,33.14,-1.72,24,35.86,32.86,6.34,35.65,5.75
ITW,2003-10-16,N,35.52,35.54,35.54,35.54,0.05,35.54,0.05,1,35.93,35.32,1.15,35.74,0.61
ITW,2004-01-29,N,39.83,38.78,38.78,38.78,2.63,38.78,-2.63,22,40.15,38.15,-4.21,39.69,-0.35
ITW,2004-02-17,N,39.42,39.68,39.86,38.72,-1.77,39.42,,3,39.86,38.72,-1.77,39.69,0.68
ITW,2004-04-20,N,41.6,42.44,42.45,41.82,2.04,41.82,0.52,31,44.7,41.56,7.45,43.62,4.85
ITW,2004-04-23,N,44.7,44.46,44.46,43.4,-2.9,44.05,-1.45,28,44.6,41.56,-7.02,43.62,-2.41
ITW,2004-07-21,N,46.06,44.88,45.12,43.2,-6.2,43.38,-5.81,30,45.72,43.1,-6.42,45.38,-1.47
ITW,2004-07-26,N,43.42,43.36,43.99,43.34,1.31,43.91,1.12,25,45.72,43.34,5.29,45.38,4.51
ITW,2004-10-19,N,45.3,45.35,45.72,44.4,-1.98,44.44,-1.89,31,48.25,43.74,6.51,47.44,4.72
ITW,2005-01-27,N,43.5,43.0,43.42,42.8,-1.6,43.13,-0.85,22,45.82,42.78,5.33,45.75,5.17
ITW,2005-03-01,Y,45.64,45.34,45.4,45.1,-1.18,45.4,-0.52,17,47.32,45.1,3.68,46.19,1.2
ITW,2005-04-19,N,43.12,44.2,44.5,43.6,3.2,43.9,1.8,31,44.5,40.82,-5.33,41.93,-2.75
ITW,2005-07-21,N,42.45,42.58,43.24,41.9,1.86,42.06,-0.91,29,43.76,41.9,3.08,42.87,0.98
ITW,2005-08-15,Y,43.6,43.42,43.5,43.18,-0.96,43.18,-0.96,4,43.5,42.77,-1.9,42.87,-1.67
ITW,2005-10-19,N,40.69,40.5,41.4,40.29,1.74,41.2,1.25,2,41.42,40.06,1.79,40.08,-1.49
ITW,2006-01-31,N,44.26,42.53,43.0,42.13,-4.81,42.14,-4.78,17,44.33,41.54,-6.14,44.22,-0.09
ITW,2006-04-17,Y,48.18,48.62,49.44,48.1,2.61,49.31,2.34,4,52.2,48.1,8.34,51.33,6.53
ITW,2006-07-20,N,44.27,45.6,46.0,43.36,3.9,43.71,-1.26,1,46.0,42.5,-3.99,43.34,-2.1
ITW,2006-08-14,N,44.28,44.6,45.14,44.08,1.94,44.16,-0.27,4,45.56,44.08,2.89,44.98,1.58
ITW,2006-10-18,N,49.5,47.7,48.94,46.9,-5.25,47.22,-4.6,2,48.94,45.75,-7.57,46.34,-6.38
ITW,2007-01-30,N,46.91,48.31,50.95,47.82,8.61,50.15,6.9,17,53.2,47.82,13.4,52.55,12.02
ITW,2007-04-18,N,53.56,53.0,53.0,50.51,-5.69,51.76,-3.36,2,53.0,50.51,-5.69,51.68,-3.51
ITW,2007-07-17,Y,58.16,58.0,58.19,57.26,-1.54,57.9,-0.44,3,58.59,56.14,-3.47,57.09,-1.83
ITW,2007-07-19,N,57.9,58.02,58.59,57.06,-1.45,57.79,-0.18,1,58.59,56.14,-3.03,57.09,-1.39
ITW,2007-10-17,N,58.61,59.95,59.95,56.88,-2.95,57.66,-1.62,2,59.95,55.91,-4.6,56.28,-3.97
ITW,2008-01-30,N,50.64,48.6,50.82,48.6,-4.02,49.48,-2.29,16,51.34,47.84,-5.52,48.86,-3.51
ITW,2008-04-16,N,50.55,52.14,53.58,51.84,5.99,52.53,3.91,2,53.58,50.89,5.99,52.34,3.54
ITW,2008-07-17,N,46.55,47.49,47.77,46.77,2.62,47.0,0.96,1,47.77,46.13,2.62,46.73,0.38
ITW,2008-10-16,N,33.68,35.77,35.77,32.61,6.2,35.34,4.92,1,35.77,32.61,6.2,33.97,0.89
