Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
KBH,2002-09-18,N,25.8,25.3,25.62,24.9,-3.48,25.12,-2.63,2,25.62,23.45,-9.1,24.34,-5.65
KBH,2003-01-16,N,22.04,22.5,23.33,22.25,5.85,23.31,5.76,1,23.33,22.25,5.85,23.05,4.58
KBH,2003-03-14,N,22.61,23.12,23.24,22.65,2.78,22.74,0.57,7,24.37,22.4,7.78,24.31,7.51
KBH,2003-06-19,Y,34.97,34.5,34.97,32.02,-8.46,32.11,-8.17,1,34.97,32.02,-8.46,32.11,-8.17
KBH,2003-09-16,Y,29.75,29.35,30.12,28.06,-5.68,29.02,-2.45,3,30.12,28.06,-5.68,29.45,-1.0
KBH,2003-12-18,Y,33.59,33.86,35.11,33.9,4.52,35.0,4.19,1,35.11,33.9,4.52,35.0,4.19
KBH,2004-03-16,Y,39.61,39.9,39.88,38.97,-1.64,39.54,-0.2,3,39.88,38.64,-2.47,38.64,-2.47
KBH,2004-06-16,Y,31.86,32.5,33.15,32.15,4.04,32.88,3.2,2,33.38,32.15,4.77,33.1,3.89
KBH,2004-09-20,Y,38.11,38.75,41.95,38.95,10.04,41.68,9.33,25,43.3,38.26,13.58,39.0,2.3
KBH,2004-12-16,Y,52.8,53.75,53.76,50.55,-4.26,51.8,-1.89,1,53.76,50.55,-4.26,51.8,-1.89
KBH,2005-03-21,Y,58.35,59.5,60.85,58.99,4.28,59.3,1.62,25,61.6,55.4,5.56,55.6,-4.71
KBH,2005-06-16,Y,72.25,81.53,82.9,75.66,14.74,77.25,6.92,1,82.9,75.66,14.74,77.25,6.92
KBH,2005-09-22,N,70.72,70.5,74.0,70.45,4.63,73.7,4.21,29,74.97,60.82,-13.99,64.28,-9.1
KBH,2005-12-15,Y,73.94,75.9,75.9,74.13,2.65,74.92,1.32,1,75.9,74.13,2.65,74.92,1.32
KBH,2006-03-22,Y,64.59,65.5,68.5,64.91,6.05,67.81,5.0,30,69.09,62.95,6.96,65.55,1.48
KBH,2006-06-15,Y,45.1,45.1,46.49,44.92,3.08,45.47,0.82,1,46.49,44.92,3.08,45.47,0.82
KBH,2006-09-21,Y,43.05,42.59,44.79,42.44,4.04,44.25,2.78,29,47.48,42.44,10.29,43.83,1.81
KBH,2007-02-13,N,51.94,52.52,53.88,52.0,3.73,53.43,2.86,3,55.24,52.0,6.35,54.22,4.38
KBH,2007-03-22,N,47.79,49.15,49.34,47.0,3.24,47.25,-1.12,29,49.34,40.89,-14.43,44.96,-5.92
KBH,2007-06-28,N,40.43,39.5,40.71,39.75,-1.68,39.89,-1.33,22,40.71,34.61,-14.39,35.03,-13.35
KBH,2007-09-27,N,24.09,24.1,24.95,23.8,3.56,24.71,2.57,22,30.59,23.8,26.98,25.71,6.72
KBH,2008-01-08,N,18.48,17.76,18.86,16.67,-9.79,16.78,-9.19,10,18.89,15.76,-14.71,18.52,0.21
KBH,2008-03-28,N,25.79,24.32,25.09,24.02,-6.86,24.54,-4.84,21,28.93,22.17,-14.03,24.51,-4.96
KBH,2008-06-27,N,18.13,17.23,17.91,16.77,-7.5,17.72,-2.26,21,18.57,13.16,-27.41,17.76,-2.04
KBH,2008-09-26,N,21.16,19.55,21.73,19.41,-8.27,21.56,1.89,21,21.73,12.73,-39.83,14.38,-32.04
KBH,2009-01-09,N,14.57,14.55,14.87,12.55,-13.86,14.17,-2.74,7,14.87,11.79,-19.08,12.91,-11.39
KBH,2009-03-27,N,14.16,14.32,15.86,14.21,12.0,15.05,6.28,21,17.57,12.66,24.08,17.45,23.23
KBH,2009-06-26,N,14.77,14.84,14.84,13.3,-9.95,13.42,-9.14,21,14.84,11.15,-24.5,14.26,-3.45
KBH,2009-09-25,N,18.54,17.5,17.97,16.69,-9.97,16.96,-8.52,21,17.97,14.84,-19.95,15.82,-14.67
KBH,2010-01-12,N,16.38,16.0,16.0,15.03,-8.24,15.72,-4.02,3,16.0,15.03,-8.24,15.3,-6.59
KBH,2010-03-23,N,17.44,17.1,17.3,16.47,-5.56,17.14,-1.66,24,17.5,16.05,-7.97,17.1,-1.94
KBH,2010-06-25,N,12.22,11.9,11.9,11.05,-9.57,11.12,-9.0,21,11.9,10.23,-16.28,10.52,-13.91
KBH,2010-09-24,N,11.71,12.12,12.25,11.87,4.61,12.11,3.41,21,12.25,10.78,-7.94,11.17,-4.61
KBH,2011-01-07,N,14.33,15.11,15.54,14.65,8.44,15.25,6.42,14,15.85,14.42,10.6,14.79,3.21
KBH,2011-04-05,N,12.2,11.3,11.93,10.96,-10.16,11.69,-4.18,10,11.97,10.96,-10.16,11.39,-6.63
KBH,2011-06-29,N,11.49,10.93,11.22,9.51,-17.23,9.71,-15.49,16,11.22,8.94,-22.1,9.01,-21.58
KBH,2011-09-23,N,5.55,5.61,5.94,5.48,7.02,5.74,3.42,28,7.38,4.87,32.97,7.31,31.71
KBH,2011-12-21,N,7.58,7.8,7.83,6.93,-8.57,7.07,-6.72,30,9.77,6.04,29.02,9.11,20.31
KBH,2012-03-23,N,11.09,9.53,10.94,9.42,-15.05,10.15,-8.47,28,10.94,7.35,-33.72,7.74,-30.2
KBH,2012-06-29,N,8.61,9.01,9.94,8.84,15.56,9.69,12.54,21,10.64,8.84,23.57,9.69,12.65
KBH,2012-09-21,N,13.0,13.23,15.51,13.13,19.3,15.13,16.38,0,15.51,13.13,19.3,15.13,16.38
KBH,2012-12-20,N,16.55,16.09,16.09,15.3,-7.55,15.5,-6.34,1,16.09,14.83,-10.39,15.06,-9.0
KBH,2013-03-21,N,21.45,21.53,22.25,20.58,-4.05,21.98,2.47,29,22.54,19.57,-8.76,20.32,-5.22
