Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
KE,2015-05-12,N,12.87,13.72,13.72,12.59,6.6,13.3,3.34,3,14.75,12.59,14.6,14.5,12.66
KE,2015-08-06,N,12.31,12.25,12.69,10.77,-12.51,12.0,-2.51,15,12.69,10.77,-12.51,11.68,-5.11
KE,2015-11-05,N,12.14,12.17,12.31,11.8,-2.8,12.28,1.15,15,12.31,10.34,-14.82,10.56,-13.01
KE,2016-02-04,N,9.59,9.4,9.64,9.3,-3.02,9.58,-0.1,15,11.19,9.3,16.68,11.03,15.01
KE,2016-05-04,N,10.69,10.62,10.83,10.57,1.3,10.59,-0.93,16,11.24,9.98,-6.64,11.0,2.89
KE,2016-08-03,N,12.42,12.45,12.45,12.25,-1.36,12.32,-0.8,16,12.45,11.64,-6.28,12.15,-2.17
KE,2016-11-02,N,14.0,14.05,14.1,13.8,-1.42,13.85,-1.07,16,17.45,13.75,24.64,16.89,20.71
KE,2017-02-01,N,17.1,17.2,17.25,17.0,0.87,17.1,,16,18.0,15.85,-7.3,16.5,-3.5
KE,2017-05-01,Y,17.55,17.6,17.6,16.6,-5.41,16.64,-5.12,18,17.6,16.0,-8.83,16.25,-7.4
KE,2017-08-02,Y,19.0,17.64,19.7,17.64,-7.15,18.64,-1.84,16,19.7,17.65,-7.1,18.4,-3.15
KE,2017-11-01,Y,21.85,21.8,21.8,19.89,-8.97,20.0,-8.46,16,21.8,18.7,-14.41,20.15,-7.78
KE,2018-02-07,Y,17.6,17.55,17.55,16.7,-5.11,16.95,-3.69,9,17.75,16.5,-6.25,17.45,-0.85
KE,2018-05-02,Y,16.3,16.55,17.6,16.45,7.97,17.4,6.74,16,18.35,16.45,12.57,17.95,10.12
KE,2018-08-01,Y,20.2,20.0,20.35,19.1,-5.44,19.4,-3.96,16,20.8,19.1,-5.44,19.7,-2.47
KE,2018-11-06,Y,18.99,17.98,18.89,16.85,-11.26,17.96,-5.42,10,18.89,16.85,-11.26,17.4,-8.37
KE,2019-02-06,Y,16.67,16.38,16.53,15.83,-5.03,15.94,-4.37,9,16.59,15.51,-6.95,16.39,-1.67
KE,2019-05-07,Y,14.8,15.41,16.05,15.34,8.44,15.67,5.87,10,16.05,15.03,8.44,15.66,5.81
KE,2019-07-31,Y,15.9,16.12,16.42,15.5,3.27,15.67,-1.44,16,16.42,13.53,-14.9,14.3,-10.06
KE,2020-02-05,Y,16.69,16.1,16.29,15.75,-5.63,16.25,-2.63,16,16.29,15.47,-7.3,15.94,-4.49
KE,2020-05-06,N,12.33,12.24,13.14,12.22,6.56,12.75,3.4,10,13.29,11.29,-8.43,11.83,-4.05
KE,2020-08-19,N,14.0,14.01,14.38,13.43,-4.07,13.47,-3.78,3,14.38,13.16,-5.99,13.48,-3.71
KE,2020-11-03,Y,13.65,13.05,14.13,12.25,-10.25,13.0,-4.76,17,15.88,12.25,16.33,15.0,9.89
KE,2021-02-03,Y,19.77,22.0,23.72,20.7,19.97,23.45,18.61,16,25.41,20.7,28.52,24.48,23.82
KE,2021-05-05,Y,22.99,22.55,22.75,20.4,-11.26,21.49,-6.52,16,22.75,20.4,-11.26,22.47,-2.26
KE,2021-08-04,Y,20.19,20.36,22.28,20.27,10.35,22.28,10.35,16,23.9,20.27,18.37,22.97,13.76
KE,2021-11-03,Y,30.6,28.0,29.95,27.0,-11.76,28.6,-6.53,16,30.24,23.44,-23.39,23.75,-22.38
KE,2022-02-07,Y,19.31,18.0,18.58,17.01,-11.91,18.25,-5.48,11,18.58,17.01,-11.91,17.92,-7.19
KE,2022-05-05,Y,17.62,18.09,18.63,17.57,5.73,18.54,5.22,15,18.63,16.66,5.73,17.54,-0.45
KE,2022-08-04,Y,21.68,21.82,22.26,20.59,-5.02,20.7,-4.52,15,23.87,20.12,10.1,23.34,7.65
KE,2023-02-06,Y,25.7,26.84,28.18,26.57,9.64,27.0,5.05,11,28.18,25.17,9.64,26.07,1.43
