Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
KGC,2002-04-30,Y,5.04,4.65,5.46,4.53,-10.11,5.19,2.97,17,6.36,4.53,26.19,6.3,24.99
KGC,2002-08-01,Y,5.09,5.22,5.43,5.13,6.47,5.28,3.52,15,5.97,5.09,17.05,5.58,9.41
KGC,2002-11-13,Y,5.58,5.4,5.61,5.31,-4.83,5.55,-0.53,2,5.76,5.31,-4.83,5.7,2.15
KGC,2003-03-04,Y,7.07,7.07,7.19,6.99,1.69,7.15,1.13,17,7.23,5.27,-25.45,5.28,-25.31
KGC,2003-05-08,Y,6.83,6.83,6.63,6.27,-8.19,6.38,-6.58,8,6.63,6.02,-11.85,6.29,-7.9
KGC,2003-08-07,Y,6.68,6.6,6.98,6.57,4.49,6.89,3.14,8,6.98,6.57,4.49,6.89,3.14
KGC,2003-11-05,Y,7.91,7.47,7.47,7.47,5.56,7.47,-5.56,16,8.6,7.35,8.72,8.43,6.57
KGC,2004-03-01,Y,6.84,6.85,6.84,6.64,-2.92,6.65,-2.77,18,6.95,6.4,-6.43,6.82,-0.29
KGC,2004-05-10,Y,5.14,5.18,5.39,5.13,4.86,5.38,4.66,11,5.99,5.13,16.53,5.88,14.39
KGC,2004-07-30,Y,5.31,5.32,5.37,5.24,-1.31,5.24,-1.31,21,6.91,5.03,30.13,6.2,16.76
KGC,2004-10-28,Y,7.14,7.25,7.51,7.23,5.18,7.44,4.2,22,8.41,6.76,17.78,8.3,16.24
KGC,2005-04-28,Y,5.2,5.3,5.44,5.27,4.61,5.35,2.88,22,5.61,4.61,-11.34,5.05,-2.69
KGC,2005-07-28,Y,5.7,5.71,5.72,5.52,-3.15,5.56,-2.45,22,6.83,5.52,19.82,6.5,14.03
KGC,2005-11-21,Y,7.74,7.78,7.85,7.67,1.42,7.81,0.9,25,8.5,7.47,9.81,8.27,6.97
KGC,2006-02-15,Y,9.96,9.72,9.72,9.21,-7.53,9.42,-5.42,2,9.8,9.21,-7.53,9.56,-4.01
KGC,2006-03-30,N,10.57,11.17,11.17,10.76,5.67,11.04,4.44,22,12.04,10.57,13.9,11.48,8.6
KGC,2006-05-04,Y,12.6,12.55,12.65,12.19,-3.25,12.28,-2.53,15,13.12,10.26,-18.57,10.84,-13.96
KGC,2006-08-04,Y,12.02,12.11,12.38,12.04,2.99,12.24,1.83,14,12.98,12.0,7.98,12.33,2.57
KGC,2006-11-03,Y,13.26,12.06,13.27,11.9,-10.25,12.01,-9.42,14,13.27,11.27,-15.0,11.47,-13.49
KGC,2007-02-21,Y,13.51,13.55,13.87,13.55,2.66,13.77,1.92,23,14.57,12.29,-9.03,13.0,-3.77
KGC,2007-05-07,N,13.87,13.91,14.09,13.86,1.58,13.89,0.14,11,14.47,12.5,-9.87,13.08,-5.69
KGC,2007-08-01,N,12.98,12.7,13.0,12.49,-3.77,12.64,-2.61,16,13.27,9.86,-24.03,11.31,-12.86
KGC,2007-11-07,Y,20.01,18.76,19.41,18.37,-8.19,19.03,-4.89,9,19.41,16.82,-15.94,17.44,-12.84
KGC,2008-02-21,Y,23.54,23.4,23.65,22.49,-4.46,23.12,-1.78,29,27.4,20.49,16.39,21.61,-8.19
KGC,2008-05-06,Y,19.85,19.35,19.63,18.97,-4.43,19.13,-3.62,10,21.05,18.97,6.04,20.7,4.28
KGC,2008-08-12,Y,15.29,15.4,16.61,15.32,8.63,16.5,7.91,3,16.77,14.65,9.67,14.94,-2.28
KGC,2008-11-05,Y,12.9,13.53,13.89,11.9,-7.75,12.0,-6.97,16,14.19,10.42,-19.22,13.77,6.74
KGC,2009-02-18,Y,19.48,18.89,19.18,17.84,-8.46,18.09,-7.18,2,19.18,17.84,-8.46,18.89,-3.07
KGC,2009-05-05,Y,16.32,16.67,17.03,16.6,4.35,16.86,3.3,10,17.77,16.09,8.88,16.89,3.49
KGC,2009-08-12,Y,19.47,20.02,20.02,19.42,2.82,19.63,0.82,9,20.02,17.96,-7.75,19.3,-0.82
KGC,2009-11-02,Y,18.29,17.96,18.46,17.44,-4.64,18.05,-1.31,18,20.19,17.44,10.38,19.14,4.64
KGC,2010-05-04,Y,18.57,17.8,18.03,17.28,-6.99,17.69,-4.79,17,19.54,16.26,-12.48,16.63,-10.49
KGC,2010-08-04,Y,15.72,15.9,15.91,15.61,1.2,15.8,0.5,16,15.96,14.86,-5.47,15.48,-1.52
KGC,2010-11-03,Y,17.8,18.42,18.85,18.18,5.83,18.84,5.78,16,19.8,17.26,11.17,17.88,0.39
KGC,2011-02-16,Y,16.98,16.68,16.69,16.5,-2.88,16.64,-2.06,2,16.79,16.44,-3.23,16.47,-3.06
KGC,2011-08-10,Y,16.26,16.23,16.23,15.31,-5.84,15.59,-4.12,9,16.98,15.31,-5.84,16.79,3.25
KGC,2011-11-02,Y,14.4,14.78,14.79,14.26,2.7,14.55,1.04,16,15.04,12.8,-11.11,12.83,-10.9
KGC,2012-02-15,Y,10.31,10.38,11.24,10.33,9.02,11.1,7.66,2,11.24,10.33,9.02,10.95,6.2
KGC,2012-05-08,Y,7.78,7.43,7.93,7.11,-8.61,7.69,-1.15,10,8.07,7.11,-8.61,7.68,-1.28
KGC,2012-08-08,Y,7.83,7.67,8.1,7.56,3.44,8.06,2.93,9,8.44,7.56,7.79,8.31,6.13
KGC,2012-11-07,Y,9.39,9.82,10.25,9.74,9.15,10.14,7.98,9,10.41,9.19,10.86,9.51,1.27
KGC,2013-02-13,Y,7.89,7.98,8.44,7.97,6.97,8.33,5.57,2,8.44,7.93,6.97,7.99,1.26
KGC,2013-05-07,Y,5.28,5.44,5.73,5.4,8.52,5.6,6.06,10,5.9,5.18,11.74,5.26,-0.37
KGC,2013-07-31,Y,5.23,5.29,5.31,5.01,-4.2,5.12,-2.1,16,6.23,4.9,19.12,5.92,13.19
KGC,2013-11-13,Y,4.98,5.09,5.18,5.05,4.01,5.16,3.61,2,5.21,5.05,4.61,5.09,2.4
KGC,2014-02-12,Y,5.15,5.01,5.21,4.9,-4.85,5.15,,9,5.37,4.9,-4.85,5.24,1.74
KGC,2014-05-07,Y,3.99,4.03,4.08,3.97,2.25,3.99,,9,4.13,3.92,3.5,3.93,-1.5
KGC,2014-07-30,Y,4.05,4.05,4.07,3.98,-1.97,3.99,-1.72,16,4.16,3.83,-5.66,4.01,-0.98
KGC,2014-11-05,Y,2.0,2.11,2.4,2.08,19.99,2.21,10.49,17,2.99,2.08,49.5,2.8,39.99
KGC,2015-02-10,Y,3.24,3.14,3.17,2.96,-8.64,2.99,-7.71,10,3.17,2.64,-18.51,2.71,-16.35
KGC,2015-05-05,Y,2.49,2.5,2.54,2.37,-4.81,2.4,-3.61,10,2.62,2.36,5.22,2.54,2.0
KGC,2015-07-29,Y,1.79,1.86,1.87,1.69,-5.58,1.72,-3.91,23,2.19,1.66,22.34,2.06,15.64
KGC,2015-11-10,Y,1.77,1.78,1.84,1.74,3.95,1.8,1.69,10,1.91,1.71,7.9,1.75,-1.12
KGC,2016-02-10,Y,2.57,2.93,3.08,2.78,19.84,2.9,12.84,9,3.15,2.66,22.56,2.97,15.56
KGC,2016-05-10,Y,5.52,5.79,5.8,4.93,-10.68,5.25,-4.89,10,5.8,4.59,-16.84,4.97,-9.96
KGC,2016-07-27,Y,5.01,5.04,5.09,4.87,-2.79,5.03,0.39,23,5.56,4.87,10.97,4.93,-1.59
KGC,2016-11-02,Y,3.9,4.01,4.22,3.9,8.2,4.21,7.94,16,4.26,3.1,-20.51,3.39,-13.07
KGC,2017-02-15,Y,3.95,3.9,3.98,3.85,-2.53,3.93,-0.5,2,3.99,3.85,-2.53,3.88,-1.77
KGC,2017-05-02,Y,3.36,3.43,3.92,3.42,16.66,3.7,10.11,17,4.38,3.42,30.35,4.25,26.48
KGC,2017-08-02,Y,4.12,4.26,4.45,4.19,8.0,4.32,4.85,16,4.5,4.09,9.22,4.25,3.15
KGC,2017-11-08,Y,4.18,4.34,4.49,4.3,7.41,4.37,4.54,9,4.49,4.24,7.41,4.33,3.58
KGC,2018-02-14,Y,4.27,4.2,4.23,3.84,-10.07,3.98,-6.79,2,4.23,3.84,-10.07,3.94,-7.72
KGC,2018-05-08,Y,4.12,3.85,3.87,3.53,-14.32,3.67,-10.92,10,3.87,3.5,-15.04,3.59,-12.86
KGC,2018-08-01,Y,3.57,3.53,3.55,3.4,-4.76,3.42,-4.2,16,3.55,2.78,-22.12,2.89,-19.04
KGC,2018-11-07,Y,2.67,2.6,2.72,2.51,-5.99,2.66,-0.37,9,2.72,2.38,-10.86,2.56,-4.11
KGC,2019-02-13,Y,3.21,3.22,3.36,3.19,4.67,3.26,1.55,2,3.49,3.19,8.72,3.49,8.72
KGC,2019-05-07,Y,3.06,3.16,3.3,3.06,7.84,3.11,1.63,10,3.3,3.04,7.84,3.16,3.26
KGC,2019-07-31,Y,4.02,3.99,4.48,3.94,11.44,4.47,11.19,16,5.17,3.94,28.6,4.78,18.9
KGC,2020-02-12,Y,5.0,5.14,5.21,5.06,4.19,5.14,2.79,9,5.98,5.03,19.6,5.96,19.2
KGC,2020-05-05,Y,6.99,6.9,7.0,6.68,-4.43,6.77,-3.14,10,7.47,6.68,6.86,7.44,6.43
KGC,2020-07-29,Y,8.82,8.62,8.88,8.47,-3.96,8.69,-1.47,23,10.21,8.4,15.75,8.65,-1.92
KGC,2020-11-04,Y,8.11,8.58,8.89,8.57,9.61,8.84,9.0,16,8.97,7.38,10.6,7.52,-7.27
KGC,2021-02-10,Y,7.31,7.4,7.6,7.2,3.96,7.28,-0.41,9,7.6,6.5,-11.08,6.54,-10.53
KGC,2021-05-11,Y,7.66,7.51,7.59,7.25,-5.35,7.32,-4.43,10,8.34,7.24,8.87,8.04,4.96
KGC,2021-07-28,Y,6.27,6.41,6.68,6.39,6.53,6.54,4.3,23,6.7,5.62,-10.36,5.71,-8.93
KGC,2021-11-10,Y,6.46,6.7,6.84,6.53,5.88,6.79,5.1,9,7.13,6.53,10.37,6.67,3.25
KGC,2022-02-16,Y,5.86,5.87,5.99,5.59,-4.6,5.81,-0.85,2,5.99,5.59,-4.6,5.82,-0.68
KGC,2022-05-10,Y,4.57,4.58,4.64,4.26,-6.78,4.32,-5.47,10,4.63,3.92,-14.22,4.5,-1.53
KGC,2022-07-27,Y,3.23,3.27,3.37,3.19,4.33,3.37,4.33,23,3.65,3.19,13.0,3.52,8.97
KGC,2022-11-09,Y,4.07,4.28,4.46,4.05,9.58,4.23,3.93,9,4.46,4.0,9.58,4.1,0.73
KGC,2023-02-15,Y,3.93,3.97,3.98,3.77,-4.07,3.93,0.0,2,3.98,3.76,-4.32,3.86,-1.78
