Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
KMDA,2013-08-01,N,12.63,12.86,12.88,12.66,1.97,12.84,1.66,15,13.91,12.66,10.13,12.94,2.45
KMDA,2013-10-29,N,15.0,14.72,14.99,14.08,-6.13,14.56,-2.93,17,15.33,13.4,-10.66,14.18,-5.46
KMDA,2014-02-05,N,15.86,15.57,16.09,15.42,-2.77,15.65,-1.32,16,17.14,15.42,8.07,16.5,4.03
KMDA,2014-05-08,N,13.91,13.57,13.89,12.79,-8.05,13.07,-6.03,8,14.16,8.86,-36.3,9.08,-34.72
KMDA,2014-08-14,N,7.18,6.99,7.19,6.99,-2.64,7.17,-0.13,1,7.19,6.99,-2.64,7.04,-1.94
KMDA,2014-11-12,N,3.8,3.36,3.59,3.25,-14.47,3.5,-7.89,10,3.59,3.12,-17.89,3.14,-17.36
KMDA,2015-02-11,N,4.09,4.13,4.15,3.98,-2.68,4.11,0.48,9,4.68,3.98,14.42,4.57,11.73
KMDA,2015-07-30,N,3.86,3.87,3.87,3.79,-1.81,3.79,-1.81,22,4.04,3.55,-8.03,3.56,-7.77
KMDA,2015-11-10,N,3.88,3.86,3.94,3.86,1.54,3.93,1.28,10,4.0,3.74,-3.6,3.96,2.06
KMDA,2016-02-02,N,3.71,3.82,3.88,3.73,4.58,3.88,4.58,17,4.03,3.28,-11.59,3.63,-2.15
KMDA,2016-05-09,N,4.09,3.89,4.09,3.88,-5.13,3.88,-5.13,11,4.09,3.6,-11.98,3.68,-10.02
KMDA,2016-08-02,N,4.04,4.05,4.13,4.0,2.22,4.13,2.22,17,4.38,3.94,8.41,4.25,5.19
KMDA,2016-11-08,N,5.5,5.45,5.55,5.45,0.9,5.45,-0.9,10,5.84,5.3,6.18,5.35,-2.72
KMDA,2017-02-06,N,6.6,6.7,6.7,6.3,-4.54,6.49,-1.66,11,7.25,6.3,9.84,7.05,6.81
KMDA,2017-05-16,N,7.24,7.25,7.26,7.0,-3.31,7.15,-1.24,3,7.26,6.71,-7.32,6.85,-5.38
KMDA,2017-08-01,N,4.75,4.75,4.76,4.55,-4.21,4.55,-4.21,17,4.76,3.75,-21.05,4.3,-9.47
KMDA,2017-11-13,N,4.45,4.65,4.7,4.55,5.61,4.65,4.49,4,4.84,4.55,8.76,4.7,5.61
KMDA,2020-11-11,N,6.41,6.66,6.66,6.22,3.9,6.39,-0.31,10,6.93,6.22,8.11,6.78,5.77
KMDA,2021-02-10,N,8.06,7.58,7.59,7.12,-11.66,7.4,-8.18,10,7.59,6.6,-18.11,6.75,-16.25
KMDA,2021-05-12,N,5.89,5.91,5.97,5.82,1.35,5.86,-0.5,10,6.08,5.55,-5.77,6.04,2.54
KMDA,2021-08-11,N,5.62,5.48,5.48,5.28,-6.04,5.43,-3.38,10,5.49,5.17,-8.0,5.31,-5.51
KMDA,2021-11-22,N,5.6,6.12,6.43,5.86,14.82,6.02,7.5,28,6.77,5.86,20.89,6.72,20.0
KMDA,2022-03-15,N,5.51,5.7,5.7,5.59,3.44,5.6,1.63,4,5.93,5.59,7.62,5.9,7.07
KMDA,2022-05-17,N,4.75,4.83,4.97,4.83,4.63,4.93,3.78,4,4.97,4.6,4.63,4.63,-2.52
KMDA,2022-08-17,N,5.26,5.28,5.28,5.06,-3.8,5.19,-1.33,3,5.28,4.96,-5.7,4.96,-5.7
KMDA,2022-11-22,N,4.47,4.32,4.36,4.31,-3.57,4.32,-3.35,25,4.74,3.85,-13.87,3.89,-12.97
