Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
KONG,2004-08-10,Y,7.82,7.8,7.8,6.94,-11.25,7.16,-8.43,10,7.8,5.01,-35.93,5.45,-30.3
KONG,2004-11-12,Y,9.0,9.0,9.44,8.8,4.88,9.3,3.33,7,9.44,8.21,-8.77,8.26,-8.22
KONG,2005-02-03,Y,10.36,10.1,10.51,9.9,-4.44,10.32,-0.38,15,10.7,8.76,-15.44,9.06,-12.54
KONG,2005-05-23,N,7.8,7.6,7.62,6.95,-10.89,7.31,-6.28,25,9.92,6.95,27.17,9.19,17.94
KONG,2005-08-16,N,11.25,11.92,12.1,10.27,-8.71,10.45,-7.11,3,12.1,10.01,-11.02,10.14,-9.86
KONG,2005-11-15,N,13.39,13.62,13.82,12.9,-3.65,13.46,0.52,3,14.25,12.75,6.42,13.0,-2.91
KONG,2006-02-27,Y,12.6,12.34,12.7,11.88,-5.71,12.0,-4.76,18,12.7,10.9,-13.49,12.28,-2.53
KONG,2006-05-18,N,13.9,15.16,15.3,13.15,10.07,13.49,-2.94,1,15.3,13.15,10.07,13.87,-0.21
KONG,2006-08-14,Y,5.56,6.46,7.04,6.2,26.61,6.75,21.4,4,7.57,6.2,36.15,7.15,28.59
KONG,2006-11-08,Y,7.9,8.69,8.69,8.15,9.99,8.3,5.06,9,8.94,8.02,13.16,8.56,8.35
KONG,2007-03-01,Y,7.99,7.51,7.68,7.03,-12.01,7.09,-11.26,15,7.68,6.6,-17.39,7.01,-12.26
KONG,2007-05-22,Y,5.4,5.45,5.47,5.25,-2.77,5.3,-1.85,24,5.5,4.72,-12.59,4.8,-11.11
KONG,2007-08-20,Y,3.81,3.73,3.83,3.6,-5.51,3.76,-1.31,32,5.15,3.6,35.17,5.05,32.8
KONG,2007-11-19,Y,4.88,4.71,4.98,4.71,-3.48,4.95,1.43,32,7.2,4.45,47.54,6.17,26.43
KONG,2008-03-04,Y,6.11,5.49,5.49,4.97,-18.65,4.98,-18.49,17,5.49,4.16,-31.91,4.38,-28.31
KONG,2008-05-15,Y,5.18,4.44,4.67,4.3,-16.98,4.59,-11.38,1,4.67,4.3,-16.98,4.59,-11.38
KONG,2008-08-14,Y,4.01,4.09,4.25,4.05,5.98,4.09,1.99,1,4.25,4.05,5.98,4.09,1.99
KONG,2008-11-17,Y,3.41,3.34,3.41,3.2,-6.15,3.23,-5.27,4,3.41,2.93,-14.07,3.17,-7.03
KONG,2009-02-18,Y,4.32,4.44,4.45,4.3,3.0,4.34,0.69,2,4.45,4.29,3.0,4.42,2.31
KONG,2009-05-13,Y,7.22,7.3,7.84,7.01,8.58,7.63,5.67,2,7.84,7.01,8.58,7.42,2.77
KONG,2009-08-10,N,12.92,12.8,13.27,12.8,2.7,13.16,1.85,11,13.88,11.12,-13.93,12.47,-3.48
KONG,2009-11-11,N,15.17,15.11,15.25,14.97,-1.31,15.13,-0.26,9,15.25,13.62,-10.21,13.81,-8.96
KONG,2010-03-16,N,7.42,7.41,7.83,7.16,5.52,7.79,4.98,3,10.06,7.16,35.57,8.65,16.57
KONG,2010-05-20,Y,6.2,6.02,6.16,5.83,-5.96,5.98,-3.54,1,6.16,5.83,-5.96,5.98,-3.54
KONG,2010-08-25,Y,6.04,5.85,6.0,5.71,-5.46,5.71,-5.46,23,6.2,5.23,-13.41,6.0,-0.66
KONG,2010-11-22,N,7.69,7.6,7.73,7.55,-1.82,7.64,-0.65,25,7.73,6.59,-14.3,6.91,-10.14
KONG,2011-03-02,Y,7.08,7.45,8.27,7.42,16.8,8.17,15.39,16,10.3,7.42,45.48,9.78,38.27
KONG,2011-05-24,Y,6.82,6.89,7.0,6.29,-7.77,6.37,-6.59,24,7.0,4.9,-28.15,4.93,-27.71
KONG,2011-09-06,Y,4.3,3.96,4.19,3.8,-11.83,4.05,-6.03,10,4.19,3.62,-16.0,3.87,-10.2
KONG,2011-11-29,Y,4.5,4.3,4.66,4.3,-4.44,4.58,1.77,17,4.75,4.25,5.55,4.32,-3.99
KONG,2012-02-21,Y,4.24,4.7,5.38,4.51,26.88,5.16,21.69,24,5.94,4.51,40.09,5.88,38.67
KONG,2012-05-16,Y,5.92,6.12,6.8,6.1,14.86,6.65,12.33,2,6.8,6.1,14.86,6.29,6.25
KONG,2012-08-14,Y,7.9,7.92,7.92,7.4,-6.32,7.54,-4.55,3,7.92,6.62,-16.2,6.94,-12.15
KONG,2012-11-14,Y,6.05,6.0,6.0,5.5,-9.09,5.55,-8.26,2,6.0,5.46,-9.75,5.56,-8.09
KONG,2013-02-21,Y,6.58,6.56,6.58,6.46,-1.82,6.57,-0.15,22,6.66,6.06,-7.9,6.3,-4.25
KONG,2013-05-21,Y,7.07,7.0,7.02,6.52,-7.77,6.89,-2.54,31,7.02,6.12,-13.43,6.52,-7.77
KONG,2013-08-19,Y,10.0,8.97,10.29,8.97,-10.29,10.11,1.19,32,14.92,8.97,49.2,13.06,30.6
KONG,2013-11-20,Y,8.06,8.13,8.13,7.5,-6.94,7.6,-5.7,30,8.39,7.31,-9.3,7.42,-7.94
KONG,2014-02-24,Y,9.49,9.55,9.68,9.05,-4.63,9.58,0.94,25,12.2,9.05,28.55,11.6,22.23
KONG,2014-05-28,Y,9.57,9.46,10.0,9.23,4.49,9.36,-2.08,23,10.0,8.52,-10.97,9.0,-5.95
