Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
KOPN,2002-02-14,Y,9.35,9.78,9.91,9.25,5.98,9.6,2.67,1,9.91,9.25,5.98,9.6,2.67
KOPN,2002-04-23,Y,8.58,8.99,9.4,8.73,9.55,8.9,3.72,24,9.4,6.61,-22.96,8.72,1.63
KOPN,2002-07-25,Y,5.4,5.81,5.95,5.65,10.18,5.68,5.18,22,7.42,5.37,37.4,6.83,26.48
KOPN,2002-10-24,Y,4.41,2.96,3.23,2.7,-38.77,3.13,-29.02,22,5.45,2.7,-38.77,5.36,21.54
KOPN,2003-02-13,Y,4.38,4.4,4.59,4.25,4.79,4.5,2.73,8,4.84,4.25,10.5,4.84,10.5
KOPN,2003-04-23,Y,5.77,5.78,5.86,5.13,-11.09,5.28,-8.49,23,5.86,4.33,-24.95,5.37,-6.93
KOPN,2003-07-24,Y,6.47,5.86,7.23,5.82,11.74,7.1,9.73,22,7.65,5.82,18.23,7.19,11.12
KOPN,2003-10-23,Y,7.54,7.05,7.25,6.48,-14.05,6.79,-9.94,29,8.0,6.48,-14.05,6.88,-8.75
KOPN,2004-02-17,Y,6.6,6.47,6.61,6.16,-6.66,6.32,-4.24,3,6.61,6.1,-7.57,6.15,-6.81
KOPN,2004-04-15,Y,6.36,5.45,5.73,5.18,-18.55,5.28,-16.98,1,5.73,5.18,-18.55,5.28,-16.98
KOPN,2004-07-22,Y,4.44,4.13,4.29,3.89,-12.38,3.95,-11.03,29,4.29,3.01,-32.2,3.87,-12.83
KOPN,2004-10-28,N,3.63,3.55,3.84,3.38,-6.88,3.53,-2.75,22,4.17,3.38,14.87,3.9,7.43
KOPN,2005-02-24,Y,4.18,4.2,4.2,3.75,-10.28,3.87,-7.41,22,4.2,3.05,-27.03,3.2,-23.44
KOPN,2005-04-28,Y,3.0,3.05,3.14,3.01,4.66,3.07,2.33,22,3.54,2.95,18.0,3.5,16.66
KOPN,2005-08-03,Y,5.48,5.57,6.22,5.57,13.5,6.12,11.67,16,6.45,5.57,17.7,6.17,12.59
KOPN,2005-11-01,Y,5.46,5.8,6.48,5.75,18.68,6.4,17.21,17,7.05,5.75,29.12,6.68,22.34
KOPN,2006-03-02,Y,4.58,4.44,4.59,4.2,-8.29,4.24,-7.42,15,4.59,4.09,-10.69,4.34,-5.02
KOPN,2006-05-09,Y,5.54,5.5,5.5,4.71,-14.98,4.78,-13.71,10,5.5,3.95,-28.7,4.09,-26.17
KOPN,2006-08-08,Y,3.21,3.1,3.2,3.0,-6.54,3.1,-3.42,10,3.75,3.0,16.82,3.64,13.39
KOPN,2006-11-07,Y,3.57,3.52,3.65,3.48,-2.52,3.63,1.68,10,3.74,3.43,4.76,3.67,2.8
KOPN,2007-03-06,Y,3.26,3.27,3.4,3.27,4.29,3.37,3.37,10,3.57,3.27,9.5,3.54,8.58
KOPN,2007-05-17,Y,3.26,3.22,3.23,3.0,-7.97,3.23,-0.92,1,3.23,3.0,-7.97,3.23,-0.92
KOPN,2007-08-07,Y,3.64,3.65,3.95,3.64,8.51,3.82,4.94,10,4.03,3.31,10.71,3.44,-5.49
KOPN,2007-11-27,N,3.47,3.5,3.56,3.37,-2.88,3.39,-2.3,24,3.77,2.97,-14.4,3.19,-8.06
KOPN,2008-03-27,Y,2.2,2.25,3.0,2.25,36.36,2.73,24.09,22,3.0,2.25,36.36,2.7,22.72
KOPN,2008-05-06,Y,3.09,3.3,3.3,3.17,6.79,3.22,4.2,10,3.3,2.83,-8.41,2.94,-4.85
KOPN,2008-07-31,Y,3.23,3.11,3.23,2.81,-13.0,3.03,-6.19,15,3.45,2.81,-13.0,3.34,3.4
KOPN,2008-10-30,Y,2.0,2.04,2.31,2.0,15.5,2.31,15.99,22,2.41,1.32,-33.99,1.65,-17.5
KOPN,2009-03-05,Y,1.48,1.51,1.6,1.51,8.1,1.56,6.08,15,2.0,1.51,35.13,1.88,27.02
KOPN,2009-04-27,Y,2.54,2.5,2.63,2.46,3.54,2.58,1.57,18,3.01,2.4,18.5,2.99,17.71
KOPN,2009-08-04,Y,3.85,4.0,4.05,3.61,-6.23,3.64,-5.45,17,4.05,3.11,-19.22,3.77,-2.07
KOPN,2009-11-02,N,4.44,4.87,4.87,4.3,9.68,4.37,-1.57,18,4.93,4.04,11.03,4.66,4.95
KOPN,2010-02-25,Y,4.03,4.15,4.16,3.79,-5.95,3.8,-5.7,22,4.16,3.6,-10.66,3.67,-8.93
KOPN,2010-05-04,N,4.45,4.34,4.34,4.15,-6.74,4.28,-3.82,17,4.48,3.51,-21.12,3.55,-20.22
KOPN,2010-08-03,N,3.85,3.8,3.8,3.36,-12.72,3.36,-12.72,17,3.8,2.77,-28.05,2.86,-25.71
KOPN,2010-11-02,N,3.73,3.7,3.7,3.22,-13.67,3.58,-4.02,17,3.98,3.22,-13.67,3.89,4.28
KOPN,2011-03-03,N,4.34,4.3,4.34,4.15,-4.59,4.24,-2.52,15,4.34,4.01,-7.81,4.24,-2.52
KOPN,2011-07-28,Y,4.49,4.41,4.41,3.97,-11.58,4.3,-4.23,22,4.41,3.31,-26.28,3.34,-25.61
KOPN,2011-10-27,N,3.96,4.0,4.09,3.65,-7.82,4.0,1.01,22,4.24,3.65,-7.82,3.9,-1.51
KOPN,2012-03-07,N,3.3,3.27,3.53,3.27,6.96,3.38,2.42,9,3.63,3.23,10.0,3.47,5.15
KOPN,2012-05-10,N,3.58,3.57,3.72,3.56,3.91,3.68,2.79,8,3.72,3.17,-11.45,3.17,-11.45
KOPN,2012-08-07,N,3.72,3.6,3.64,3.39,-8.87,3.52,-5.37,10,3.64,3.28,-11.82,3.47,-6.72
KOPN,2012-11-06,N,3.66,3.67,3.67,3.5,-4.37,3.57,-2.45,10,3.67,2.78,-24.04,2.96,-19.12
KOPN,2013-03-13,N,3.35,3.25,3.49,3.23,4.17,3.42,2.08,2,3.68,3.23,9.85,3.58,6.86
KOPN,2013-05-08,N,3.42,3.44,3.45,3.29,-3.8,3.38,-1.16,9,3.51,3.18,-7.01,3.51,2.63
KOPN,2013-08-06,N,3.67,3.67,3.67,3.55,-3.26,3.56,-2.99,10,3.67,3.33,-9.26,3.37,-8.17
KOPN,2013-10-31,N,4.07,4.05,4.05,3.66,-10.07,3.67,-9.82,15,4.05,3.41,-16.21,3.47,-14.74
KOPN,2014-03-11,Y,3.95,3.99,4.03,3.86,-2.27,4.0,1.26,10,4.15,3.77,5.06,4.0,1.26
KOPN,2014-05-06,Y,3.15,3.19,3.24,3.1,2.85,3.13,-0.63,10,3.24,2.9,-7.93,3.01,-4.44
KOPN,2014-08-06,Y,3.46,3.6,3.95,3.46,14.16,3.73,7.8,9,3.95,3.46,14.16,3.66,5.78
KOPN,2014-11-04,Y,3.62,3.7,3.79,3.57,4.69,3.69,1.93,18,3.81,3.4,-6.07,3.52,-2.76
KOPN,2015-03-10,Y,4.13,4.34,4.34,3.47,-16.18,3.75,-9.42,10,4.34,3.47,-16.18,3.7,-10.62
