Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
LAKE,2002-12-13,Y,5.26,5.48,5.48,4.99,-5.13,5.25,-0.19,7,5.55,4.91,-6.65,5.41,2.85
LAKE,2003-04-28,Y,6.57,6.8,6.9,6.55,5.02,6.84,4.1,18,7.74,6.39,17.8,7.33,11.56
LAKE,2003-06-12,Y,7.24,7.14,7.16,7.14,-1.38,7.16,-1.1,8,7.36,7.12,1.65,7.36,1.65
LAKE,2003-09-12,Y,9.09,9.53,9.92,9.38,9.13,9.42,3.63,7,10.74,9.38,18.15,10.09,11.0
LAKE,2003-12-12,Y,11.98,12.3,12.3,11.2,-6.51,11.65,-2.75,7,13.13,11.2,9.59,12.65,5.59
LAKE,2004-04-29,Y,17.32,16.57,18.39,16.55,6.17,17.48,0.98,22,18.39,13.12,-24.24,15.79,-8.83
LAKE,2004-06-14,Y,19.54,18.64,18.93,17.89,-8.44,18.3,-6.29,4,18.93,17.44,-10.74,17.55,-10.13
LAKE,2004-09-08,Y,16.16,14.22,14.88,14.06,-12.99,14.26,-11.75,9,14.88,12.83,-20.6,13.06,-19.18
LAKE,2004-12-13,Y,15.54,15.3,15.83,15.3,1.86,15.78,1.54,4,16.2,15.29,4.24,16.2,4.24
LAKE,2005-04-15,Y,12.6,12.27,12.48,11.16,-11.42,11.18,-11.26,35,13.32,11.16,-11.42,12.17,-3.41
LAKE,2005-06-09,Y,11.84,13.14,13.14,12.5,10.97,12.71,7.34,8,13.14,12.5,10.97,12.68,7.09
LAKE,2005-09-07,Y,15.55,15.72,16.1,15.15,3.53,15.38,-1.09,9,16.16,15.15,3.92,15.95,2.57
LAKE,2005-12-12,N,17.98,17.64,18.19,17.27,-3.94,17.57,-2.22,4,18.62,17.27,-3.94,17.89,-0.5
LAKE,2006-04-17,N,18.05,17.19,18.45,15.87,-12.07,16.82,-6.75,4,18.45,15.87,-12.07,17.0,-5.81
LAKE,2006-06-08,Y,14.97,14.22,14.22,12.52,-16.36,12.97,-13.36,8,14.22,12.52,-16.36,13.05,-12.82
LAKE,2006-09-07,Y,13.46,13.1,13.19,12.91,-4.08,13.1,-2.67,8,13.19,12.35,-8.24,12.4,-7.87
LAKE,2006-12-07,Y,14.15,13.91,14.05,13.85,-2.12,13.9,-1.76,8,14.27,13.43,-5.08,13.96,-1.34
LAKE,2007-04-12,Y,14.4,13.84,13.84,12.9,-10.41,13.25,-7.98,8,13.84,12.9,-10.41,13.1,-9.02
LAKE,2007-06-07,Y,13.83,12.65,13.83,12.65,-8.53,13.78,-0.36,8,14.16,12.65,-8.53,13.92,0.65
LAKE,2007-09-06,Y,12.4,12.1,12.26,11.78,-5.0,12.11,-2.33,15,12.62,11.1,-10.48,11.97,-3.46
LAKE,2007-12-06,Y,11.0,11.3,12.57,10.97,14.27,11.74,6.72,15,12.57,10.5,14.27,10.99,-0.09
LAKE,2008-04-14,Y,12.5,12.88,13.38,12.5,7.04,12.67,1.35,4,13.38,12.03,7.04,13.1,4.79
