Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
LBRDK,2017-02-28,N,86.36,86.66,88.09,85.34,2.0,85.94,-0.48,17,88.09,84.22,-2.47,85.73,-0.72
LBRDK,2017-05-09,Y,85.99,85.97,86.01,85.11,-1.02,85.56,-0.5,10,86.01,82.65,-3.88,83.69,-2.67
LBRDK,2017-08-09,N,99.87,99.6,103.33,98.79,3.46,102.77,2.9,10,104.34,98.79,4.47,100.14,0.27
LBRDK,2017-11-09,N,87.73,87.92,88.76,86.74,1.17,88.56,0.94,9,91.77,86.3,4.6,91.09,3.82
LBRDK,2018-03-01,N,87.88,88.14,88.77,86.1,-2.02,87.21,-0.76,16,94.99,85.29,8.09,89.03,1.3
LBRDK,2018-05-09,Y,71.12,71.12,72.46,71.08,1.88,71.75,0.88,9,72.88,70.47,2.47,70.95,-0.23
LBRDK,2018-08-08,Y,78.29,78.55,80.29,78.36,2.55,79.73,1.83,9,80.29,77.68,2.55,78.98,0.88
LBRDK,2018-11-08,Y,83.27,82.64,83.7,81.45,-2.18,82.17,-1.32,8,84.27,78.09,-6.22,83.79,0.62
LBRDK,2019-02-28,Y,89.5,90.13,90.15,89.44,0.72,89.88,0.42,15,92.77,87.38,3.65,92.39,3.22
LBRDK,2019-05-09,Y,99.22,99.26,100.0,97.77,-1.46,99.96,0.74,8,101.84,96.25,-2.99,101.66,2.45
LBRDK,2019-08-08,Y,100.42,100.21,100.46,98.64,-1.77,99.62,-0.79,8,100.54,97.71,-2.69,99.94,-0.47
LBRDK,2020-02-26,Y,133.36,132.5,133.26,129.77,-2.69,129.85,-2.63,23,134.37,86.2,-35.36,90.67,-32.01
LBRDK,2020-05-07,Y,126.63,128.95,128.95,126.39,1.83,127.11,0.37,8,128.95,119.77,-5.41,122.97,-2.89
LBRDK,2020-08-10,N,144.9,144.31,146.84,142.04,-1.97,142.56,-1.61,14,146.84,138.12,-4.67,139.64,-3.63
LBRDK,2020-11-05,N,148.87,151.77,153.25,149.28,2.94,152.36,2.34,16,160.54,143.96,7.83,159.97,7.45
LBRDK,2021-02-26,N,144.23,143.01,154.29,143.01,6.97,149.51,3.66,22,157.66,143.01,9.31,153.8,6.63
LBRDK,2021-05-07,N,162.33,163.0,167.08,162.8,2.92,166.37,2.48,15,168.52,158.51,3.81,164.25,1.18
LBRDK,2021-08-06,N,183.68,183.29,184.99,182.02,-0.9,182.52,-0.63,15,187.69,180.08,2.18,187.0,1.8
LBRDK,2021-11-04,N,168.66,167.29,170.23,166.01,-1.57,167.04,-0.96,16,172.84,164.88,2.47,165.86,-1.66
LBRDK,2022-02-25,N,143.88,145.7,147.77,143.92,2.7,147.28,2.36,22,148.36,132.58,-7.85,141.23,-1.84
LBRDK,2022-05-06,N,113.51,114.3,116.31,111.97,2.46,114.57,0.93,15,119.92,111.04,5.64,118.46,4.36
LBRDK,2022-08-05,N,113.76,112.37,115.84,111.54,-1.95,115.79,1.78,15,120.59,111.54,6.0,114.43,0.58
LBRDK,2022-11-04,N,79.67,76.45,81.93,76.45,-4.04,80.64,1.21,15,93.45,76.45,17.29,86.26,8.27
LBRDK,2023-02-17,N,94.0,88.81,94.25,88.81,-5.52,92.42,-1.68,1,94.25,88.81,-5.52,92.42,-1.68
