Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
LBTYK,2013-08-01,Y,76.56,76.59,77.18,73.53,-3.97,75.09,-1.93,15,77.18,70.54,-7.87,72.45,-5.38
LBTYK,2013-11-04,Y,73.48,73.31,73.31,72.15,-1.82,72.16,-1.8,11,77.06,72.15,4.85,76.39,3.94
LBTYK,2014-11-05,Y,44.04,43.39,44.8,43.35,1.72,44.54,1.13,17,46.37,43.35,5.29,45.95,4.33
LBTYK,2015-02-12,Y,48.38,49.28,50.81,49.04,5.02,50.78,4.96,8,51.88,49.04,7.23,51.65,6.75
LBTYK,2015-05-07,Y,50.3,50.4,50.97,48.71,-3.16,48.82,-2.94,8,50.97,48.1,-4.37,49.43,-1.72
LBTYK,2015-08-04,Y,49.42,49.89,50.63,49.22,2.44,50.22,1.61,17,50.63,45.21,-8.51,45.25,-8.43
LBTYK,2015-11-05,Y,44.02,43.82,44.37,43.7,0.79,44.2,0.4,15,44.9,40.15,-8.79,40.86,-7.17
LBTYK,2016-02-16,N,31.55,32.64,34.02,32.24,7.82,33.96,7.63,3,36.45,32.24,15.53,36.19,14.7
LBTYK,2016-05-09,Y,36.28,36.06,36.92,35.03,-3.44,36.58,0.82,11,37.76,34.94,4.07,35.72,-1.51
LBTYK,2016-08-04,Y,31.41,31.24,31.38,30.07,-4.26,30.11,-4.13,15,31.97,29.93,-4.71,30.7,-2.26
LBTYK,2016-11-03,Y,30.7,28.44,31.57,27.82,-9.38,30.85,0.48,15,32.83,27.82,-9.38,31.76,3.45
LBTYK,2017-02-16,N,34.79,35.4,36.58,34.61,5.14,34.97,0.51,1,36.58,34.61,5.14,35.58,2.27
LBTYK,2017-05-07,Y,33.58,32.47,32.54,30.82,-8.21,31.07,-7.47,14,32.54,28.59,-14.86,29.44,-12.32
LBTYK,2017-08-08,N,33.1,32.21,32.56,31.61,-4.5,32.52,-1.75,11,33.86,31.61,-4.5,32.39,-2.14
LBTYK,2017-11-01,Y,30.29,29.19,31.18,29.19,-3.63,30.49,0.66,16,31.18,28.17,-6.99,29.11,-3.89
LBTYK,2018-02-14,Y,34.92,34.58,34.72,32.78,-6.12,33.01,-5.46,2,34.72,32.12,-8.01,32.27,-7.58
LBTYK,2018-05-08,Y,31.41,30.34,30.34,27.08,-13.78,29.52,-6.01,10,30.34,27.08,-13.78,28.46,-9.39
LBTYK,2018-08-08,Y,27.07,26.9,27.77,26.13,-3.47,26.99,-0.29,9,27.77,25.54,-5.65,25.83,-4.58
LBTYK,2018-11-07,Y,25.94,25.79,26.42,24.08,-7.17,24.92,-3.93,9,26.42,23.15,-10.75,23.82,-8.17
LBTYK,2019-02-27,Y,25.3,25.22,25.52,24.5,-3.16,25.39,0.35,16,25.71,24.08,-4.82,25.37,0.27
LBTYK,2019-05-06,Y,26.05,25.77,25.77,25.12,-3.57,25.31,-2.84,11,25.77,23.94,-8.09,24.66,-5.33
LBTYK,2019-08-07,Y,25.19,26.01,26.5,25.26,5.2,25.57,1.5,9,26.94,25.26,6.94,25.66,1.86
LBTYK,2020-02-13,Y,20.25,20.08,20.25,19.09,-5.72,19.45,-3.95,8,20.41,19.09,-5.72,20.21,-0.19
LBTYK,2020-05-06,Y,20.29,22.64,22.68,20.81,11.77,21.46,5.76,9,22.68,20.68,11.77,21.36,5.27
LBTYK,2020-08-03,Y,22.72,22.49,23.05,22.11,-2.68,22.77,0.22,18,23.05,21.0,-7.57,21.4,-5.8
LBTYK,2020-11-04,Y,19.25,19.47,19.84,19.2,3.06,19.35,0.51,16,22.54,18.84,17.09,21.89,13.71
LBTYK,2021-02-15,Y,24.78,24.89,26.25,24.88,5.93,25.87,4.39,7,26.43,24.88,6.65,26.26,5.97
LBTYK,2021-05-05,Y,27.03,27.14,28.4,27.01,5.06,28.25,4.51,16,28.7,27.01,6.17,27.38,1.29
LBTYK,2021-07-30,N,25.71,25.86,27.29,25.68,6.14,26.86,4.47,22,29.45,25.68,14.54,27.59,7.31
LBTYK,2021-11-03,Y,29.42,27.84,28.72,27.52,-6.45,28.11,-4.45,16,29.6,27.52,-6.45,28.01,-4.79
LBTYK,2022-02-17,Y,28.17,27.99,28.23,26.46,-6.07,26.54,-5.78,1,28.23,26.46,-6.07,26.54,-5.78
LBTYK,2022-05-10,Y,22.85,22.1,23.84,21.83,-4.46,22.9,0.21,10,24.72,21.83,8.18,23.78,4.07
LBTYK,2022-07-28,Y,22.01,22.18,23.16,22.16,5.22,22.89,3.99,22,23.56,22.1,7.04,22.19,0.81
LBTYK,2022-11-01,Y,17.85,17.89,19.12,17.65,7.11,18.64,4.42,17,21.3,17.65,19.32,20.02,12.15
LBTYK,2023-02-22,Y,21.32,21.16,22.24,21.12,4.31,21.99,3.14,23,22.24,18.03,-15.43,19.55,-8.3
