Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
LILA,2017-02-15,Y,22.29,23.58,25.95,23.0,16.41,25.89,16.15,2,26.9,23.0,20.68,26.73,19.91
LILA,2017-05-08,N,20.73,20.68,22.26,19.64,7.38,22.07,6.46,14,22.25,19.65,7.33,20.51,-1.06
LILA,2017-08-07,Y,26.29,26.27,27.85,26.15,5.93,26.61,1.21,11,27.85,25.76,5.93,26.25,-0.15
LILA,2017-11-01,Y,22.61,22.0,23.78,21.68,5.17,22.44,-0.75,16,23.78,21.12,-6.59,21.42,-5.26
LILA,2018-02-14,Y,23.14,22.81,23.78,21.37,-7.64,23.43,1.25,2,23.78,21.37,-7.64,23.43,1.25
LILA,2018-05-08,Y,20.77,20.7,22.02,20.42,6.01,21.28,2.45,10,22.02,19.69,6.01,21.32,2.64
LILA,2018-08-09,N,19.3,18.0,19.62,18.0,-6.73,18.86,-2.27,9,19.62,17.91,-7.2,17.96,-6.94
LILA,2018-11-08,N,19.16,18.56,20.01,18.56,4.43,19.75,3.07,9,20.01,17.71,-7.56,18.15,-5.27
LILA,2019-02-21,N,18.68,18.53,18.99,18.2,-2.56,18.92,1.28,23,20.48,18.2,9.63,20.0,7.06
LILA,2019-05-08,N,21.27,21.01,21.01,19.16,-9.92,19.68,-7.47,10,21.01,17.62,-17.16,18.02,-15.27
LILA,2019-08-07,N,15.58,15.75,16.75,15.75,7.5,16.5,5.9,10,17.22,15.28,10.52,15.91,2.11
LILA,2020-02-19,Y,17.43,17.63,19.09,17.63,9.52,18.98,8.89,2,19.09,17.63,9.52,18.73,7.45
LILA,2020-05-05,Y,10.0,10.1,10.49,9.47,-5.29,9.51,-4.9,10,10.49,8.21,-17.89,9.08,-9.2
LILA,2020-08-05,Y,10.44,10.06,10.19,9.01,-13.69,9.26,-11.3,16,10.53,9.01,-13.69,9.09,-12.93
LILA,2020-11-04,Y,10.04,9.25,10.4,9.17,-8.66,10.24,1.99,16,12.4,9.17,23.5,11.8,17.52
LILA,2021-02-28,Y,10.97,11.33,12.47,11.18,13.67,12.44,13.4,21,14.64,11.18,33.45,14.29,30.26
LILA,2021-05-05,Y,14.22,14.31,14.7,13.89,3.37,14.47,1.75,16,14.7,13.15,-7.52,13.76,-3.23
LILA,2021-08-04,Y,13.04,13.04,14.65,13.04,12.34,14.4,10.42,16,14.65,12.8,12.34,13.8,5.82
LILA,2021-11-02,Y,12.8,12.94,13.17,12.35,-3.51,13.07,2.1,17,14.03,12.27,9.6,12.39,-3.2
LILA,2022-02-22,Y,11.15,11.0,11.45,10.8,-3.13,10.84,-2.78,24,11.45,9.11,-18.29,9.82,-11.92
LILA,2022-05-04,Y,9.6,9.44,9.53,8.6,-10.41,8.74,-8.95,16,9.61,7.79,-18.85,9.26,-3.54
LILA,2022-08-03,Y,7.59,7.53,7.9,7.48,4.08,7.5,-1.18,16,8.24,7.19,8.56,7.6,0.13
LILA,2022-11-08,Y,8.24,8.05,8.05,7.12,-13.59,7.34,-10.92,10,8.6,7.12,-13.59,7.94,-3.64
LILA,2023-02-22,Y,8.83,9.0,9.55,8.62,8.15,9.2,4.19,23,9.55,7.63,-13.59,7.86,-10.98
