Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
LXRX,2002-03-07,N,8.35,8.38,8.9,8.38,6.58,8.58,2.75,8,9.3,8.0,11.37,8.5,1.79
LXRX,2002-05-09,N,7.4,7.35,8.0,7.15,8.1,7.33,-0.94,8,8.0,6.56,-11.35,7.23,-2.29
LXRX,2002-10-30,Y,5.25,5.0,5.09,4.59,-12.57,4.61,-12.19,16,5.09,3.65,-30.47,4.2,-19.99
LXRX,2003-02-19,Y,3.96,3.97,4.04,3.93,2.02,3.98,0.5,2,4.12,3.93,4.04,4.05,2.52
LXRX,2003-05-01,N,5.0,4.87,4.97,4.24,-15.19,4.92,-1.6,15,5.9,4.24,18.0,4.8,-4.0
LXRX,2003-07-31,Y,5.27,5.27,5.29,5.01,-4.93,5.12,-2.84,15,5.29,4.24,-19.54,4.96,-5.88
LXRX,2003-10-30,Y,5.69,5.7,5.84,5.6,2.63,5.6,-1.58,22,6.9,4.95,21.26,5.25,-7.73
LXRX,2004-02-19,N,7.39,7.44,7.6,7.07,-4.33,7.11,-3.78,1,7.6,6.41,-13.26,6.86,-7.17
LXRX,2004-04-29,N,7.3,7.23,7.36,6.82,-6.57,7.06,-3.28,22,7.5,6.65,-8.9,7.5,2.73
LXRX,2004-07-29,N,6.02,6.13,6.13,5.81,-3.48,5.92,-1.66,22,6.78,5.03,-16.44,6.77,12.45
LXRX,2004-10-28,Y,6.17,6.11,6.65,6.03,7.77,6.51,5.51,22,7.7,6.03,24.79,7.15,15.88
LXRX,2005-02-24,N,5.64,5.57,6.3,5.56,11.7,6.23,10.46,22,6.3,4.93,-12.58,5.34,-5.31
LXRX,2005-04-28,N,4.4,4.37,4.5,4.2,-4.54,4.2,-4.54,22,5.09,4.19,15.68,4.98,13.18
LXRX,2005-07-28,N,5.87,5.9,5.94,5.53,-5.79,5.73,-2.38,22,5.94,4.48,-23.67,4.48,-23.67
LXRX,2005-11-01,Y,3.81,3.84,4.09,3.79,7.34,4.09,7.34,17,4.47,3.79,17.32,4.09,7.61
LXRX,2006-02-22,N,3.87,4.07,4.34,3.95,12.14,4.32,11.62,23,5.37,3.95,38.75,5.34,37.98
LXRX,2006-05-02,N,5.05,5.15,5.37,4.97,6.12,5.28,4.34,17,5.37,4.45,-12.05,4.93,-2.56
LXRX,2006-08-01,N,4.41,4.34,4.5,4.15,-5.89,4.41,,17,4.5,3.65,-17.23,3.94,-10.65
LXRX,2006-10-31,N,4.04,4.09,4.09,3.99,1.23,3.99,-1.23,17,4.15,3.82,-5.44,3.99,-1.23
LXRX,2007-02-21,N,4.12,4.07,4.13,3.86,-6.31,3.89,-5.58,23,4.4,3.68,-10.67,3.73,-9.46
LXRX,2007-05-01,N,3.51,3.51,3.56,3.07,-12.53,3.4,-3.13,17,3.75,3.07,-12.53,3.34,-4.84
LXRX,2007-07-31,Y,3.23,3.2,3.34,3.2,3.4,3.23,,17,3.34,3.05,-5.57,3.11,-3.71
LXRX,2007-10-30,Y,3.92,3.71,3.78,3.4,-13.26,3.61,-7.9,17,3.78,3.0,-23.46,3.17,-19.13
LXRX,2008-03-06,Y,1.65,1.56,1.65,1.53,-7.27,1.65,,15,2.38,1.27,44.24,2.17,31.51
LXRX,2008-04-29,Y,2.06,2.04,2.1,1.96,-4.85,2.06,,17,2.25,1.91,9.22,2.02,-1.45
LXRX,2008-07-29,N,2.35,2.29,2.46,2.18,-7.23,2.31,-1.7,17,2.6,1.67,-28.93,2.45,4.25
LXRX,2008-10-30,N,1.35,1.35,1.47,1.26,8.88,1.4,3.7,22,1.84,0.93,36.29,1.22,-9.62
LXRX,2009-02-25,N,1.2,1.2,1.22,0.98,-18.33,0.98,-18.33,23,1.22,0.81,-32.49,0.96,-20.0
LXRX,2009-04-28,N,1.0,1.0,1.12,1.0,12.0,1.12,12.99,17,1.43,1.0,42.99,1.17,16.99
LXRX,2009-07-28,N,1.49,1.48,1.49,1.34,-10.06,1.45,-2.68,24,1.6,1.25,-16.1,1.5,0.67
LXRX,2009-10-27,N,1.53,1.55,1.58,1.54,3.26,1.55,1.3,24,1.67,1.3,-15.03,1.5,-1.96
LXRX,2010-02-23,N,1.84,1.84,1.91,1.81,3.8,1.9,3.26,24,1.92,1.2,-34.78,1.3,-29.34
LXRX,2010-05-10,N,1.37,1.43,1.48,1.39,8.02,1.41,2.91,11,1.66,1.37,21.16,1.61,17.51
LXRX,2010-08-09,N,1.51,1.52,1.53,1.47,-2.64,1.5,-0.66,11,1.55,1.42,-5.96,1.47,-2.64
LXRX,2010-11-05,N,1.7,1.68,1.68,1.59,-6.47,1.63,-4.11,14,1.68,1.38,-18.82,1.45,-14.7
LXRX,2011-02-24,N,1.8,1.8,1.86,1.8,3.33,1.81,1.11,22,2.04,1.7,13.33,1.78,-1.11
LXRX,2011-05-03,N,1.68,1.68,1.68,1.62,-3.57,1.63,-2.97,17,1.72,1.47,-12.5,1.51,-10.11
LXRX,2011-08-08,Y,1.4,1.47,1.48,1.3,-7.14,1.4,,11,1.48,1.17,-16.42,1.2,-14.28
LXRX,2011-11-01,N,1.21,1.17,1.2,1.08,-10.74,1.08,-10.74,17,1.2,0.99,-18.18,1.0,-17.35
LXRX,2012-02-22,N,1.58,1.6,1.75,1.58,10.75,1.75,10.75,23,1.86,1.54,17.72,1.81,15.18
LXRX,2012-05-03,N,1.52,1.5,1.61,1.5,5.92,1.58,3.94,15,1.61,1.45,5.92,1.51,-0.65
LXRX,2012-07-31,N,2.38,2.41,2.52,2.35,6.3,2.42,1.68,17,2.52,2.04,-14.28,2.31,-2.52
LXRX,2012-11-06,N,1.96,1.98,1.98,1.86,-5.1,1.88,-4.08,10,1.98,1.55,-20.91,1.6,-18.36
LXRX,2013-02-21,N,2.0,2.0,2.02,1.95,-2.5,1.95,-2.5,22,2.23,1.91,11.5,2.18,9.0
LXRX,2013-05-10,N,1.98,1.97,2.0,1.93,-2.52,1.99,0.5,7,2.23,1.93,12.62,2.21,11.61
LXRX,2013-07-30,N,2.29,2.34,2.46,2.29,6.95,2.45,6.52,17,2.57,2.16,11.73,2.19,-4.78
LXRX,2013-11-12,N,2.29,2.29,2.39,2.17,-5.24,2.17,-5.24,3,2.39,2.17,-5.24,2.25,-1.74
LXRX,2014-02-28,N,1.92,2.0,2.0,1.75,-8.85,1.79,-6.77,21,2.0,1.68,-12.5,1.71,-10.93
LXRX,2014-05-08,N,1.4,1.4,1.44,1.35,-3.57,1.35,-3.57,8,1.5,1.33,7.14,1.41,0.71
LXRX,2014-08-07,N,1.66,1.7,1.7,1.55,-6.62,1.59,-4.21,8,1.7,1.5,-9.63,1.59,-4.21
LXRX,2014-11-04,Y,10.08,10.36,10.43,10.08,3.47,10.15,0.69,18,10.43,6.3,-37.5,6.93,-31.25
LXRX,2015-03-04,N,6.86,7.49,7.91,7.14,15.3,7.35,7.14,16,8.52,7.14,24.34,7.7,12.24
