Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MACK,2012-05-15,Y,7.05,7.12,7.39,7.12,4.82,7.37,4.53,3,7.43,7.05,5.39,7.3,3.54
MACK,2012-07-12,Y,7.2,7.25,7.5,7.25,4.16,7.49,4.02,8,9.19,7.11,27.63,7.87,9.3
MACK,2012-08-10,N,7.37,7.37,7.69,7.33,4.34,7.38,0.13,7,7.88,7.33,6.91,7.79,5.69
MACK,2012-11-14,N,6.97,7.0,7.1,6.78,-2.72,6.87,-1.43,2,7.24,6.38,-8.46,6.85,-1.72
MACK,2013-03-14,N,6.34,6.34,6.42,6.14,-3.15,6.15,-2.99,1,6.42,6.0,-5.36,6.03,-4.88
MACK,2013-05-13,Y,5.17,5.2,5.64,5.15,9.09,5.53,6.96,4,5.83,5.15,12.76,5.52,6.76
MACK,2013-08-08,N,4.59,4.62,4.63,3.81,-17.17,3.95,-14.13,8,4.63,3.31,-28.04,3.34,-27.39
MACK,2013-11-07,N,2.06,2.29,2.87,2.25,39.32,2.56,24.27,8,2.87,2.25,39.32,2.5,21.35
MACK,2014-02-27,Y,5.05,4.95,5.25,4.78,-5.53,4.98,-1.58,22,5.99,4.78,18.37,5.32,5.13
MACK,2014-05-12,N,6.68,6.74,6.91,6.66,3.44,6.77,1.34,4,6.94,6.33,-5.23,6.8,1.79
MACK,2014-08-11,N,6.53,6.97,6.99,6.68,7.04,6.7,2.6,4,7.53,6.58,15.31,7.04,7.81
MACK,2014-11-10,Y,8.69,8.27,8.69,8.1,-6.89,8.35,-4.02,12,9.34,8.1,7.35,9.21,5.86
MACK,2015-02-26,N,10.85,11.02,11.19,10.24,-5.62,10.77,-0.73,22,12.5,10.24,15.2,11.76,8.38
MACK,2015-05-07,Y,11.2,11.2,11.53,10.99,2.94,11.4,1.78,8,12.74,10.99,13.75,12.66,13.03
MACK,2015-08-10,Y,9.52,9.75,11.18,9.69,17.31,10.08,5.77,11,11.18,9.1,17.31,9.6,0.73
MACK,2015-11-09,Y,9.82,9.52,9.66,8.66,-11.81,8.93,-9.06,11,9.66,8.11,-17.41,8.25,-15.98
MACK,2016-02-25,Y,5.38,5.22,5.89,5.18,9.47,5.56,3.34,22,8.08,5.18,50.18,7.85,45.91
MACK,2016-05-02,Y,7.28,6.87,7.06,6.42,-11.81,6.67,-8.37,18,7.06,5.84,-19.78,6.54,-10.16
MACK,2016-08-04,Y,5.92,5.5,5.69,5.28,-10.81,5.52,-6.75,15,5.69,4.84,-18.24,4.97,-16.04
MACK,2016-11-09,Y,5.91,6.0,6.73,5.83,13.87,6.46,9.3,9,6.79,5.83,14.89,6.18,4.56
MACK,2017-03-01,N,3.07,3.15,3.15,2.9,-5.53,2.98,-2.93,16,3.44,2.9,12.05,3.21,4.56
MACK,2017-05-10,N,3.38,3.26,3.58,3.25,5.91,3.58,5.91,10,3.99,3.25,18.04,3.49,3.25
MACK,2017-08-09,Y,1.26,12.5,12.95,12.5,2.77,12.7,0.79,9,1.3,1.2,-4.76,1.2,-4.76
MACK,2017-11-08,N,11.34,11.43,11.87,11.15,4.67,11.47,1.14,10,12.54,11.15,10.58,11.75,3.61
MACK,2018-03-12,N,11.58,11.38,11.38,10.26,-11.39,10.39,-10.27,7,11.38,9.98,-13.81,10.34,-10.7
MACK,2018-05-08,N,8.79,8.5,8.9,8.45,-3.86,8.52,-3.07,11,8.9,8.28,-5.8,8.76,-0.34
MACK,2018-08-07,N,5.13,5.03,5.4,5.02,5.26,5.28,2.92,11,5.5,4.95,7.21,5.27,2.72
MACK,2018-11-07,N,4.35,4.25,4.87,4.25,11.95,4.75,9.19,10,4.87,4.25,11.95,4.52,3.9
MACK,2019-03-11,N,6.25,6.28,6.44,6.24,3.04,6.36,1.76,7,7.25,6.24,16.0,7.24,15.84
MACK,2019-05-07,N,6.03,5.93,6.16,5.77,-4.31,6.03,0.0,11,6.16,5.54,-8.12,6.0,-0.49
MACK,2020-03-13,Y,2.52,2.38,2.5,2.36,-6.34,2.4,-4.76,7,2.5,1.49,-40.87,1.63,-35.31
MACK,2020-05-08,Y,3.87,3.85,3.88,3.67,-5.16,3.7,-4.39,7,3.88,3.38,-12.66,3.6,-6.97
MACK,2020-07-29,Y,3.22,3.2,3.38,3.2,4.96,3.37,4.65,23,4.75,3.2,47.51,4.27,32.6
MACK,2021-05-06,Y,6.52,6.53,6.82,6.31,4.6,6.62,1.53,15,6.82,5.98,-8.28,6.37,-2.3
MACK,2021-08-05,Y,5.15,5.19,5.38,5.13,4.46,5.36,4.07,15,5.38,4.37,-15.14,4.5,-12.62
MACK,2022-03-09,Y,6.34,6.45,6.54,6.13,-3.31,6.44,1.57,9,6.94,5.9,9.46,6.74,6.3
MACK,2022-05-05,Y,5.57,5.57,5.57,5.16,-7.36,5.21,-6.46,15,5.8,4.78,-14.18,5.25,-5.74
MACK,2022-08-04,Y,4.3,4.14,4.35,4.14,-3.72,4.34,0.93,15,4.35,3.91,-9.06,4.0,-6.97
