Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MANH,2002-02-07,Y,24.45,25.5,30.84,25.5,26.13,29.8,21.88,8,31.75,25.5,29.85,29.17,19.3
MANH,2002-04-24,Y,34.29,33.25,33.94,30.1,-12.21,32.75,-4.49,23,33.94,25.7,-25.05,31.82,-7.2
MANH,2002-07-25,Y,18.05,18.55,20.98,18.39,16.23,20.71,14.73,22,23.4,18.39,29.63,21.41,18.61
MANH,2002-10-23,Y,17.98,19.95,23.15,19.89,28.75,22.0,22.35,23,26.95,19.89,49.88,26.43,46.99
MANH,2003-02-11,Y,21.93,22.02,22.04,20.26,-7.61,20.75,-5.38,10,22.13,20.26,-7.61,21.15,-3.55
MANH,2003-04-22,Y,23.98,24.05,24.7,23.69,3.0,24.28,1.25,24,25.92,22.74,8.09,25.3,5.5
MANH,2003-07-22,Y,28.58,27.0,27.84,25.94,-9.23,27.6,-3.42,24,28.41,25.8,-9.72,27.89,-2.41
MANH,2003-10-28,Y,32.27,27.35,29.65,26.72,-17.19,28.3,-12.3,24,31.68,26.72,-17.19,28.75,-10.9
MANH,2004-02-10,Y,26.96,29.26,29.75,27.78,10.34,29.1,7.93,10,30.0,27.52,11.27,29.09,7.9
MANH,2004-04-22,Y,30.21,30.28,30.46,29.37,-2.78,29.53,-2.25,29,30.46,24.77,-18.0,27.32,-9.56
MANH,2004-07-28,Y,24.43,27.65,28.15,25.6,15.22,25.63,4.91,23,28.15,22.51,15.22,24.13,-1.22
MANH,2004-10-20,Y,21.64,21.2,21.8,20.93,-3.28,21.37,-1.24,30,24.9,19.8,15.06,23.15,6.97
MANH,2005-02-08,Y,22.44,20.85,20.97,19.26,-14.17,19.78,-11.85,10,20.97,19.1,-14.88,19.29,-14.03
MANH,2005-04-26,Y,17.44,19.36,19.39,18.6,11.18,19.16,9.86,24,21.05,18.55,20.69,20.96,20.18
MANH,2005-07-26,Y,22.51,21.06,21.24,19.39,-13.86,20.75,-7.81,24,22.07,19.39,-13.86,21.33,-5.24
MANH,2005-10-25,Y,22.23,22.35,24.34,22.35,9.49,23.39,5.21,24,24.34,21.65,9.49,22.6,1.66
MANH,2006-02-07,Y,21.64,21.01,21.92,19.57,-9.56,21.29,-1.61,10,22.0,19.57,-9.56,21.65,0.04
MANH,2006-04-03,Y,21.32,19.5,20.62,19.25,-9.7,20.28,-4.87,18,20.62,18.73,-12.14,19.91,-6.61
MANH,2006-04-25,Y,19.66,20.04,21.94,19.87,11.59,21.85,11.13,24,22.3,19.73,13.42,20.25,3.0
MANH,2006-07-25,Y,18.92,21.33,21.95,21.05,16.01,21.05,11.25,24,23.2,20.63,22.62,23.14,22.3
MANH,2006-10-24,Y,26.03,26.75,29.89,26.53,14.82,28.95,11.21,24,29.99,26.53,15.21,29.49,13.29
MANH,2007-02-07,Y,28.86,28.21,28.24,27.26,-5.54,27.6,-4.36,9,29.01,27.26,-5.54,28.76,-0.34
MANH,2007-04-25,Y,29.6,29.82,30.88,29.51,4.32,30.45,2.87,23,30.88,28.01,-5.37,29.15,-1.52
MANH,2007-07-24,Y,28.23,30.76,31.63,30.01,12.04,30.67,8.64,24,31.63,23.45,-16.93,27.79,-1.55
MANH,2007-10-23,Y,29.74,29.59,30.37,28.61,-3.79,29.0,-2.48,24,30.37,26.48,-10.96,27.92,-6.11
MANH,2008-02-05,Y,23.71,21.5,22.78,21.31,-10.12,21.99,-7.25,10,23.3,21.31,-10.12,22.85,-3.62
MANH,2008-04-22,Y,21.46,24.69,24.99,23.76,16.44,24.5,14.16,24,27.72,23.76,29.17,26.1,21.62
MANH,2008-07-22,Y,23.36,22.78,23.81,22.27,-4.66,23.35,-0.04,24,26.28,22.27,12.5,25.65,9.8
MANH,2008-10-21,Y,18.07,14.94,16.5,14.93,-17.37,15.48,-14.33,31,17.39,13.72,-24.07,15.04,-16.76
MANH,2009-02-10,Y,15.26,15.26,15.73,14.37,-5.83,15.18,-0.52,10,15.73,14.37,-5.83,15.0,-1.7
MANH,2009-04-21,Y,14.65,15.85,16.05,15.38,9.55,15.68,7.03,24,17.32,15.38,18.22,16.85,15.01
MANH,2009-07-21,Y,16.5,16.94,17.98,16.59,8.96,17.05,3.33,31,19.32,16.59,17.09,19.03,15.33
MANH,2009-10-20,Y,23.0,22.5,23.33,22.21,-3.43,22.41,-2.56,31,24.49,22.12,6.47,24.1,4.78
MANH,2010-02-02,Y,21.64,22.72,23.67,22.1,9.38,22.23,2.72,17,25.0,21.51,15.52,24.89,15.01
