Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MDGL,2016-11-14,Y,17.0,16.75,17.22,16.62,-2.23,17.0,,4,17.22,16.5,-2.94,16.52,-2.82
MDGL,2017-03-30,Y,15.45,15.32,15.95,15.26,3.23,15.4,-0.32,22,16.07,14.7,-4.85,15.9,2.91
MDGL,2017-05-09,N,15.9,15.89,15.9,15.61,-1.82,15.79,-0.69,11,16.39,15.5,3.08,16.28,2.38
MDGL,2017-07-20,Y,15.47,15.5,16.14,15.4,4.33,15.59,0.77,1,16.15,15.4,4.39,15.59,0.77
MDGL,2017-08-10,Y,15.5,15.5,15.72,15.46,1.41,15.48,-0.12,8,16.0,15.46,3.22,15.75,1.61
MDGL,2019-03-27,N,135.62,135.61,137.45,128.46,-5.27,128.54,-5.22,23,145.16,101.03,-25.5,105.56,-22.16
MDGL,2019-05-08,N,103.41,102.89,110.0,101.96,6.37,104.09,0.65,10,110.0,98.8,6.37,103.11,-0.29
MDGL,2020-02-26,N,85.57,84.0,87.44,80.18,-6.29,84.52,-1.22,24,92.83,60.86,-28.87,69.85,-18.37
MDGL,2020-08-05,N,105.62,106.22,108.02,105.41,2.27,106.42,0.75,17,112.99,98.65,6.97,105.46,-0.15
MDGL,2020-11-05,N,132.99,132.76,136.81,126.71,-4.72,126.89,-4.58,16,136.81,112.96,-15.06,114.87,-13.62
MDGL,2021-02-25,N,122.8,122.8,127.64,119.74,3.94,123.06,0.21,23,127.64,108.01,-12.04,117.08,-4.65
MDGL,2021-05-06,N,129.56,129.98,131.25,123.64,-4.56,126.71,-2.19,16,137.78,123.64,6.34,129.77,0.16
MDGL,2021-08-05,N,84.58,84.75,88.86,84.5,5.06,88.82,5.01,16,91.55,78.51,8.24,80.52,-4.8
MDGL,2021-11-04,N,93.54,94.49,98.71,94.37,5.52,95.09,1.65,16,102.42,82.13,-12.19,82.4,-11.9
MDGL,2022-02-24,N,86.69,84.23,93.22,83.52,7.53,92.87,7.12,23,102.95,83.52,18.75,98.71,13.86
MDGL,2022-05-09,N,64.59,59.82,65.0,57.15,-11.51,58.04,-10.14,14,69.85,57.15,-11.51,66.71,3.28
MDGL,2022-08-04,N,64.73,66.1,71.84,65.05,10.98,71.84,10.98,16,82.0,65.05,26.68,70.68,9.19
