Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MESO,2016-02-16,Y,4.9,5.5,5.5,5.0,12.24,5.08,3.67,3,5.5,4.96,12.24,5.18,5.71
MESO,2016-05-09,Y,7.56,7.01,7.32,6.8,-10.05,6.99,-7.53,11,7.32,6.52,-13.75,7.07,-6.48
MESO,2016-08-11,Y,5.7,5.81,6.54,5.81,14.73,6.54,14.73,8,6.57,5.58,15.26,5.64,-1.05
MESO,2016-11-14,Y,5.01,5.0,5.05,4.93,-1.59,5.05,0.79,4,5.05,4.47,-10.77,4.76,-4.79
MESO,2017-02-21,Y,6.49,6.53,6.53,6.38,-1.69,6.44,-0.77,24,8.27,6.17,27.58,8.11,24.96
MESO,2017-05-08,Y,10.14,10.03,10.02,9.75,-3.84,9.75,-3.84,11,11.49,8.36,-17.55,8.99,-11.34
MESO,2021-02-25,Y,9.6,9.6,9.6,9.6,0.0,9.6,0.0,22,9.87,8.53,-11.14,9.33,-2.81
MESO,2021-06-02,Y,7.54,7.26,7.35,7.0,-7.16,7.09,-5.96,16,8.85,7.0,17.37,8.5,12.73
MESO,2021-08-29,Y,7.39,7.39,7.4,7.25,-1.89,7.32,-0.94,21,7.4,6.0,-18.8,6.17,-16.5
MESO,2022-11-22,Y,3.25,3.35,3.36,3.24,3.38,3.34,2.76,24,3.94,2.97,21.23,3.02,-7.07
