Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MGY,2019-02-26,N,12.52,12.26,12.64,12.0,-4.15,12.26,-2.07,18,12.9,12.0,-4.15,12.55,0.23
MGY,2019-05-07,N,13.13,12.97,13.03,12.28,-6.47,12.56,-4.34,11,13.14,12.25,-6.7,12.36,-5.86
MGY,2019-08-06,Y,9.94,9.75,10.04,9.27,-6.74,9.83,-1.1,10,10.35,9.27,-6.74,10.12,1.81
MGY,2020-02-20,N,9.27,9.2,9.32,8.6,-7.22,8.86,-4.42,2,9.32,8.39,-9.49,8.57,-7.55
MGY,2020-05-12,N,5.04,5.09,5.63,5.09,11.7,5.44,7.93,4,5.69,4.76,12.89,5.49,8.92
MGY,2020-08-06,N,6.36,6.01,6.43,5.88,-7.54,6.11,-3.93,16,7.13,5.88,12.1,5.98,-5.97
MGY,2020-11-06,N,4.13,4.38,4.48,4.11,8.47,4.17,0.96,15,6.29,4.11,52.3,6.0,45.27
MGY,2021-02-23,N,10.29,10.61,11.69,9.92,13.6,11.64,13.11,25,13.35,9.92,29.73,11.69,13.6
MGY,2021-05-05,N,11.41,11.55,12.47,11.55,9.29,12.06,5.69,17,12.89,11.38,12.97,11.81,3.5
MGY,2021-08-03,N,13.89,14.21,14.32,13.42,-3.38,14.09,1.43,18,15.07,12.79,8.49,13.2,-4.96
MGY,2021-11-02,N,21.65,21.55,22.07,20.46,-5.49,20.66,-4.57,18,22.07,18.46,-14.73,19.14,-11.59
MGY,2022-02-17,N,20.3,20.31,21.56,20.25,6.2,20.71,2.01,2,21.56,20.15,6.2,20.52,1.08
MGY,2022-05-03,N,23.14,23.22,24.48,23.16,5.79,24.35,5.22,18,25.86,21.45,11.75,24.52,5.96
MGY,2022-08-03,N,24.02,24.13,24.59,22.54,-6.16,23.05,-4.03,17,24.59,21.24,-11.57,23.77,-1.04
MGY,2022-11-02,N,25.56,26.0,27.0,24.88,5.63,24.99,-2.23,17,27.57,24.32,7.86,26.31,2.93
MGY,2023-02-15,N,23.15,22.88,22.94,21.72,-6.17,22.58,-2.46,3,23.03,20.97,-9.41,21.23,-8.29
