Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MHH,2008-11-06,N,2.62,2.79,2.8,2.1,-19.84,2.35,-10.3,15,2.8,1.4,-46.56,1.4,-46.56
MHH,2009-03-05,N,1.69,1.68,1.7,1.68,0.59,1.7,0.59,15,1.95,1.68,15.38,1.92,13.6
MHH,2009-05-07,N,2.04,2.25,2.25,2.0,9.75,2.04,,8,3.09,2.0,50.73,2.96,44.39
MHH,2009-08-13,N,4.05,3.9,4.09,3.75,-7.4,3.75,-7.4,8,4.09,3.3,-18.51,3.46,-14.56
MHH,2009-10-28,N,5.55,5.77,5.77,4.3,-22.52,4.65,-16.21,23,5.77,4.17,-24.86,4.76,-14.23
MHH,2010-02-03,N,4.75,4.73,4.73,4.5,-5.26,4.59,-3.15,16,4.73,3.8,-20.0,3.82,-19.57
MHH,2010-04-28,N,4.32,4.3,4.36,4.3,0.92,4.34,0.46,23,4.36,3.3,-23.61,3.65,-15.5
MHH,2010-07-28,N,3.65,3.65,3.65,3.65,,3.65,,23,3.78,2.77,-24.1,3.37,-7.67
MHH,2010-10-27,N,3.56,3.7,3.7,3.69,3.93,3.69,3.65,23,3.75,3.02,-15.16,3.19,-10.39
MHH,2011-02-02,N,4.15,4.3,4.67,4.3,12.53,4.43,6.74,16,5.24,4.3,26.26,5.22,25.78
MHH,2011-04-27,N,4.34,4.26,4.26,3.95,-9.19,4.0,-8.04,23,4.26,3.14,-27.81,3.99,-8.27
MHH,2011-07-27,N,3.55,4.0,4.59,3.98,29.29,4.45,25.35,23,4.59,3.55,29.29,4.05,14.36
MHH,2011-10-19,N,3.35,3.47,4.0,3.47,19.4,3.6,7.46,2,4.0,3.47,19.4,3.65,8.95
MHH,2012-02-01,N,4.44,4.45,4.45,4.38,-1.35,4.45,0.22,16,5.45,4.25,22.74,5.35,20.49
MHH,2012-04-25,N,5.9,5.85,5.9,5.5,-6.77,5.5,-6.77,23,5.96,5.4,-8.47,5.4,-8.47
MHH,2012-07-25,N,5.79,5.71,5.71,5.6,-3.28,5.7,-1.55,23,5.71,4.67,-19.34,5.45,-5.87
MHH,2012-10-24,N,4.9,4.9,5.0,4.9,2.04,5.0,2.04,23,5.3,4.17,-14.89,5.04,2.85
MHH,2013-01-29,N,6.45,6.77,7.43,6.77,15.19,7.12,10.38,17,7.89,6.54,22.32,7.08,9.76
MHH,2013-04-24,N,7.79,7.56,7.86,6.62,-15.01,7.86,0.89,23,7.86,6.62,-15.01,7.75,-0.51
MHH,2013-07-24,N,7.68,8.52,9.48,8.49,23.43,9.48,23.43,23,11.5,8.49,49.73,11.0,43.22
MHH,2013-10-23,N,9.63,10.03,11.67,10.02,21.18,11.4,18.38,23,18.96,10.02,96.88,17.8,84.94
MHH,2014-01-29,N,13.51,13.52,14.1,13.39,4.36,14.1,4.36,23,14.64,13.22,8.36,13.9,2.88
MHH,2014-04-23,N,16.55,16.7,17.43,16.3,5.25,17.0,2.65,23,17.78,16.05,7.36,16.6,0.24
MHH,2014-07-24,N,12.78,12.66,13.31,12.66,4.14,12.8,0.15,22,13.31,10.5,-17.84,11.89,-6.96
MHH,2014-10-22,N,8.55,9.01,9.8,9.0,14.61,9.8,14.61,31,12.0,9.0,40.35,11.57,35.32
MHH,2015-01-28,N,11.25,11.0,11.0,10.46,-7.02,10.49,-6.75,23,11.0,8.52,-24.26,9.42,-16.26
MHH,2015-05-11,N,9.55,9.26,9.49,9.26,-3.03,9.33,-2.3,4,9.5,9.19,-3.76,9.28,-2.72
MHH,2015-07-29,N,7.95,8.0,8.58,8.0,7.92,8.23,3.52,23,8.67,7.68,9.05,7.81,-1.76
MHH,2015-10-28,N,7.86,8.51,8.61,8.19,9.54,8.19,4.32,23,8.61,7.65,9.54,7.87,0.12
MHH,2016-02-03,N,6.76,7.9,7.99,7.65,18.19,7.85,16.12,16,7.99,7.16,18.19,7.31,8.13
MHH,2016-04-27,N,7.7,7.3,7.3,6.65,-13.63,7.0,-9.09,23,7.3,6.6,-14.28,6.6,-14.28
MHH,2016-07-27,N,6.4,7.3,8.0,7.3,24.99,7.79,21.71,23,8.35,7.3,30.46,7.68,19.99
MHH,2016-10-26,N,7.88,7.9,7.9,7.37,-6.47,7.42,-5.83,23,7.9,6.62,-15.98,6.71,-14.84
MHH,2017-02-08,N,7.07,6.62,6.8,6.24,-11.73,6.25,-11.59,9,6.8,5.81,-17.82,6.27,-11.31
MHH,2017-04-26,N,7.46,7.44,7.45,6.93,-7.1,7.15,-4.15,23,7.45,6.69,-10.32,6.81,-8.71
MHH,2017-07-26,N,8.97,9.1,10.1,8.94,12.59,10.1,12.59,23,10.37,8.52,15.6,8.71,-2.89
MHH,2017-11-01,N,12.75,12.75,12.8,11.74,-7.92,12.0,-5.88,16,13.0,9.35,-26.66,9.65,-24.31
