Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MIST,2020-03-26,N,1.95,2.15,2.15,1.95,10.25,2.06,5.64,23,2.94,1.71,50.76,2.42,24.1
MIST,2020-05-05,N,3.35,3.25,3.64,3.22,8.65,3.37,0.59,11,3.74,2.91,-13.13,3.16,-5.67
MIST,2020-08-13,N,8.8,8.82,9.0,8.5,-3.4,8.74,-0.68,9,9.0,7.52,-14.54,7.76,-11.81
MIST,2020-11-13,N,6.2,6.2,6.46,6.18,4.19,6.34,2.25,8,6.73,6.18,8.54,6.71,8.22
MIST,2021-03-19,N,7.03,7.03,7.17,6.85,-2.56,7.05,0.28,1,7.17,6.85,-2.56,7.05,0.28
MIST,2021-03-29,N,6.2,6.3,6.3,5.73,-7.58,5.92,-4.51,21,6.3,5.12,-17.41,5.3,-14.51
MIST,2021-05-17,Y,5.6,5.62,5.74,5.45,-2.67,5.58,-0.35,4,5.74,5.39,-3.75,5.62,0.35
MIST,2021-11-11,Y,5.6,5.5,6.11,5.5,9.1,6.1,8.92,8,7.0,5.5,25.0,6.06,8.21
MIST,2022-05-16,N,5.4,5.4,5.59,5.19,-3.88,5.48,1.48,7,5.63,5.19,4.25,5.57,3.14
MIST,2022-11-10,N,4.09,4.18,4.54,4.1,11.0,4.48,9.53,9,4.95,4.1,21.02,4.57,11.73
MIST,2023-03-29,N,3.99,4.1,4.11,3.67,-8.02,3.9,-2.25,24,4.14,3.58,-10.27,4.02,0.75
