Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MIXT,2013-09-10,N,15.53,14.51,15.21,14.3,-7.92,14.74,-5.08,10,16.82,14.3,8.3,15.67,0.9
MIXT,2013-11-07,N,12.5,12.99,13.25,12.93,6.0,13.05,4.4,8,13.59,12.59,8.71,13.46,7.68
MIXT,2014-02-06,N,10.5,10.8,10.98,10.11,4.57,10.29,-2.0,15,13.65,10.11,30.0,12.9,22.85
MIXT,2014-06-05,N,9.82,10.0,11.94,9.69,21.58,9.9,0.81,15,11.94,9.11,21.58,10.09,2.74
MIXT,2014-08-07,N,10.07,10.11,10.11,9.39,-6.75,9.44,-6.15,8,10.11,9.02,-10.42,9.11,-9.53
MIXT,2014-11-06,N,8.6,8.74,8.8,8.43,2.32,8.44,-1.86,16,8.8,7.45,-13.37,8.03,-6.51
MIXT,2015-02-12,N,5.7,5.79,5.91,5.59,3.68,5.61,-1.57,8,6.16,5.59,8.07,5.85,2.63
MIXT,2015-05-28,N,6.81,6.85,7.24,6.75,6.31,7.24,6.31,22,8.13,6.75,19.38,8.05,18.2
MIXT,2015-08-06,N,6.97,6.96,7.09,6.9,1.72,6.9,-1.0,15,7.15,5.85,-16.06,6.0,-13.91
MIXT,2015-11-05,N,5.55,5.5,5.59,5.22,-5.94,5.25,-5.4,15,5.62,4.96,-10.63,5.03,-9.36
MIXT,2016-02-04,N,3.83,3.8,3.92,3.8,2.34,3.86,0.78,15,3.93,3.33,-13.05,3.54,-7.57
MIXT,2016-05-26,N,4.53,4.75,4.91,4.5,8.38,4.81,6.18,22,5.28,4.5,16.55,4.67,3.09
MIXT,2016-08-04,N,5.83,5.85,5.85,5.18,-11.14,5.52,-5.31,15,5.85,5.03,-13.72,5.21,-10.63
MIXT,2016-11-03,N,6.01,6.0,6.19,6.0,2.99,6.07,0.99,15,6.85,5.8,13.97,6.0,-0.16
MIXT,2017-02-02,N,7.0,6.99,7.67,6.99,9.57,7.59,8.42,15,8.14,6.99,16.28,7.37,5.28
MIXT,2017-05-25,N,6.06,6.66,6.95,6.5,14.68,6.92,14.19,22,8.08,6.5,33.33,8.03,32.67
MIXT,2017-08-03,N,8.24,8.25,8.83,8.25,7.16,8.75,6.18,15,9.27,8.25,12.62,9.27,12.49
MIXT,2017-11-02,N,10.02,10.7,10.84,10.21,8.07,10.5,4.68,15,11.81,10.21,17.74,11.74,17.04
MIXT,2020-01-30,N,14.9,14.85,14.85,13.77,-7.58,13.85,-7.04,23,14.85,12.91,-13.35,13.78,-7.51
MIXT,2020-05-28,N,9.16,9.9,9.9,8.26,-9.82,8.61,-6.0,23,10.09,8.23,10.15,9.29,1.41
MIXT,2020-07-30,N,9.34,9.93,10.35,9.56,10.81,10.13,8.45,23,10.35,9.32,10.81,9.52,1.92
MIXT,2020-10-29,N,8.2,8.22,8.71,8.22,6.21,8.49,3.53,23,10.34,8.0,26.09,9.96,21.46
MIXT,2021-01-28,N,13.68,13.81,14.0,13.41,2.33,13.7,0.14,23,15.0,13.41,9.64,14.88,8.77
MIXT,2021-05-27,N,13.97,14.27,14.62,14.23,4.65,14.41,3.14,23,16.66,13.71,19.25,13.89,-0.57
MIXT,2021-07-29,N,13.67,13.47,13.8,13.47,-1.46,13.78,0.8,23,14.75,12.55,-8.19,12.55,-8.19
MIXT,2021-10-28,N,12.86,12.86,13.09,12.51,-2.72,12.51,-2.72,23,13.09,11.42,-11.19,11.71,-8.94
MIXT,2022-02-03,N,12.25,12.01,12.44,12.01,-1.95,12.42,1.38,16,12.7,11.43,-6.69,11.5,-6.12
MIXT,2022-05-26,N,9.98,9.48,10.38,9.4,-5.81,10.06,0.8,23,10.67,8.11,-18.73,8.28,-17.03
MIXT,2022-07-28,N,7.2,7.07,7.56,6.88,4.99,7.5,4.16,23,8.61,6.88,19.58,8.29,15.13
MIXT,2023-01-26,N,7.22,7.44,8.36,7.32,15.78,8.06,11.63,23,9.17,7.29,27.0,8.19,13.43
