Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MKSI,2002-02-05,Y,22.75,23.3,24.58,23.26,8.04,24.02,5.58,10,27.38,23.26,20.35,26.74,17.53
MKSI,2002-04-16,Y,38.04,37.81,38.94,37.52,2.33,37.75,-0.78,3,38.94,34.65,-8.93,35.7,-6.17
MKSI,2002-07-30,Y,17.5,17.61,17.61,16.89,-3.48,17.0,-2.85,17,17.61,13.1,-25.14,14.13,-19.25
MKSI,2002-10-16,Y,9.42,9.75,9.94,8.82,-6.36,8.98,-4.67,2,10.02,8.41,-10.72,9.94,5.52
MKSI,2003-02-04,Y,12.0,12.6,14.21,12.5,18.41,13.05,8.75,17,14.21,12.5,18.41,14.0,16.66
MKSI,2003-07-22,Y,22.85,22.95,23.96,22.7,4.85,23.5,2.84,24,23.96,20.09,-12.07,22.48,-1.61
MKSI,2003-10-21,Y,22.46,21.77,22.13,21.31,-5.12,21.98,-2.13,31,29.04,20.36,29.29,26.12,16.29
MKSI,2004-02-03,Y,22.32,23.19,23.25,21.66,4.16,22.8,2.15,17,26.26,21.66,17.65,24.83,11.24
MKSI,2004-04-20,Y,20.95,22.7,22.9,21.28,9.3,22.28,6.34,31,22.9,18.62,-11.12,20.58,-1.76
MKSI,2004-07-20,Y,17.39,15.4,15.4,13.25,-23.8,13.34,-23.28,31,15.4,12.44,-28.46,13.97,-19.66
MKSI,2004-10-19,Y,15.05,14.36,16.16,14.36,7.37,15.18,0.86,31,17.41,14.36,15.68,16.76,11.36
MKSI,2005-02-10,Y,17.11,18.6,18.7,17.84,9.29,18.1,5.78,8,18.7,17.57,9.29,18.04,5.43
MKSI,2005-04-26,Y,14.93,14.97,15.21,14.48,-3.01,14.83,-0.66,24,16.8,13.96,12.52,16.39,9.84
MKSI,2005-07-26,Y,19.05,18.55,18.97,18.5,-2.88,18.82,-1.15,24,19.32,17.14,-10.02,18.48,-2.93
MKSI,2005-10-27,N,17.98,17.7,17.75,17.36,-3.44,17.43,-3.05,22,19.35,17.02,7.61,19.16,6.56
MKSI,2006-02-16,N,22.4,23.73,23.73,22.17,5.93,22.42,0.08,1,23.75,22.17,6.02,23.2,3.57
MKSI,2006-04-27,N,24.09,24.54,24.97,23.93,3.65,23.97,-0.49,22,24.97,20.81,-13.61,21.38,-11.24
MKSI,2006-07-27,N,18.64,19.64,23.6,19.64,26.54,20.99,12.54,22,23.6,18.76,26.54,20.91,12.11
MKSI,2006-10-26,N,21.6,21.9,23.0,21.48,6.48,22.29,3.19,22,23.0,19.98,-7.5,21.0,-2.77
MKSI,2007-02-15,N,23.31,24.2,25.23,23.83,8.23,24.4,4.67,1,25.23,23.83,8.23,24.04,3.13
MKSI,2007-04-26,N,27.17,27.07,28.08,26.72,3.34,27.78,2.24,22,28.08,25.55,-5.96,26.71,-1.69
MKSI,2007-07-26,N,26.68,22.7,25.45,22.53,-15.55,23.9,-10.41,22,25.45,19.5,-26.91,22.97,-13.9
MKSI,2007-10-25,N,19.98,19.59,19.7,18.91,-5.4,19.26,-3.65,22,20.23,16.94,-15.25,17.73,-11.3
MKSI,2008-02-07,N,17.89,19.25,21.31,18.66,19.11,19.84,10.89,8,21.31,18.66,19.11,20.14,12.63
MKSI,2008-04-24,N,22.07,21.64,24.65,21.63,11.69,24.48,10.91,22,25.75,21.63,16.67,25.27,14.49
MKSI,2008-07-24,N,24.4,20.86,21.25,19.73,-19.13,20.92,-14.26,22,23.87,19.71,-19.22,23.35,-4.3
MKSI,2008-10-22,N,16.2,15.01,16.11,14.51,-10.43,15.38,-5.06,30,19.19,11.76,-27.4,12.82,-20.86
