Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MLAB,2008-02-11,Y,23.13,23.3,24.0,22.01,-4.84,22.4,-3.15,4,24.0,21.06,-8.94,23.09,-0.17
MLAB,2008-05-19,Y,23.25,20.52,22.91,20.27,-12.81,21.0,-9.67,32,24.49,19.95,-14.19,23.55,1.29
MLAB,2008-08-12,Y,22.0,22.0,22.0,22.0,,22.0,,3,22.0,20.05,-8.86,21.01,-4.49
MLAB,2008-11-10,Y,18.05,18.7,18.71,18.7,3.59,18.71,3.59,11,19.16,16.61,-8.02,18.25,1.05
MLAB,2009-02-10,Y,19.95,19.75,20.0,19.75,-1.0,19.98,0.2,10,20.25,17.57,-11.92,18.0,-9.77
MLAB,2009-05-26,N,20.1,20.25,20.25,19.29,-4.02,19.29,-4.02,24,22.3,19.29,10.94,22.3,10.94
MLAB,2009-08-14,Y,22.97,22.27,22.28,21.18,-7.79,22.27,-3.04,7,22.28,21.18,-7.79,22.27,-3.04
MLAB,2009-11-12,N,24.26,24.15,24.3,24.15,-0.45,24.3,0.16,8,24.55,24.15,1.19,24.4,0.57
MLAB,2010-02-11,Y,27.25,27.02,27.43,26.8,-1.65,26.81,-1.61,8,27.43,26.72,-1.94,27.0,-0.91
MLAB,2010-05-25,Y,23.55,23.54,23.54,22.95,-2.54,22.95,-2.54,24,25.82,22.8,9.63,24.9,5.73
MLAB,2010-08-16,N,21.55,22.45,23.0,21.43,6.72,22.05,2.32,4,23.74,21.43,10.16,22.5,4.4
MLAB,2010-11-10,Y,25.81,25.96,25.96,25.5,-1.2,25.5,-1.2,9,26.25,25.15,-2.55,25.98,0.65
MLAB,2011-02-14,N,28.1,28.49,29.5,28.21,4.98,29.05,3.38,4,30.45,28.21,8.36,30.45,8.36
MLAB,2011-06-08,Y,29.35,30.0,30.43,29.94,3.67,30.43,3.67,9,32.0,29.94,9.02,31.48,7.25
MLAB,2011-08-10,Y,34.25,33.26,34.24,33.26,-2.89,34.22,-0.05,9,34.24,33.15,-3.21,33.29,-2.8
MLAB,2011-11-09,Y,36.36,37.43,38.5,37.43,5.85,38.33,5.38,9,39.6,37.43,8.88,39.35,8.19
MLAB,2012-02-08,N,46.94,48.77,48.77,47.11,3.89,47.84,1.91,9,49.55,46.9,5.56,49.3,5.02
MLAB,2012-05-23,N,46.56,46.97,46.98,45.56,-2.14,46.95,0.83,23,47.95,37.93,-18.53,44.24,-4.98
MLAB,2012-06-29,N,44.14,44.4,45.63,44.4,3.37,45.63,3.37,21,47.06,39.26,-11.05,45.27,2.56
MLAB,2012-11-08,Y,45.04,45.31,45.59,45.13,1.22,45.52,1.06,8,47.49,45.03,5.43,47.05,4.46
MLAB,2013-02-05,Y,52.06,51.58,51.82,50.84,-2.34,51.63,-0.82,10,52.38,50.63,-2.74,51.75,-0.59
MLAB,2013-11-04,Y,67.88,67.0,67.0,64.95,-4.31,65.73,-3.15,11,72.64,64.95,7.01,71.58,5.45
MLAB,2014-02-03,Y,80.2,80.7,80.79,77.55,-3.3,80.09,-0.12,18,95.2,77.51,18.7,93.83,16.99
MLAB,2014-06-02,Y,78.22,78.22,78.22,76.25,-2.51,76.8,-1.81,18,89.9,75.23,14.93,87.49,11.85
MLAB,2014-08-06,Y,75.25,75.3,77.18,73.8,2.56,73.8,-1.92,9,77.18,71.02,-5.62,71.45,-5.04
MLAB,2014-11-03,N,76.37,76.84,81.93,76.84,7.28,81.5,6.71,19,84.95,72.02,11.23,73.69,-3.5
MLAB,2015-02-02,N,76.17,77.0,79.98,72.97,5.0,75.14,-1.35,18,79.98,72.97,5.0,73.33,-3.72
MLAB,2015-06-01,N,88.26,88.78,89.0,86.66,-1.81,89.0,0.83,18,92.8,86.66,5.14,89.96,1.92
MLAB,2015-08-04,Y,117.36,112.02,118.97,112.02,-4.55,118.17,0.69,17,121.95,109.05,-7.08,110.72,-5.65
MLAB,2015-11-02,N,111.85,111.45,112.95,110.13,-1.53,111.49,-0.32,18,116.58,105.66,-5.53,108.86,-2.67
MLAB,2016-02-02,N,103.45,100.2,103.65,95.19,-7.98,101.11,-2.26,17,106.0,77.0,-25.56,98.35,-4.92
MLAB,2016-06-02,N,101.57,105.2,116.88,105.2,15.07,112.75,11.0,15,131.88,105.2,29.84,122.28,20.38
MLAB,2016-07-28,N,120.85,121.0,123.3,117.0,-3.18,119.55,-1.07,22,123.3,102.14,-15.48,104.45,-13.57
MLAB,2016-11-02,N,121.4,113.4,126.46,113.4,-6.58,121.62,0.18,16,134.34,109.14,10.65,131.29,8.14
MLAB,2017-02-01,N,119.14,119.25,119.9,119.01,0.63,119.5,0.3,16,128.01,118.05,7.44,123.02,3.25
MLAB,2017-06-06,Y,163.87,163.11,165.84,156.81,-4.3,159.16,-2.86,10,165.84,134.69,-17.8,141.69,-13.52
MLAB,2017-08-02,N,146.56,145.85,147.52,138.8,-5.29,143.96,-1.77,16,148.93,127.82,-12.78,129.97,-11.31
MLAB,2017-11-06,N,157.91,157.0,157.5,135.05,-14.47,138.41,-12.34,11,157.5,122.5,-22.42,133.4,-15.52
