Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MMP,2002-01-28,N,10.68,10.78,10.95,10.75,2.52,10.82,1.31,18,10.95,8.38,-21.53,9.21,-13.76
MMP,2002-04-25,N,10.28,10.25,10.29,10.22,-0.58,10.26,-0.19,22,10.6,10.08,3.11,10.11,-1.65
MMP,2002-07-29,N,7.24,7.56,8.0,7.55,10.49,7.76,7.18,18,8.6,7.55,18.78,8.58,18.5
MMP,2002-10-29,N,8.48,8.72,8.72,8.44,2.83,8.55,0.82,17,8.72,7.64,-9.9,7.76,-8.49
MMP,2003-01-27,N,8.86,8.8,8.94,8.61,-2.82,8.94,1.01,25,9.08,8.32,-6.09,9.06,2.25
MMP,2003-04-28,N,10.1,10.16,10.44,10.16,3.36,10.37,2.67,18,11.0,10.11,8.91,10.98,8.71
MMP,2003-07-28,N,12.06,12.09,12.15,12.0,0.74,12.04,-0.16,18,12.15,10.18,-15.58,11.05,-8.37
MMP,2003-10-27,N,11.89,12.04,12.2,12.04,2.6,12.08,1.59,25,14.04,11.91,18.08,13.16,10.68
MMP,2004-01-29,N,12.83,12.88,12.88,12.88,0.38,12.88,0.38,22,13.04,12.42,-3.19,12.79,-0.31
MMP,2004-04-27,N,13.22,13.5,13.5,13.35,2.11,13.44,1.66,24,13.69,11.65,-11.87,11.89,-10.06
MMP,2004-07-27,N,12.99,13.0,13.27,12.99,2.15,13.24,1.92,24,13.71,12.44,5.54,12.68,-2.38
MMP,2004-10-28,N,13.78,13.81,14.02,13.65,1.74,13.78,,22,14.62,13.5,6.09,14.57,5.73
MMP,2005-02-02,N,15.45,15.54,15.62,15.5,1.1,15.62,1.1,16,15.75,15.0,-2.91,15.02,-2.78
MMP,2005-04-27,N,15.72,15.78,15.78,15.62,-0.63,15.66,-0.38,23,16.8,15.47,6.87,15.66,-0.38
MMP,2005-07-27,N,17.32,17.28,17.48,17.14,-1.03,17.45,0.75,23,17.72,15.6,-9.93,16.36,-5.54
MMP,2005-10-27,N,17.0,17.01,17.05,16.67,-1.94,16.75,-1.47,22,17.05,15.8,-7.05,16.14,-5.05
MMP,2006-01-24,N,16.26,16.32,16.53,16.3,1.66,16.52,1.59,24,16.75,15.3,-5.9,15.85,-2.52
MMP,2006-04-28,N,16.7,16.94,17.09,16.73,2.33,16.98,1.67,21,17.5,16.34,4.79,16.63,-0.41
MMP,2006-07-27,N,17.25,17.39,17.64,17.39,2.26,17.54,1.68,22,18.16,17.39,5.27,18.12,5.04
MMP,2006-11-01,N,19.54,19.36,19.5,19.12,-2.14,19.26,-1.43,16,19.5,18.3,-6.34,19.3,-1.22
MMP,2007-01-31,N,20.05,20.09,21.05,20.09,4.98,20.9,4.23,16,21.75,20.09,8.47,20.94,4.43
