Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MNKD,2004-09-01,Y,14.4,14.4,15.0,14.16,4.16,14.54,0.97,16,18.6,14.16,29.16,18.19,26.31
MNKD,2004-11-03,Y,17.47,17.62,17.64,16.7,-4.4,17.3,-0.97,16,18.55,15.29,-12.47,15.39,-11.9
MNKD,2005-02-03,N,14.75,14.7,14.89,14.25,-3.38,14.25,-3.38,15,16.0,13.57,8.47,14.19,-3.79
MNKD,2005-05-06,N,14.09,13.71,13.96,13.27,-5.81,13.57,-3.69,14,13.96,11.58,-17.81,12.24,-13.12
MNKD,2005-07-28,N,8.93,8.84,9.61,8.72,7.61,8.78,-1.56,22,11.9,8.42,33.25,10.97,22.84
MNKD,2005-10-24,N,11.7,11.65,12.21,11.3,4.35,12.02,2.73,25,12.21,10.6,-9.4,12.11,3.5
MNKD,2006-02-06,N,17.71,17.96,18.0,17.0,-4.0,17.16,-3.1,11,18.0,15.06,-14.96,16.85,-4.85
MNKD,2006-05-05,Y,19.91,19.75,20.05,19.62,-1.45,19.96,0.25,14,20.05,17.1,-14.11,17.73,-10.94
MNKD,2006-08-03,N,18.38,18.14,18.5,17.91,-2.55,18.48,0.54,15,18.82,15.5,-15.66,16.89,-8.1
MNKD,2006-11-02,N,19.35,18.92,18.92,16.43,-15.09,17.18,-11.21,15,18.92,16.43,-15.09,17.8,-8.01
MNKD,2007-02-02,N,16.87,16.57,16.96,16.12,-4.44,16.13,-4.38,14,17.05,15.34,-9.06,16.64,-1.3
MNKD,2007-05-11,N,13.41,13.51,13.93,13.26,3.87,13.32,-0.67,7,13.93,12.01,-10.43,12.26,-8.57
MNKD,2007-08-09,Y,10.08,10.0,10.16,9.05,-10.21,9.42,-6.54,8,10.16,8.17,-18.94,9.4,-6.74
MNKD,2007-11-07,N,9.21,9.02,9.3,8.6,-6.62,8.92,-3.14,9,9.64,8.48,-7.92,8.52,-7.49
MNKD,2008-03-04,N,6.57,6.76,7.2,6.5,9.58,6.97,6.08,17,7.2,4.25,-35.31,5.14,-21.76
MNKD,2008-05-05,Y,2.54,2.65,2.66,2.48,4.31,2.58,1.17,11,3.24,2.29,27.05,2.93,14.9
MNKD,2008-08-11,Y,3.79,3.52,3.81,3.29,-13.19,3.81,0.52,4,4.0,3.29,-13.19,3.5,-7.65
MNKD,2008-11-05,N,3.51,3.6,3.65,3.37,3.98,3.38,-3.7,16,3.84,2.88,-17.94,3.48,-0.85
MNKD,2009-02-17,Y,3.44,3.46,3.49,3.36,-2.32,3.36,-2.32,3,3.49,2.75,-20.05,2.82,-18.02
MNKD,2009-05-04,N,4.01,4.05,4.25,4.05,5.98,4.15,3.49,11,7.5,4.05,87.03,5.83,45.38
MNKD,2009-08-03,Y,8.23,8.19,8.3,8.02,-2.55,8.13,-1.21,18,8.3,6.8,-17.37,7.59,-7.77
MNKD,2009-11-02,Y,5.3,5.7,5.93,5.5,11.88,5.82,9.81,18,7.39,5.47,39.43,6.88,29.81
MNKD,2010-02-01,Y,10.14,9.8,9.94,9.11,-10.15,9.6,-5.32,18,10.17,8.33,-17.85,10.1,-0.39
MNKD,2010-04-30,N,7.0,7.0,7.19,6.75,-3.57,6.95,-0.71,21,7.3,4.82,-31.14,4.95,-29.28
MNKD,2010-08-02,N,6.91,7.02,7.36,6.92,6.51,7.02,1.59,18,7.36,5.75,-16.78,5.94,-14.03
MNKD,2010-10-29,N,6.4,6.52,6.55,6.28,2.34,6.38,-0.31,21,6.57,5.07,-20.78,6.01,-6.09
MNKD,2011-02-10,Y,5.05,4.5,4.51,3.76,-25.69,3.79,-25.09,8,4.51,3.4,-32.8,3.86,-23.71
MNKD,2011-05-09,Y,4.4,3.76,3.95,3.75,-14.77,3.86,-12.27,11,4.16,3.75,-14.77,4.0,-9.09
MNKD,2011-08-04,Y,2.71,2.75,2.82,2.6,4.05,2.67,-1.47,15,3.14,2.2,-18.81,2.4,-11.43
MNKD,2011-11-03,Y,3.1,3.1,3.13,3.01,-2.9,3.01,-2.9,15,3.33,2.93,7.41,3.04,-1.93
MNKD,2012-02-22,Y,2.18,2.25,2.31,2.18,5.96,2.23,2.29,23,2.45,2.16,12.38,2.33,6.88
MNKD,2012-05-09,Y,2.06,2.04,2.06,1.91,-7.28,1.95,-5.33,9,2.06,1.56,-24.27,1.6,-22.33
MNKD,2012-08-07,N,2.19,2.17,2.27,2.04,-6.84,2.08,-5.02,10,2.37,2.02,8.21,2.35,7.3
MNKD,2012-11-01,Y,1.93,1.99,2.02,1.93,4.66,1.98,2.59,15,2.09,1.88,8.29,1.88,-2.59
MNKD,2013-02-11,Y,2.56,2.56,2.61,2.43,-5.07,2.46,-3.51,4,2.61,2.43,-5.07,2.48,-3.12
MNKD,2013-05-09,Y,3.98,4.09,4.44,4.08,11.55,4.43,11.3,8,5.45,4.08,36.93,5.19,30.4
MNKD,2013-08-09,Y,7.47,7.51,7.58,7.0,-6.29,7.1,-4.95,7,8.69,5.72,-23.42,5.77,-22.75
MNKD,2013-11-04,Y,4.53,4.58,5.09,4.2,12.36,5.09,12.58,11,5.28,4.2,16.55,5.05,11.47
MNKD,2014-02-18,Y,5.64,5.79,6.18,5.7,9.57,5.91,4.78,3,6.18,5.7,9.57,6.02,6.73
MNKD,2014-05-12,Y,6.33,6.39,6.67,6.35,5.37,6.58,3.94,4,7.24,6.35,14.37,7.02,10.9
MNKD,2014-08-11,Y,8.52,8.28,8.27,7.22,-15.35,7.48,-12.3,4,8.27,6.66,-21.92,6.86,-19.57
MNKD,2014-11-03,Y,5.92,5.81,6.21,5.7,4.89,5.92,,19,6.65,4.98,-15.87,6.16,4.05
MNKD,2015-02-24,Y,6.72,6.72,7.0,6.65,4.16,6.91,2.82,24,7.0,5.13,-23.66,5.26,-21.72
MNKD,2015-05-07,Y,4.01,3.97,4.01,3.52,-12.43,3.81,-5.22,8,4.12,3.46,-13.93,4.0,-0.49
MNKD,2015-08-10,N,3.98,4.26,4.47,3.96,12.31,4.04,1.5,11,4.47,3.57,12.31,3.79,-4.77
MNKD,2015-11-09,Y,2.63,2.35,2.42,2.2,-16.34,2.29,-12.54,11,3.02,1.76,-33.07,2.46,-6.08
MNKD,2016-03-14,Y,1.39,1.19,1.46,1.1,-20.86,1.41,1.43,4,2.18,1.1,56.83,2.0,43.88
MNKD,2016-05-09,Y,1.32,1.07,1.08,0.94,-28.78,0.95,-28.03,11,1.08,0.85,-35.6,0.91,-31.06
MNKD,2016-08-08,Y,1.0,0.98,0.98,0.9,-9.99,0.92,-7.99,11,1.01,0.9,-9.99,0.98,-2.0
MNKD,2016-11-09,Y,0.47,0.56,0.67,0.55,42.55,0.62,31.91,9,0.68,0.55,44.68,0.62,31.91
MNKD,2017-03-16,Y,2.06,2.06,2.35,1.93,13.52,2.22,7.24,1,2.35,1.93,13.52,2.22,7.24
MNKD,2017-05-10,Y,1.6,1.32,1.48,1.13,-28.75,1.28,-20.0,9,1.48,1.01,-36.87,1.13,-29.37
MNKD,2017-08-07,Y,1.17,1.11,1.22,1.08,-7.69,1.14,-1.7,11,1.53,1.09,30.76,1.46,24.78
MNKD,2017-11-07,Y,3.25,2.91,3.14,2.77,-14.76,3.0,-7.69,10,3.68,2.77,-14.76,3.26,0.3
MNKD,2018-02-27,Y,3.16,2.95,3.15,2.86,-9.49,2.93,-7.27,17,3.15,2.53,-19.93,2.6,-17.72
MNKD,2018-05-09,Y,1.79,1.7,1.79,1.61,-10.05,1.77,-1.11,9,2.03,1.61,13.4,2.0,11.73
MNKD,2018-08-02,Y,1.5,1.5,1.54,0.99,-34.0,1.15,-23.33,15,1.54,0.98,-34.66,1.07,-28.66
MNKD,2018-11-01,N,1.83,1.9,1.97,1.75,7.65,1.92,4.91,16,1.97,1.74,7.65,1.8,-1.63
MNKD,2019-02-26,N,1.51,1.57,1.8,1.51,19.2,1.76,16.55,18,2.3,1.51,52.31,2.2,45.69
MNKD,2019-05-07,N,1.55,1.54,1.54,1.42,-8.38,1.45,-6.45,11,1.54,1.19,-23.22,1.27,-18.06
MNKD,2019-08-07,Y,1.12,1.19,1.19,1.07,6.24,1.07,-4.46,9,1.19,1.02,-8.92,1.09,-2.67
MNKD,2020-02-25,N,1.52,1.52,1.55,1.3,-14.47,1.35,-11.18,25,1.55,0.8,-47.36,1.01,-33.55
MNKD,2020-05-06,Y,1.32,1.34,1.38,1.3,4.54,1.31,-0.75,9,1.38,1.14,-13.63,1.22,-7.57
MNKD,2020-08-05,Y,1.86,1.64,1.72,1.6,-13.97,1.66,-10.75,16,2.12,1.52,-18.27,1.74,-6.45
MNKD,2020-11-04,Y,2.07,1.98,2.27,1.97,9.66,2.23,7.72,16,3.2,1.97,54.58,2.9,40.09
MNKD,2021-02-25,N,5.98,6.01,6.18,5.59,-6.52,5.61,-6.18,23,6.18,3.14,-47.49,3.72,-37.79
MNKD,2021-05-12,Y,4.02,3.97,4.22,3.91,4.97,4.03,0.24,9,4.39,3.91,9.2,4.24,5.47
MNKD,2021-08-11,Y,3.99,3.98,4.12,3.78,-5.26,4.09,2.5,9,4.31,3.78,8.02,4.22,5.76
MNKD,2021-11-09,Y,4.8,4.95,5.24,4.74,9.16,4.81,0.2,10,5.24,4.64,9.16,4.75,-1.04
MNKD,2022-02-24,Y,2.91,2.86,2.89,2.68,-7.9,2.72,-6.52,22,3.73,2.49,28.17,3.58,23.02
MNKD,2022-05-05,Y,3.07,2.91,3.14,2.89,-5.86,2.95,-3.9,15,3.71,2.61,20.84,3.68,19.86
MNKD,2022-08-09,Y,4.09,3.98,4.43,3.95,8.31,4.29,4.88,10,4.43,3.79,8.31,3.92,-4.15
MNKD,2022-11-08,N,3.63,3.71,3.9,3.66,7.43,3.81,4.95,11,4.51,3.66,24.24,4.2,15.7
MNKD,2023-02-23,Y,5.22,5.2,5.65,5.18,8.23,5.41,3.63,22,5.73,3.99,-23.56,4.07,-22.03
