Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MNRO,2003-05-29,Y,7.29,7.28,7.53,7.27,3.29,7.47,2.46,22,8.74,7.27,19.89,8.41,15.36
MNRO,2003-07-24,N,8.67,8.68,9.17,8.67,5.76,8.77,1.15,22,9.48,8.19,9.34,8.97,3.46
MNRO,2003-10-16,N,8.75,8.86,8.85,8.61,-1.6,8.76,0.11,1,8.98,8.61,2.62,8.98,2.62
MNRO,2004-01-15,N,10.8,10.45,10.96,10.07,-6.75,10.42,-3.51,1,10.96,10.07,-6.75,10.47,-3.05
MNRO,2004-05-20,N,10.11,10.06,10.73,10.06,6.13,10.73,6.13,1,10.73,10.06,6.13,10.73,6.13
MNRO,2004-07-15,N,9.67,9.6,9.6,8.35,-13.65,9.39,-2.89,1,9.63,8.35,-13.65,9.53,-1.34
MNRO,2004-10-14,Y,10.66,10.65,10.71,10.4,-2.43,10.71,0.46,1,10.71,10.4,-2.43,10.71,0.46
MNRO,2005-01-18,N,10.74,11.01,11.31,10.39,5.3,11.01,2.51,3,11.32,10.39,5.4,10.77,0.27
MNRO,2005-05-24,Y,11.89,11.78,11.96,11.64,-2.1,11.67,-1.85,24,13.24,11.48,11.35,12.98,9.16
MNRO,2005-07-14,N,13.6,13.78,13.78,12.38,-8.97,12.89,-5.22,1,13.78,12.38,-8.97,13.15,-3.3
MNRO,2005-10-18,N,12.13,12.22,12.22,11.78,-2.88,12.13,,3,12.78,11.78,5.35,12.51,3.13
MNRO,2006-01-17,N,13.76,14.12,14.62,13.56,6.24,14.42,4.79,3,15.13,13.56,9.95,14.68,6.68
MNRO,2006-05-23,Y,15.56,15.36,15.64,15.28,-1.79,15.58,0.12,24,16.32,14.34,-7.84,15.17,-2.5
MNRO,2006-07-18,Y,13.79,13.92,14.2,13.72,2.97,13.9,0.79,3,14.2,13.4,2.97,13.78,-0.07
MNRO,2006-10-17,Y,16.42,16.26,16.57,16.22,-1.21,16.57,0.97,3,16.78,16.22,2.19,16.57,0.97
MNRO,2007-01-16,Y,16.69,16.69,16.72,15.78,-5.45,15.83,-5.15,3,16.72,15.51,-7.07,15.94,-4.49
MNRO,2007-05-22,Y,17.02,17.02,17.17,16.68,-1.99,16.8,-1.23,24,17.32,16.14,-5.17,17.07,0.35
MNRO,2007-07-26,Y,15.59,15.49,15.69,14.98,-3.91,14.98,-3.91,22,17.43,14.71,11.8,16.87,8.21
MNRO,2007-10-23,N,14.4,14.82,14.82,14.24,2.91,14.4,0.0,24,14.82,13.28,-7.77,13.75,-4.51
MNRO,2008-01-24,Y,12.01,12.24,12.26,11.27,-6.16,11.5,-4.24,22,12.66,10.71,-10.82,11.57,-3.66
MNRO,2008-05-29,Y,12.17,12.23,12.42,11.86,-2.54,12.35,1.47,22,12.57,10.19,-16.26,10.37,-14.79
MNRO,2008-07-24,Y,11.69,11.81,12.83,11.67,9.75,12.43,6.33,22,14.61,11.38,24.97,14.45,23.6
MNRO,2008-10-21,Y,13.79,13.75,14.29,13.43,3.62,13.97,1.3,31,14.67,10.17,-26.25,11.66,-15.44
MNRO,2009-01-22,Y,15.65,15.34,15.76,15.33,-2.04,15.67,0.12,29,17.23,15.33,10.09,16.57,5.87
MNRO,2009-05-28,N,17.95,18.13,18.13,16.45,-8.35,17.29,-3.67,22,18.47,15.29,-14.81,15.52,-13.53
MNRO,2009-07-23,N,18.37,18.61,18.84,17.88,-2.66,18.43,0.32,29,19.07,16.0,-12.9,17.35,-5.55
MNRO,2009-10-26,N,21.54,22.71,22.84,20.85,6.03,21.11,-1.99,25,22.84,19.47,-9.61,19.98,-7.19
MNRO,2010-01-28,Y,23.07,23.15,23.4,22.67,-1.73,22.81,-1.12,22,23.53,21.85,-5.28,23.43,1.56
MNRO,2010-05-27,N,24.7,25.12,25.85,24.45,4.65,25.81,4.49,22,26.57,23.83,7.57,25.01,1.25
MNRO,2010-07-22,N,25.21,25.39,26.17,25.01,3.8,25.33,0.47,29,28.89,24.8,14.59,27.77,10.15
MNRO,2010-10-21,N,31.6,31.8,32.9,31.1,4.11,31.6,,29,33.63,31.1,6.42,32.63,3.25
MNRO,2011-01-25,N,32.04,32.01,32.97,31.55,2.87,32.47,1.31,24,34.94,31.55,9.01,33.04,3.12
MNRO,2011-05-17,N,29.28,29.02,32.78,28.7,11.95,31.85,8.77,3,32.78,28.7,11.95,30.84,5.32
MNRO,2011-07-21,N,37.04,35.78,38.27,34.51,-6.85,35.83,-3.29,29,38.27,32.81,-11.44,34.38,-7.2
MNRO,2011-10-20,N,34.02,33.51,35.89,32.5,5.49,35.33,3.85,1,36.67,32.5,7.78,36.08,6.05
MNRO,2012-01-24,Y,40.39,40.45,42.43,40.45,5.05,42.02,4.03,24,47.58,40.45,17.8,47.12,16.66
MNRO,2012-05-24,N,37.0,33.5,35.7,32.61,-11.86,33.86,-8.45,22,35.7,32.4,-12.43,32.95,-10.94
MNRO,2012-07-26,N,35.15,32.5,34.35,30.72,-12.6,33.93,-3.47,22,36.43,30.72,-12.6,36.17,2.9
MNRO,2012-10-25,N,32.97,32.35,34.35,31.65,4.18,33.92,2.88,22,35.11,31.26,6.49,32.06,-2.76
MNRO,2013-01-29,N,36.61,34.5,36.77,33.0,-9.88,36.03,-1.61,17,39.15,33.0,-9.88,37.26,1.74
MNRO,2013-05-21,N,44.11,44.37,50.22,44.37,13.85,47.28,7.18,31,50.66,44.37,14.84,48.16,9.18
MNRO,2013-07-25,N,48.2,46.37,46.37,42.9,-10.99,44.85,-6.95,22,46.37,42.65,-11.51,43.04,-10.7
MNRO,2013-10-24,N,46.78,46.1,48.13,44.27,-5.36,46.77,-0.02,22,49.33,44.27,5.45,49.26,5.3
MNRO,2014-01-28,N,55.29,55.31,56.74,54.53,2.62,54.98,-0.56,24,57.48,53.9,3.96,56.63,2.42
MNRO,2014-05-22,N,50.59,50.89,55.39,50.33,9.48,53.91,6.56,29,56.64,50.33,11.95,55.27,9.25
MNRO,2014-07-24,N,51.43,49.99,51.89,49.2,-4.33,51.23,-0.38,22,52.67,49.2,-4.33,51.16,-0.52
MNRO,2014-10-23,N,50.13,48.83,49.64,46.93,-6.38,48.14,-3.96,30,55.13,46.93,9.97,55.0,9.71
MNRO,2015-01-27,N,59.69,59.0,61.24,57.08,-4.37,58.47,-2.04,24,63.67,56.41,6.66,63.33,6.09
MNRO,2015-05-21,N,62.74,59.0,59.95,55.34,-11.79,59.03,-5.91,29,64.0,55.34,-11.79,63.03,0.46
MNRO,2015-07-23,N,62.02,62.51,64.0,61.6,3.19,61.85,-0.27,29,67.48,60.94,8.8,62.59,0.91
MNRO,2015-10-22,N,70.81,71.26,74.09,70.7,4.63,72.83,2.85,29,77.0,70.29,8.74,72.34,2.17
MNRO,2016-01-26,N,61.88,62.58,65.19,61.37,5.34,64.33,3.95,24,66.88,61.32,8.08,65.52,5.88
MNRO,2016-05-19,N,66.98,56.5,62.97,56.15,-16.16,62.07,-7.33,1,65.23,56.15,-16.16,62.66,-6.44
MNRO,2016-07-28,N,63.37,66.48,66.48,61.89,4.9,62.53,-1.32,22,66.48,55.85,-11.86,56.64,-10.62
MNRO,2016-10-20,N,59.0,57.95,59.05,55.25,-6.35,57.4,-2.71,1,59.05,55.25,-6.35,56.95,-3.47
MNRO,2017-02-01,N,59.9,57.1,58.4,55.65,-7.09,55.9,-6.67,16,59.4,53.95,-9.93,57.6,-3.83
MNRO,2017-05-18,N,50.0,51.0,53.0,49.4,6.0,52.25,4.5,2,53.0,49.4,6.0,50.35,0.7
MNRO,2017-07-20,N,42.4,42.9,47.95,42.9,13.08,45.1,6.36,2,48.65,42.9,14.74,48.35,14.03
MNRO,2017-10-24,N,50.15,48.15,51.0,46.8,-6.67,50.15,,25,51.0,46.8,-6.67,48.45,-3.38
MNRO,2018-01-30,N,60.85,56.75,59.05,53.5,-12.07,57.18,-6.03,18,59.05,50.9,-16.35,54.3,-10.76
MNRO,2018-05-21,N,56.1,55.0,57.3,51.45,-8.28,56.95,1.51,28,59.85,51.45,-8.28,58.65,4.54
MNRO,2018-07-26,N,67.25,64.85,67.46,63.65,-5.35,64.55,-4.01,23,71.85,63.05,6.84,70.35,4.6
MNRO,2018-10-25,N,65.79,68.72,75.29,67.01,14.43,73.95,12.4,23,79.03,67.01,20.12,76.24,15.88
MNRO,2019-01-31,N,71.74,70.02,72.17,63.86,-10.98,71.66,-0.11,16,81.48,63.86,13.57,77.21,7.62
MNRO,2019-05-21,N,80.72,79.55,85.8,78.05,6.29,84.07,4.15,32,89.62,78.05,11.02,87.68,8.62
MNRO,2019-07-25,N,82.27,79.4,84.61,79.4,-3.48,82.99,0.87,23,87.6,76.38,-7.15,78.95,-4.03
MNRO,2019-10-24,N,80.55,77.18,77.18,68.75,-14.64,68.85,-14.52,23,77.18,67.64,-16.02,72.33,-10.2
MNRO,2020-01-30,N,70.33,65.66,66.99,63.1,-10.28,64.63,-8.1,23,66.99,59.47,-15.44,60.42,-14.09
MNRO,2020-05-28,N,62.04,59.79,60.73,56.16,-9.47,57.57,-7.2,23,63.78,53.72,-13.41,56.56,-8.83
MNRO,2020-07-29,N,61.11,63.75,63.75,58.2,-4.76,60.17,-1.53,24,63.75,45.92,-24.85,46.5,-23.9
MNRO,2020-10-28,N,43.1,42.34,42.34,39.65,-8.0,40.6,-5.8,24,46.66,39.65,8.25,43.57,1.09
MNRO,2021-01-27,N,56.77,55.08,59.32,53.37,-5.98,59.21,4.29,24,65.17,53.37,14.79,63.59,12.01
MNRO,2021-05-20,N,65.98,65.72,65.75,61.43,-6.89,62.12,-5.85,2,65.75,61.43,-6.89,63.87,-3.19
MNRO,2021-07-28,N,63.61,62.9,62.9,56.5,-11.17,56.59,-11.03,24,62.9,53.7,-15.57,55.58,-12.62
MNRO,2021-10-27,N,58.19,55.04,62.53,55.04,7.45,61.78,6.16,24,64.72,55.04,11.22,60.11,3.29
MNRO,2022-01-26,N,57.89,57.36,57.36,52.77,-8.84,53.3,-7.92,24,57.36,43.62,-24.65,47.81,-17.41
MNRO,2022-05-19,N,43.65,40.0,41.04,38.78,-11.15,39.8,-8.82,2,41.04,37.49,-14.11,38.8,-11.11
MNRO,2022-07-27,N,45.78,46.31,47.85,45.74,4.52,47.69,4.17,24,53.99,45.74,17.93,50.73,10.81
