Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MNTV,2018-11-13,Y,11.29,11.95,13.45,11.0,19.13,12.77,13.1,3,14.27,11.0,26.39,14.15,25.33
MNTV,2019-02-13,Y,14.06,12.2,13.18,11.29,-19.7,11.85,-15.71,2,13.18,11.29,-19.7,12.35,-12.16
MNTV,2019-05-08,Y,17.73,18.25,18.3,17.45,3.21,17.75,0.11,9,18.3,15.74,-11.22,17.03,-3.94
MNTV,2019-08-01,Y,16.51,19.0,19.82,18.14,20.04,19.47,17.92,15,19.82,16.92,20.04,17.4,5.39
MNTV,2020-02-13,Y,18.45,20.1,22.03,20.1,19.4,21.81,18.21,8,22.27,20.1,20.7,20.77,12.57
MNTV,2020-05-07,Y,16.99,18.35,20.2,18.12,18.89,18.47,8.71,8,20.2,17.71,18.89,19.17,12.83
MNTV,2020-08-06,Y,24.69,24.15,25.29,22.65,-8.26,22.97,-6.96,15,25.29,21.13,-14.41,23.4,-5.22
MNTV,2020-11-05,N,22.12,21.92,23.03,21.33,4.11,22.52,1.8,16,23.03,20.28,-8.31,20.87,-5.65
MNTV,2021-02-11,Y,27.48,24.02,24.18,22.22,-19.14,23.8,-13.39,8,24.26,20.58,-25.1,21.82,-20.59
MNTV,2021-05-06,Y,17.01,18.76,20.2,17.83,18.75,18.49,8.7,15,20.2,17.28,18.75,19.18,12.75
MNTV,2021-08-04,Y,20.74,20.88,21.47,20.57,3.51,21.38,3.08,16,21.71,18.9,-8.87,19.46,-6.17
MNTV,2021-11-09,N,22.34,22.05,22.65,22.05,1.38,22.23,-0.49,11,23.48,21.98,5.1,22.09,-1.11
MNTV,2022-02-10,Y,16.22,17.1,17.82,15.67,9.86,16.03,-1.17,8,17.82,15.36,9.86,15.97,-1.54
MNTV,2022-05-04,Y,14.33,15.6,15.7,14.77,9.56,15.06,5.09,16,15.7,10.89,-24.0,11.95,-16.6
MNTV,2022-08-04,Y,8.58,7.37,7.71,6.58,-23.31,7.64,-10.95,15,8.22,6.58,-23.31,7.39,-13.86
MNTV,2022-11-03,Y,7.08,7.24,7.72,7.2,9.03,7.71,8.89,15,8.79,7.2,24.15,7.74,9.32
MNTV,2023-02-16,Y,7.85,8.32,8.32,7.2,-8.28,7.26,-7.51,1,8.32,7.2,-8.28,7.26,-7.51
