Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MOR,2019-10-29,Y,27.41,26.96,27.75,26.86,-2.0,27.64,0.83,17,28.48,25.85,-5.69,26.11,-4.74
MOR,2020-03-18,Y,18.86,18.51,20.22,18.21,7.21,19.67,4.29,2,22.1,18.21,17.17,20.81,10.33
MOR,2020-05-06,Y,27.33,30.99,31.36,29.42,14.74,30.15,10.31,9,33.01,29.42,20.78,32.46,18.77
MOR,2020-08-05,Y,34.74,33.32,33.33,32.2,-7.31,32.67,-5.95,16,33.33,30.78,-11.39,32.06,-7.71
MOR,2020-11-11,Y,26.47,25.81,26.09,25.58,-3.36,25.78,-2.6,9,26.99,25.47,-3.77,26.68,0.79
MOR,2021-03-15,Y,25.35,22.46,22.87,22.32,-11.95,22.76,-10.21,4,23.43,22.32,-11.95,23.16,-8.63
MOR,2021-05-05,Y,21.53,22.16,22.29,21.86,3.52,22.09,2.6,16,22.29,19.75,-8.26,21.59,0.27
MOR,2021-07-28,Y,13.78,13.97,14.28,13.87,3.62,13.99,1.52,23,14.28,12.82,-6.96,13.45,-2.39
MOR,2021-11-10,Y,11.02,10.98,10.98,10.76,-2.35,10.81,-1.9,9,11.09,10.32,-6.35,10.45,-5.17
MOR,2022-03-16,Y,6.7,6.57,6.91,6.57,3.13,6.83,1.94,2,6.96,6.57,3.88,6.88,2.68
MOR,2022-05-04,Y,5.41,5.29,5.61,4.66,-13.86,5.16,-4.62,16,5.61,4.35,-19.59,5.24,-3.14
MOR,2022-08-03,Y,5.8,5.81,5.84,5.58,-3.79,5.68,-2.06,16,6.15,5.0,-13.79,5.09,-12.24
MOR,2022-11-16,Y,3.86,3.86,4.0,3.8,3.62,3.99,3.36,2,4.08,3.8,5.69,4.05,4.92
