Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MORN,2005-05-17,Y,21.3,20.91,22.3,20.73,4.69,22.07,3.61,3,23.44,20.73,10.04,23.1,8.45
MORN,2005-08-10,Y,31.55,31.32,34.1,31.32,8.08,33.2,5.22,9,34.1,31.32,8.08,32.9,4.31
MORN,2005-11-09,N,35.04,36.34,36.34,33.2,-5.25,34.04,-2.85,9,37.43,28.28,-19.29,29.14,-16.83
MORN,2006-02-23,N,42.99,42.79,43.0,41.84,-2.67,42.69,-0.69,22,43.2,38.0,-11.6,40.93,-4.79
MORN,2006-05-04,N,42.75,43.0,46.11,43.0,7.85,45.28,5.91,15,47.56,42.86,11.25,46.9,9.7
MORN,2006-08-03,N,37.49,37.01,39.29,35.71,4.8,38.74,3.33,15,39.47,32.99,-12.0,35.1,-6.37
MORN,2006-11-02,N,39.86,41.51,42.9,40.51,7.59,42.71,7.12,15,45.98,40.51,15.32,45.92,15.17
MORN,2007-02-22,N,49.93,49.57,53.72,49.57,7.59,51.79,3.72,22,54.57,47.14,9.29,51.12,2.38
MORN,2007-05-03,N,52.49,52.3,52.4,49.51,-5.67,51.12,-2.61,15,52.4,47.64,-9.23,47.99,-8.57
MORN,2007-08-02,N,48.91,50.54,61.35,50.54,25.43,58.68,19.97,15,67.16,50.54,37.31,62.22,27.21
MORN,2007-11-01,N,74.42,74.42,75.75,69.18,-7.04,71.09,-4.46,15,75.75,67.31,-9.55,72.01,-3.23
MORN,2008-02-21,Y,66.12,64.54,64.62,61.35,-7.21,63.56,-3.87,29,67.48,58.0,-12.28,62.43,-5.58
MORN,2008-05-01,Y,59.97,64.94,73.56,64.81,22.66,71.84,19.79,15,76.95,64.81,28.31,73.53,22.61
MORN,2008-07-31,Y,62.96,67.89,68.77,62.22,9.22,64.63,2.65,15,68.77,62.22,9.22,66.17,5.09
MORN,2008-10-30,Y,39.79,34.17,37.68,30.82,-22.56,37.44,-5.92,22,37.68,25.78,-35.22,28.07,-29.47
MORN,2009-02-19,Y,32.53,30.1,31.2,27.82,-14.47,28.0,-13.92,1,31.2,27.82,-14.47,28.0,-13.92
MORN,2009-04-30,Y,39.67,40.27,44.84,40.18,13.03,43.86,10.56,15,45.69,37.82,15.17,38.52,-2.89
MORN,2009-07-30,Y,45.9,45.16,45.58,43.95,-4.24,44.29,-3.5,22,48.34,40.01,-12.83,44.59,-2.85
