Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MRK,2002-01-22,N,54.93,56.32,56.71,55.16,3.24,55.16,0.41,24,57.47,53.69,4.62,56.64,3.11
MRK,2002-01-24,N,55.16,54.94,55.1,54.27,-1.61,54.57,-1.06,22,57.47,53.69,4.18,56.64,2.68
MRK,2002-04-18,N,52.13,53.03,53.74,52.84,3.08,53.57,2.76,1,54.11,52.84,3.79,53.92,3.43
MRK,2002-07-19,N,39.77,39.96,40.4,39.25,1.58,39.29,-1.18,0,40.4,39.25,1.58,39.29,-1.18
MRK,2002-07-25,N,40.34,40.53,42.65,39.64,5.72,42.1,4.36,22,48.96,39.64,21.36,47.35,17.37
MRK,2002-10-18,N,48.06,47.82,48.48,46.5,-3.24,48.33,0.56,0,48.48,46.5,-3.24,48.33,0.56
MRK,2002-10-24,N,48.64,48.74,49.2,47.4,-2.54,47.81,-1.7,22,53.6,47.4,10.19,52.44,7.81
MRK,2003-01-23,N,52.67,52.68,53.12,51.94,-1.38,52.42,-0.47,29,53.33,48.77,-7.4,50.96,-3.24
MRK,2003-01-28,N,49.02,49.72,52.17,49.72,6.42,51.52,5.09,24,53.33,48.87,8.79,50.96,3.95
MRK,2003-04-21,N,52.93,54.41,56.17,53.32,6.12,55.77,5.36,25,56.72,53.08,7.16,56.3,6.36
MRK,2003-05-13,N,55.87,55.75,56.33,55.65,0.82,56.19,0.57,3,56.72,55.65,1.52,56.3,0.76
MRK,2003-07-21,N,58.5,57.77,57.77,56.14,-4.03,56.65,-3.16,25,57.77,49.75,-14.95,50.65,-13.41
MRK,2003-07-23,N,54.75,54.45,55.07,54.07,-1.24,54.82,0.12,23,55.14,49.75,-9.13,50.65,-7.48
MRK,2003-10-22,N,48.91,47.85,47.85,45.03,-7.93,45.72,-6.52,30,47.85,41.75,-14.63,42.21,-13.69
MRK,2004-01-26,N,45.78,46.7,47.41,46.36,3.56,47.2,3.1,25,49.33,46.36,7.75,48.31,5.52
MRK,2004-01-27,N,47.2,48.0,48.0,47.26,1.69,47.36,0.33,24,49.33,47.26,4.51,48.31,2.35
MRK,2004-04-22,N,46.5,46.25,47.15,45.79,-1.52,46.74,0.51,29,48.41,45.79,4.1,46.59,0.19
