Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MRNS,2015-03-12,Y,10.41,10.15,10.15,8.89,-14.6,9.26,-11.04,8,10.15,8.77,-15.75,9.8,-5.85
MRNS,2015-11-12,Y,5.52,5.4,5.7,5.38,3.26,5.38,-2.53,8,6.29,4.51,-18.29,6.08,10.14
MRNS,2016-11-03,Y,1.05,1.05,1.12,1.04,6.66,1.07,1.9,15,1.28,1.04,21.9,1.1,4.76
MRNS,2017-05-01,N,1.44,1.46,1.46,1.36,-5.55,1.38,-4.16,21,1.46,1.13,-21.52,1.15,-20.13
MRNS,2018-05-01,N,4.44,4.38,4.55,4.36,2.47,4.5,1.35,18,5.2,4.36,17.11,4.65,4.72
MRNS,2018-08-02,N,7.03,6.09,6.58,5.62,-20.05,6.12,-12.94,16,6.58,5.28,-24.89,5.57,-20.76
MRNS,2018-10-31,N,4.73,4.8,5.06,4.61,6.97,4.68,-1.05,17,6.27,4.22,32.55,4.46,-5.7
MRNS,2019-03-11,N,3.89,3.85,4.1,3.79,5.39,3.94,1.28,7,4.1,3.61,-7.19,3.83,-1.54
MRNS,2019-05-02,N,4.15,4.1,4.63,3.8,11.56,4.63,11.56,16,5.1,3.8,22.89,4.5,8.43
MRNS,2019-08-07,N,1.07,1.06,1.09,1.03,-3.73,1.07,0.0,10,1.27,1.03,18.69,1.17,9.34
MRNS,2020-03-11,N,1.88,1.83,1.94,1.61,-14.36,1.64,-12.76,10,2.32,1.04,-44.68,2.1,11.7
MRNS,2020-05-04,N,2.0,1.92,1.97,1.8,-9.99,1.8,-9.99,14,2.4,1.8,19.99,2.28,13.99
MRNS,2020-08-06,N,1.77,1.8,2.1,1.79,18.64,2.09,18.07,16,2.18,1.71,23.16,2.15,21.46
MRNS,2020-11-09,Y,13.71,14.38,14.41,13.46,5.1,13.87,1.16,11,15.63,13.46,14.0,15.37,12.1
MRNS,2021-03-09,N,16.72,17.1,19.12,17.03,14.35,18.62,11.36,11,20.04,14.86,19.85,16.51,-1.25
MRNS,2021-05-17,N,16.18,15.32,15.56,14.6,-9.76,15.03,-7.1,7,16.9,13.93,-13.9,16.76,3.58
MRNS,2021-08-10,N,12.8,12.84,13.58,12.12,6.09,13.12,2.49,11,13.58,10.71,-16.32,11.25,-12.1
MRNS,2021-11-09,N,12.81,12.8,12.89,12.02,-6.16,12.68,-1.01,11,12.98,11.88,-7.25,12.06,-5.85
MRNS,2022-03-21,N,10.0,9.0,9.74,8.4,-15.99,8.74,-12.59,27,10.94,7.77,-22.3,7.8,-22.0
MRNS,2022-05-12,Y,4.86,5.3,5.8,5.05,19.34,5.66,16.46,8,5.94,5.05,22.22,5.32,9.46
MRNS,2022-08-11,N,5.93,6.0,6.09,5.7,-3.87,5.77,-2.69,9,6.8,5.52,14.67,6.61,11.46
