Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MRTX,2013-08-15,,8.5,9.0,10.0,8.99,17.64,9.05,6.47,1,10.0,8.94,17.64,8.94,5.29
MRTX,2013-11-13,,16.69,16.8,17.64,16.62,5.69,17.0,1.85,2,17.75,16.62,6.35,17.37,4.07
MRTX,2014-03-17,Y,21.02,21.16,22.65,21.16,7.75,21.34,1.52,5,22.65,20.33,7.75,20.39,-2.99
MRTX,2014-05-15,Y,17.1,17.05,17.44,16.59,-2.98,16.87,-1.34,2,17.44,16.59,-2.98,16.87,-1.34
MRTX,2014-08-08,N,17.79,17.43,18.11,17.0,-4.44,17.82,0.16,9,20.34,17.0,14.33,19.33,8.65
MRTX,2014-11-11,N,16.67,16.82,16.82,16.36,-1.85,16.63,-0.23,12,16.92,15.75,-5.51,16.01,-3.95
MRTX,2015-03-16,N,25.61,25.99,26.85,25.54,4.84,26.61,3.9,7,30.77,25.54,20.14,29.85,16.55
MRTX,2015-11-05,Y,36.49,35.89,38.48,34.52,5.45,38.42,5.28,15,43.2,34.52,18.38,37.45,2.63
MRTX,2016-05-05,Y,18.9,18.01,18.17,14.59,-22.8,15.9,-15.87,15,18.17,14.43,-23.65,16.0,-15.34
MRTX,2016-08-04,Y,5.2,5.19,5.5,5.02,5.76,5.46,4.99,15,5.82,5.02,11.92,5.12,-1.53
MRTX,2017-03-09,Y,5.3,5.3,5.7,5.14,7.54,5.25,-0.94,8,5.7,5.14,7.54,5.45,2.83
MRTX,2017-05-04,Y,4.1,4.0,4.2,3.95,-3.65,4.05,-1.21,15,4.2,3.1,-24.39,3.65,-10.97
MRTX,2017-08-03,Y,4.7,4.8,4.8,4.8,2.12,4.8,2.12,15,5.7,4.5,21.27,5.6,19.14
MRTX,2017-11-02,Y,13.6,13.75,14.4,13.4,5.88,14.05,3.3,15,19.25,12.85,41.54,17.25,26.83
MRTX,2018-03-08,Y,30.95,30.0,35.0,30.0,13.08,34.6,11.79,8,37.62,30.0,21.55,32.5,5.0
MRTX,2018-05-07,Y,32.3,31.85,34.2,31.85,5.88,33.25,2.94,11,37.5,31.85,16.09,36.1,11.76
MRTX,2018-08-02,Y,61.05,60.7,61.3,56.9,-6.79,57.6,-5.65,15,61.3,55.4,-9.25,59.95,-1.8
MRTX,2018-11-05,Y,38.07,38.07,39.71,37.51,4.3,39.15,2.83,11,42.75,35.0,12.29,40.94,7.53
MRTX,2019-02-28,Y,72.8,72.01,74.32,70.54,-3.1,73.01,0.28,15,77.64,65.0,-10.71,76.31,4.82
MRTX,2019-04-29,Y,61.45,59.9,61.4,55.11,-10.31,59.49,-3.18,18,76.69,55.11,24.8,73.91,20.27
MRTX,2020-02-25,N,88.72,87.1,90.57,82.06,-7.5,84.63,-4.61,25,96.93,66.01,-25.59,71.71,-19.17
MRTX,2020-08-05,Y,125.5,125.0,130.14,123.66,3.69,129.56,3.23,16,145.9,123.66,16.25,144.99,15.52
MRTX,2020-11-04,Y,234.68,238.68,239.0,229.98,-2.0,236.6,0.81,16,240.0,215.02,-8.37,226.89,-3.31
MRTX,2021-02-25,Y,195.6,209.05,209.05,194.07,6.87,200.92,2.71,22,209.05,174.47,-10.8,178.63,-8.67
MRTX,2021-05-06,Y,150.77,150.05,150.09,133.5,-11.45,144.0,-4.49,15,160.19,133.5,-11.45,153.58,1.86
MRTX,2021-08-05,Y,164.52,154.34,160.64,151.19,-8.1,151.4,-7.97,15,160.64,131.47,-20.08,134.13,-18.47
MRTX,2021-11-08,Y,159.91,174.0,175.5,164.75,9.74,167.84,4.95,11,175.5,136.01,-14.94,138.86,-13.16
MRTX,2022-02-28,Y,88.29,88.77,92.47,88.21,4.73,90.21,2.17,18,92.47,75.07,-14.97,87.67,-0.7
MRTX,2022-05-04,Y,64.02,66.57,69.75,61.09,8.95,62.38,-2.56,16,69.75,51.16,-20.08,63.35,-1.04
MRTX,2022-08-03,Y,71.78,72.01,78.99,70.18,10.04,77.9,8.52,16,95.69,70.18,33.31,77.4,7.82
MRTX,2022-11-08,Y,59.44,63.23,63.65,56.0,7.08,61.94,4.2,10,78.3,56.0,31.72,76.75,29.12
MRTX,2023-02-28,Y,45.84,44.55,45.6,42.5,-7.28,44.94,-1.96,17,45.91,38.4,-16.23,41.4,-9.68
