Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MRVL,2002-02-28,Y,7.67,8.44,8.98,8.31,17.07,8.85,15.38,15,10.39,8.31,35.46,9.65,25.81
MRVL,2002-05-23,Y,9.68,9.35,9.38,8.68,-10.33,8.81,-8.98,29,9.38,5.28,-45.45,5.4,-44.21
MRVL,2002-08-22,Y,4.74,5.54,5.65,5.34,19.19,5.55,17.08,29,5.65,4.19,19.19,4.61,-2.74
MRVL,2002-11-21,Y,6.08,5.75,5.87,5.52,-9.21,5.76,-5.26,29,6.05,4.51,-25.82,4.72,-22.36
MRVL,2003-02-27,Y,4.88,4.79,5.18,4.78,6.14,5.15,5.53,22,5.21,4.38,-10.24,5.05,3.48
MRVL,2003-05-22,Y,6.9,7.91,8.19,7.54,18.69,8.02,16.23,29,8.71,7.46,26.23,8.22,19.13
MRVL,2003-08-21,Y,9.59,10.62,10.66,10.36,11.15,10.42,8.65,29,10.9,9.58,13.66,10.19,6.25
MRVL,2003-11-19,Y,10.5,9.5,9.75,9.38,-10.66,9.73,-7.33,2,9.9,9.38,-10.66,9.72,-7.42
MRVL,2004-02-26,Y,10.72,11.42,11.52,10.95,7.46,11.44,6.71,22,11.58,9.97,8.02,10.39,-3.07
MRVL,2004-05-20,Y,9.96,10.52,11.04,10.46,10.84,11.02,10.64,1,11.04,10.46,10.84,11.02,10.64
MRVL,2004-08-19,Y,10.86,10.78,12.22,10.72,12.52,11.99,10.4,1,12.22,10.72,12.52,11.99,10.4
MRVL,2004-11-18,Y,15.18,15.71,15.98,15.12,5.27,15.42,1.58,1,15.98,15.12,5.27,15.42,1.58
MRVL,2005-02-24,Y,18.07,18.6,18.82,18.02,4.15,18.73,3.7,22,19.45,17.61,7.63,17.73,-1.88
MRVL,2005-05-19,Y,19.26,19.39,20.0,19.12,3.84,19.98,3.79,1,20.0,19.12,3.84,19.98,3.79
MRVL,2005-08-18,Y,21.99,22.48,22.72,22.0,3.31,22.1,0.5,1,22.72,22.0,3.31,22.1,0.5
MRVL,2005-11-17,Y,25.25,26.86,29.41,26.7,16.47,28.52,12.95,1,29.41,26.7,16.47,28.52,12.95
MRVL,2006-02-23,Y,31.42,31.62,32.08,30.78,2.1,31.15,-0.85,22,33.11,26.8,-14.7,27.1,-13.74
MRVL,2006-05-18,Y,24.86,26.75,28.27,26.46,13.71,28.11,13.07,1,28.27,26.46,13.71,28.11,13.07
MRVL,2006-08-17,Y,20.48,18.73,19.39,18.53,-9.52,19.05,-6.98,1,19.39,18.53,-9.52,19.05,-6.98
MRVL,2006-11-16,Y,19.62,18.54,19.5,18.3,-6.72,19.05,-2.9,1,19.5,18.3,-6.72,19.05,-2.9
MRVL,2007-02-26,Y,19.86,20.32,21.2,20.21,6.74,20.46,3.02,18,21.2,17.34,-12.68,17.79,-10.42
MRVL,2007-05-17,Y,17.0,17.3,17.44,16.45,-3.23,16.51,-2.88,1,17.44,16.45,-3.23,16.51,-2.88
