Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MSCI,2008-04-09,Y,27.98,30.14,30.14,27.57,7.71,28.49,1.82,9,30.14,26.5,7.71,28.73,2.68
MSCI,2008-07-02,N,33.86,29.88,32.85,29.33,-13.37,31.95,-5.64,16,33.47,29.33,-13.37,32.01,-5.46
MSCI,2008-10-02,Y,21.93,22.15,23.34,22.15,6.42,22.47,2.46,15,23.34,16.55,-24.53,19.02,-13.26
MSCI,2009-01-09,N,18.43,17.39,18.39,15.45,-16.16,16.62,-9.82,7,18.39,15.16,-17.74,16.98,-7.86
MSCI,2009-04-02,N,17.0,17.2,20.21,17.2,18.88,19.17,12.76,15,21.39,17.2,25.82,21.1,24.11
MSCI,2009-07-02,N,24.07,24.64,25.12,23.79,4.36,24.74,2.78,15,26.99,23.79,12.13,26.71,10.96
MSCI,2009-10-01,N,29.62,26.65,27.95,26.1,-11.88,27.14,-8.37,15,28.58,25.43,-14.14,28.03,-5.36
MSCI,2010-01-07,N,31.23,31.55,34.6,31.32,10.79,33.38,6.88,8,35.1,31.32,12.39,32.14,2.91
MSCI,2010-04-08,N,37.31,36.46,36.93,35.79,-4.07,36.19,-3.0,8,38.61,35.61,-4.55,37.25,-0.16
MSCI,2010-07-01,N,27.4,28.42,28.5,26.89,4.01,27.34,-0.21,15,31.65,26.89,15.51,31.01,13.17
MSCI,2010-09-30,N,34.47,33.75,33.88,32.63,-5.36,33.21,-3.68,15,35.99,32.63,-5.36,35.88,4.06
MSCI,2011-01-13,N,39.72,39.24,39.44,35.59,-10.39,36.75,-7.47,8,39.44,34.75,-12.51,35.5,-10.62
MSCI,2011-05-05,N,35.77,35.5,37.01,35.34,3.46,36.61,2.34,15,38.61,35.34,7.93,36.56,2.2
MSCI,2011-08-04,N,34.92,34.47,35.1,33.75,-3.35,33.96,-2.74,15,35.14,30.11,-13.77,31.33,-10.28
MSCI,2011-11-02,N,31.47,31.86,33.2,30.53,5.49,32.94,4.67,16,35.06,30.53,11.4,32.6,3.59
MSCI,2012-02-02,N,33.56,33.49,33.61,32.47,-3.24,33.02,-1.6,15,35.34,32.47,5.3,34.1,1.6
MSCI,2012-05-02,N,36.72,35.27,36.47,34.79,-5.25,35.2,-4.13,16,37.04,32.13,-12.49,32.79,-10.67
MSCI,2012-08-02,N,33.29,32.88,33.38,31.97,-3.99,32.22,-3.21,15,36.36,31.97,9.18,35.86,7.68
MSCI,2012-11-06,N,27.25,25.95,26.48,25.3,-7.15,26.1,-4.22,10,26.59,25.3,-7.15,25.82,-5.24
