Symbol,Earning Date,After Market,Price Before,Opening Price,One Day High,One Day Low,Max Move,Close Price,Final Move,Days until Expiry,High until Expiry,Low until Expiry,Max Move,Close Price,Final Move
MXL,2010-05-05,Y,17.17,17.3,17.3,15.28,-11.0,15.75,-8.27,16,17.3,15.09,-12.11,15.4,-10.3
MXL,2010-07-29,Y,12.37,12.3,12.85,12.02,3.88,12.51,1.13,22,12.87,9.64,-22.06,10.21,-17.46
MXL,2010-10-28,Y,10.5,10.51,10.57,10.3,-1.9,10.44,-0.57,22,10.96,9.52,-9.23,10.22,-2.66
MXL,2011-02-03,Y,11.36,11.6,11.88,11.0,4.57,11.43,0.61,15,12.11,10.5,-7.57,11.07,-2.55
MXL,2011-04-28,Y,7.93,8.16,9.6,8.16,21.05,9.39,18.41,22,9.68,8.16,22.06,8.98,13.24
MXL,2011-07-28,Y,6.77,6.62,6.86,6.5,-3.98,6.65,-1.77,22,6.86,4.86,-28.21,5.26,-22.3
MXL,2011-11-01,Y,5.32,5.4,5.73,5.4,7.7,5.62,5.63,17,5.73,4.8,-9.58,4.96,-6.76
MXL,2012-02-07,Y,6.27,6.23,6.23,5.84,-6.85,6.0,-4.3,10,6.23,5.45,-13.07,5.53,-11.8
MXL,2012-05-02,Y,4.71,5.01,5.3,4.91,12.52,4.98,5.73,16,5.3,4.13,12.52,4.16,-11.67
MXL,2012-08-02,Y,4.59,5.6,6.24,5.47,35.94,5.61,22.22,15,6.24,5.47,35.94,5.66,23.31
MXL,2012-10-29,Y,6.26,5.67,6.1,5.34,-14.69,5.87,-6.23,18,6.17,4.5,-28.11,4.65,-25.71
MXL,2013-02-05,Y,5.39,5.35,6.04,5.3,12.05,6.0,11.31,10,6.04,5.3,12.05,5.98,10.94
MXL,2013-04-30,Y,6.23,6.4,6.49,6.07,4.17,6.22,-0.16,17,7.25,6.04,16.37,6.79,8.98
MXL,2013-08-01,Y,6.71,7.25,8.01,7.13,19.37,8.01,19.37,15,8.36,7.13,24.59,8.01,19.37
